drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets
427,1,nula,165357,0,,,,,,sin semilla,
873,1,nula,188767,0,,,,,,sin semilla,
4386,1,nula,357255,0,,,,,,sin semilla,
4535,1,nula,59167,0,,,,,,sin semilla,
5218,1,no informativa,260916,9,0.0,2279.5,0.5028678579307302,185066.5,2279.5,indirecta,4533.0
5527,1,nula,74145,0,,,,,,sin semilla,
6747,1,nula,312853,0,,,,,,sin semilla,
8332,1,nula,119628,0,,,,,,sin semilla,
11238,1,nula,33349,0,,,,,,sin semilla,
12243,1,informativa,33349,15,0.015250668449197861,3.5,0.000772115596735054,129.5,3.5,directa,4533.0
12354,1,nula,380071,0,,,,,,sin semilla,
13213,1,nula,178555,0,,,,,,sin semilla,
13897,1,nula,229060,0,,,,,,sin semilla,
16098,1,nula,33349,0,,,,,,sin semilla,
16447,1,informativa,342379,891,0.06620044029056033,59.0,0.013015662916390912,1733.5,59.0,indirecta,4533.0
16586,1,nula,84852,0,,,,,,sin semilla,
16635,1,nula,36096,0,,,,,,sin semilla,
16696,1,no informativa,260916,4,0.0,2267.0,0.500110302228105,184969.0,2267.0,indirecta,4533.0
17319,1,nula,108282,0,,,,,,sin semilla,
17835,1,nula,377895,0,,,,,,sin semilla,
18006,1,no informativa,97330,190,0.0,2411.0,0.5318773439223472,195491.5,2411.0,indirecta,4533.0
18082,1,informativa,36096,250,0.9333333333333333,2.5,0.0005515111405250386,12.0,2.5,directa,4533.0
18443,1,nula,28755,0,,,,,,sin semilla,
20448,1,nula,229060,0,,,,,,sin semilla,
20866,1,informativa,3177,255,0.04833679833679834,37.0,0.00816236487977057,1040.0,37.0,indirecta,4533.0
21080,1,no informativa,260987,14,0.0,2276.0,0.5020957423339951,184764.0,2276.0,indirecta,4533.0
21625,1,nula,85239,0,,,,,,sin semilla,
24260,1,nula,245748,0,,,,,,sin semilla,
24540,1,nula,248796,0,,,,,,sin semilla,
25578,1,no informativa,230796,13,0.0,2284.5,0.5039708802117803,184795.0,2284.5,indirecta,4533.0
25800,1,nula,58034,0,,,,,,sin semilla,
27202,1,no informativa,33349,7,0.0,2278.0,0.5025369512464152,186072.5,2278.0,indirecta,4533.0
27470,1,nula,379485,0,,,,,,sin semilla,
27739,1,nula,90992,0,,,,,,sin semilla,
29427,1,nula,33349,0,,,,,,sin semilla,
30587,1,nula,33349,0,,,,,,sin semilla,
33839,1,nula,152239,0,,,,,,sin semilla,
34914,1,no informativa,338388,352,0.0,2411.0,0.5318773439223472,196027.0,2411.0,indirecta,4533.0
