drug_id,especie,semilla,n_semilla
235534,0,nula,0
235730,0,no informativa,2
236066,0,nula,0
236472,0,nula,0
239024,0,nula,0
239853,0,nula,0
241660,0,no informativa,2
241794,0,nula,0
241997,0,informativa,100
243958,0,nula,0
244900,0,nula,0
248252,0,no informativa,2
249513,0,no informativa,3
249560,0,no informativa,2
250403,0,no informativa,3
254292,0,nula,0
254406,0,nula,0
255507,0,informativa,3
255964,0,nula,0
256391,0,nula,0
261755,0,no informativa,2
262145,0,nula,0
263064,0,nula,0
263599,0,nula,0
263824,0,nula,0
263905,0,nula,0
264522,0,nula,0
265081,0,nula,0
266540,0,no informativa,35
267070,0,no informativa,8
268119,0,nula,0
268620,0,nula,0
269424,0,nula,0
270324,0,nula,0
271656,0,no informativa,12
271876,0,no informativa,23
276204,0,nula,0
277479,0,nula,0
278346,0,nula,0
279966,0,nula,0
283009,0,nula,0
283634,0,nula,0
283748,0,nula,0
284312,0,nula,0
285645,0,nula,0
285976,0,no informativa,8
286967,0,nula,0
287929,0,no informativa,16
288733,0,nula,0
289042,0,no informativa,66
291454,0,nula,0
292077,0,nula,0
292596,0,nula,0
292963,0,no informativa,6
293827,0,nula,0
294935,0,no informativa,4
295480,0,no informativa,2
295960,0,nula,0
296988,0,nula,0
297165,0,nula,0
297719,0,nula,0
300005,0,no informativa,3
300985,0,nula,0
301374,0,no informativa,3
302128,0,no informativa,3
302230,0,nula,0
302587,0,nula,0
303434,0,nula,0
303560,0,nula,0
304806,0,nula,0
304860,0,nula,0
305155,0,nula,0
307222,0,nula,0
309077,0,nula,0
309211,0,informativa,355
309685,0,nula,0
311000,0,nula,0
311854,0,nula,0
312407,0,nula,0
312910,0,nula,0
314117,0,nula,0
315038,0,nula,0
315588,0,nula,0
316887,0,no informativa,8
318521,0,nula,0
319386,0,nula,0
321015,0,no informativa,2
321310,0,nula,0
321500,0,nula,0
322432,0,nula,0
323706,0,nula,0
326175,0,no informativa,3
326473,0,nula,0
327189,0,nula,0
327746,0,nula,0
328890,0,nula,0
328896,0,nula,0
331839,0,nula,0
331935,0,informativa,6
335572,0,nula,0
336630,0,nula,0
337619,0,nula,0
338493,0,no informativa,17
339278,0,nula,0
339436,0,nula,0
340065,0,nula,0
341642,0,no informativa,2
341804,0,nula,0
343956,0,nula,0
344275,0,nula,0
344612,0,no informativa,11
345403,0,no informativa,2
347058,0,nula,0
351556,0,nula,0
351985,0,informativa,4
352760,0,no informativa,3
353028,0,nula,0
353420,0,nula,0
354365,0,nula,0
355019,0,nula,0
355156,0,nula,0
355455,0,no informativa,6
355700,0,nula,0
356021,0,nula,0
356098,0,nula,0
358636,0,no informativa,6
360441,0,no informativa,12
360874,0,nula,0
361597,0,nula,0
361757,0,nula,0
362100,0,informativa,18
362870,0,no informativa,11
364386,0,nula,0
364406,0,no informativa,2
365730,0,no informativa,4
365739,0,nula,0
366692,0,nula,0
367270,0,nula,0
368139,0,nula,0
368474,0,informativa,6
368794,0,nula,0
368913,0,no informativa,2
371720,0,nula,0
372031,0,nula,0
372123,0,nula,0
373804,0,nula,0
375446,0,no informativa,2
378163,0,no informativa,2
378503,0,nula,0
378584,0,nula,0
378658,0,nula,0
379225,0,nula,0
380507,0,nula,0
381609,0,nula,0
381680,0,nula,0
381957,0,nula,0
382137,0,nula,0
383110,0,no informativa,2
383751,0,nula,0
383999,0,nula,0
386208,0,nula,0
386681,0,nula,0
386778,0,nula,0
388926,0,no informativa,2
389648,0,nula,0
390557,0,no informativa,9
390684,0,nula,0
390844,0,nula,0
391029,0,nula,0
391183,0,nula,0
393508,0,no informativa,2
394022,0,nula,0
394443,0,nula,0
395494,0,nula,0
396227,0,nula,0
396251,0,no informativa,10
397174,0,nula,0
397302,0,nula,0
398693,0,nula,0
398848,0,nula,0
399437,0,no informativa,3
399596,0,no informativa,4
399900,0,nula,0
399996,0,no informativa,7
400885,0,no informativa,10
403163,0,nula,0
403632,0,no informativa,11
405014,0,nula,0
405659,0,nula,0
406481,0,no informativa,3
406916,0,informativa,2
409979,0,nula,0
410372,0,nula,0
411610,0,nula,0
413782,0,nula,0
414892,0,nula,0
416505,0,nula,0
418069,0,no informativa,2
418221,0,nula,0
418567,0,nula,0
418902,0,nula,0
419205,0,no informativa,11
420153,0,nula,0
420416,0,nula,0
422477,0,nula,0
422638,0,nula,0
424578,0,nula,0
427895,0,nula,0
428134,0,nula,0
428624,0,nula,0
428860,0,nula,0
429638,0,nula,0
431544,0,nula,0
432345,0,nula,0
432857,0,no informativa,354
433193,0,nula,0
433649,0,no informativa,4
434152,0,nula,0
434613,0,no informativa,2
436053,0,nula,0
436609,0,nula,0
436820,0,no informativa,5
436978,0,nula,0
438005,0,nula,0
438010,0,no informativa,3
438192,0,nula,0
438819,0,no informativa,2
439068,0,no informativa,27
440078,0,nula,0
441909,0,nula,0
442447,0,nula,0
442515,0,nula,0
442809,0,nula,0
442832,0,nula,0
443372,0,nula,0
444241,0,no informativa,5
444839,0,nula,0
445166,0,no informativa,2
445210,0,no informativa,11
445243,0,no informativa,6
446433,0,nula,0
447730,0,no informativa,3
449042,0,nula,0
449556,0,no informativa,5
449875,0,nula,0
451318,0,nula,0
451442,0,nula,0
454218,0,nula,0
454384,0,no informativa,4
455054,0,nula,0
455130,0,no informativa,2
457485,0,nula,0
457562,0,nula,0
457563,0,nula,0
457675,0,no informativa,3
458453,0,nula,0
460099,0,nula,0
463591,0,nula,0
464182,0,no informativa,2
464698,0,nula,0
465413,0,nula,0
465424,0,no informativa,2
467873,0,nula,0
469112,0,nula,0
469468,0,nula,0
469831,0,no informativa,10
470165,0,nula,0
470774,0,nula,0
473557,0,nula,0
