lambda_inf,sigma,umbral,r_g_estrella,k_sigma,desde
0.5280620336778268,0.830645758908008,2.1893535514938427,88.0,2.0,50
0.5280620336778268,0.830645758908008,2.6046764309478467,82.0,2.5,50
0.5280620336778268,0.830645758908008,3.0199993104018503,76.0,3.0,50
0.5280620336778268,0.830645758908008,3.435322189855855,72.0,3.5,50
0.5280620336778268,0.830645758908008,3.8506450693098584,68.0,4.0,50
