drug_id,sp_id,N,drug,cluster_id,enlace_a_bioact,multiespecie,grupo
2487,3,1,2487,741375,False,False,0
2488,3,1,2488,191712,False,True,2
2509,3,1,2509,131435,False,False,0
2553,3,1,2553,188372,False,True,2
2595,3,1,2595,619236,True,True,3
2602,3,1,2602,524676,False,False,0
2618,3,1,2618,243490,False,False,0
2623,3,1,2623,750440,True,False,1
2640,3,1,2640,555369,False,False,0
2643,3,1,2643,187054,True,False,1
2652,3,1,2652,167109,False,False,0
2675,18,1,2675,448779,False,False,0
2680,9,1,2680,666458,False,True,2
2691,3,1,2691,66799,True,True,3
2691,9,1,2691,66799,True,True,3
2714,3,1,2714,349076,False,False,0
2722,3,1,2722,548941,False,False,0
2736,3,1,2736,11886,True,True,3
2750,3,1,2750,298174,False,False,0
2759,3,1,2759,747004,False,True,2
2786,3,1,2786,758614,False,False,0
2828,3,1,2828,119367,False,False,0
2838,18,1,2838,229826,True,False,1
2840,3,1,2840,344106,True,False,1
2863,3,1,2863,235511,False,False,0
2865,3,1,2865,167715,False,False,0
2873,3,1,2873,263938,False,False,0
2886,3,1,2886,753441,False,False,0
2888,3,1,2888,100042,False,False,0
2916,3,1,2916,576388,True,False,1
2920,3,1,2920,173764,True,True,3
2933,3,1,2933,44804,False,False,0
2948,3,1,2948,15130,True,False,1
2974,3,1,2974,617419,False,False,0
2997,3,1,2997,287949,False,False,0
3036,3,1,3036,85800,True,False,1
3066,3,1,3066,463883,True,False,1
3073,3,1,3073,26018,True,False,1
3088,3,1,3088,463043,True,True,3
3142,3,1,3142,593714,False,False,0
3153,3,1,3153,305440,False,True,2
3166,3,1,3166,177962,True,True,3
3167,3,1,3167,522514,True,False,1
3172,3,1,3172,412695,False,False,0
3185,3,1,3185,339587,True,False,1
3214,3,1,3214,566307,True,False,1
3222,3,1,3222,751829,False,False,0
3226,3,1,3226,246695,False,False,0
3232,10,1,3232,409882,False,False,0
3259,3,1,3259,174546,True,False,1
3274,3,1,3274,725289,True,False,1
3280,3,1,3280,455523,True,False,1
3289,3,1,3289,642083,False,False,0
3302,3,1,3302,530060,True,True,3
3332,3,1,3332,485991,True,False,1
3337,3,1,3337,458097,False,False,0
3341,10,1,3341,737696,True,True,3
3355,3,1,3355,710451,True,False,1
3360,3,1,3360,500562,False,False,0
3412,3,1,3412,528792,True,False,1
3413,3,1,3413,555952,True,False,1
3415,3,1,3415,47282,True,True,3
3425,3,1,3425,239589,False,True,2
3428,3,1,3428,340148,True,False,1
3430,3,1,3430,744828,False,True,2
3441,3,1,3441,637094,False,False,0
3465,3,1,3465,321671,False,False,0
3497,3,1,3497,385033,True,False,1
3505,3,1,3505,721045,False,False,0
3547,3,1,3547,552939,True,False,1
3549,3,1,3549,567355,False,False,0
3567,3,1,3567,553325,False,False,0
3571,27,1,3571,55730,True,True,3
3575,3,1,3575,298073,False,True,2
3584,3,1,3584,763006,False,False,0
3586,3,1,3586,211583,True,False,1
3609,3,1,3609,266846,False,True,2
3609,10,1,3609,266846,False,True,2
3638,3,1,3638,312664,False,False,0
3641,3,1,3641,556408,False,False,0
3643,3,1,3643,574316,False,False,0
3644,27,1,3644,552013,False,True,2
3650,3,1,3650,494005,True,False,1
3659,3,1,3659,167049,False,False,0
3661,3,1,3661,437863,True,False,1
3665,3,1,3665,727697,False,False,0
3758,21,1,3758,347790,True,True,3
3775,3,1,3775,133603,True,True,3
3777,3,1,3777,36227,False,False,0
3814,3,1,3814,647826,False,False,0
3826,3,1,3826,534240,False,False,0
3840,3,1,3840,554072,True,True,3
3853,3,1,3853,255612,False,False,0
3855,3,1,3855,197982,False,False,0
3862,3,1,3862,325668,True,True,3
3872,3,1,3872,183957,True,False,1
3875,3,1,3875,161183,False,False,0
3886,3,1,3886,680076,True,False,1
3897,3,1,3897,110512,False,False,0
3902,27,1,3902,680226,True,True,3
3911,3,1,3911,251418,True,False,1
3937,3,1,3937,284886,False,False,0
3949,3,1,3949,256992,False,False,0
3959,3,1,3959,10053,False,False,0
3972,3,1,3972,766589,False,False,0
3984,3,1,3984,395588,False,False,0
3990,10,1,3990,384901,False,True,2
3990,21,1,3990,384901,False,True,2
3990,25,1,3990,384901,False,True,2
3997,3,1,3997,43153,False,True,2
4016,0,1,4016,641424,True,False,1
4025,3,1,4025,415975,True,True,3
4042,3,1,4042,290651,False,False,0
4048,3,1,4048,232275,False,False,0
4049,3,1,4049,479573,True,True,3
4065,3,1,4065,76816,True,False,1
4115,3,1,4115,315735,False,False,0
4117,3,1,4117,133107,False,False,0
4135,3,1,4135,749895,False,False,0
4145,3,1,4145,348708,False,False,0
4150,3,1,4150,593030,True,False,1
4200,3,1,4200,544674,False,False,0
4202,3,1,4202,613594,False,False,0
4207,3,1,4207,27842,False,False,0
4220,3,1,4220,115107,True,True,3
4222,3,1,4222,159282,False,True,2
4249,3,1,4249,375410,False,False,0
4294,3,1,4294,578857,False,False,0
4321,3,1,4321,581362,False,False,0
4323,3,1,4323,362039,False,True,2
4324,3,1,4324,76269,True,False,1
4346,3,1,4346,233455,True,False,1
4360,3,1,4360,305511,False,True,2
4366,27,1,4366,66474,False,True,2
4368,3,1,4368,578517,False,False,0
4386,1,1,4386,563091,False,True,2
4386,10,1,4386,563091,False,True,2
4410,3,1,4410,464782,True,False,1
4420,3,1,4420,742304,True,True,3
4446,3,1,4446,545809,True,False,1
4465,3,1,4465,721143,False,True,2
4535,1,1,4535,290304,False,False,0
4541,3,1,4541,559190,True,False,1
4609,3,1,4609,214661,False,False,0
4627,3,1,4627,237245,True,True,3
4630,3,1,4630,178716,True,False,1
4650,3,1,4650,307044,True,True,3
4651,3,1,4651,563816,False,True,2
4671,3,1,4671,100915,True,False,1
4672,3,1,4672,243440,True,False,1
4710,3,1,4710,516559,True,False,1
4722,3,1,4722,31746,True,True,3
4725,10,1,4725,611213,False,True,2
4789,3,1,4789,388081,False,True,2
4809,10,1,4809,103715,False,False,0
4826,3,1,4826,99169,True,False,1
4829,3,1,4829,629923,False,True,2
4831,3,1,4831,219989,False,False,0
4843,3,1,4843,170357,True,False,1
4848,3,1,4848,251530,False,True,2
4888,3,1,4888,49117,False,True,2
4888,27,1,4888,49117,False,True,2
4897,3,1,4897,182667,False,False,0
4911,3,1,4911,213766,False,False,0
4919,3,1,4919,623091,True,False,1
4936,3,1,4936,87226,False,False,0
4941,27,1,4941,195325,False,False,0
4948,3,1,4948,433627,True,False,1
4971,3,1,4971,239486,False,False,0
4977,3,1,4977,538359,True,False,1
4991,3,1,4991,116828,False,False,0
5008,3,1,5008,215168,True,False,1
5010,3,1,5010,647394,False,False,0
5130,3,1,5130,309011,True,False,1
5133,17,1,5133,418613,False,True,2
5134,26,1,5134,67263,False,False,0
5152,10,1,5152,56604,False,False,0
5169,3,1,5169,607841,False,False,0
5198,3,1,5198,599935,True,False,1
5211,3,1,5211,390513,True,True,3
5211,27,1,5211,390513,True,True,3
5218,1,1,5218,390855,False,True,2
5219,3,1,5219,466653,True,False,1
5259,3,1,5259,715765,True,False,1
5271,3,1,5271,63341,False,True,2
5273,3,1,5273,697458,False,False,0
5278,3,1,5278,293800,False,False,0
5289,3,1,5289,25846,False,False,0
5290,3,1,5290,446544,False,False,0
5303,10,1,5303,199057,False,True,2
5323,3,1,5323,468352,False,False,0
5332,3,1,5332,281334,False,False,0
5345,3,1,5345,550459,False,False,0
5359,3,1,5359,352031,False,False,0
5364,19,1,5364,566049,False,True,2
5370,3,1,5370,689960,True,False,1
5371,3,1,5371,563658,False,False,0
5380,3,1,5380,178414,False,False,0
5401,3,1,5401,372078,False,False,0
5407,3,1,5407,468604,False,False,0
5411,3,1,5411,592060,False,False,0
5436,9,1,5436,124538,True,True,3
5439,3,1,5439,214713,True,False,1
5442,3,1,5442,765272,False,False,0
5456,3,1,5456,682685,True,True,3
5467,3,1,5467,138732,False,True,2
5470,3,1,5470,743705,False,False,0
5471,3,1,5471,65108,True,True,3
5499,3,1,5499,629577,True,False,1
5502,3,1,5502,8292,False,False,0
5527,1,1,5527,724840,False,True,2
5527,18,1,5527,724840,False,True,2
5528,3,1,5528,564085,True,True,3
5534,26,1,5534,361732,False,True,2
5555,3,1,5555,170687,True,True,3
5584,3,1,5584,26158,False,False,0
5587,27,1,5587,198134,False,True,2
5591,3,1,5591,590726,True,False,1
5633,18,1,5633,578965,False,False,0
5638,3,1,5638,552006,True,False,1
5646,18,1,5646,769530,False,False,0
5647,3,1,5647,19338,True,True,3
5701,3,1,5701,405810,True,False,1
5715,27,1,5715,145715,False,True,2
5727,3,1,5727,474679,True,True,3
5734,0,1,5734,200644,False,False,0
5744,18,1,5744,173036,True,True,3
5772,3,1,5772,352922,False,False,0
5783,0,1,5783,94509,False,False,0
5799,3,1,5799,580539,False,False,0
5808,3,1,5808,42464,True,False,1
5853,3,1,5853,152321,False,False,0
5857,1,1,5857,710303,False,False,0
5863,3,1,5863,377254,True,False,1
5887,3,1,5887,220006,False,True,2
5887,27,1,5887,220006,False,True,2
5914,3,1,5914,666945,False,False,0
5919,3,1,5919,341824,False,False,0
5932,27,1,5932,528196,False,True,2
5969,3,1,5969,110603,True,False,1
5977,3,1,5977,640519,False,False,0
5985,3,1,5985,206681,False,False,0
5993,3,1,5993,677982,True,True,3
5999,3,1,5999,617971,False,False,0
6000,26,1,6000,314081,True,True,3
6007,3,1,6007,364792,False,True,2
6037,3,1,6037,54082,False,True,2
6087,26,1,6087,476206,True,True,3
6106,3,1,6106,95400,True,True,3
6119,3,1,6119,72223,True,False,1
6120,26,1,6120,346377,True,False,1
6135,3,1,6135,314559,True,False,1
6173,3,1,6173,484831,False,True,2
6216,3,1,6216,598934,True,False,1
6223,18,1,6223,583698,False,False,0
6231,3,1,6231,586222,False,False,0
6274,3,1,6274,613553,False,False,0
6287,3,1,6287,577569,True,False,1
6317,3,1,6317,740347,False,False,0
6321,3,1,6321,442725,False,False,0
6325,3,1,6325,739443,True,True,3
6331,3,1,6331,126660,True,True,3
6340,27,1,6340,567784,False,True,2
6354,3,1,6354,367255,False,False,0
6380,3,1,6380,176121,False,True,2
6381,0,1,6381,271482,False,True,2
6431,3,1,6431,179667,False,True,2
6431,27,1,6431,179667,False,True,2
6447,3,1,6447,696577,False,True,2
6488,3,1,6488,667236,False,True,2
6494,3,1,6494,563246,True,False,1
6514,3,1,6514,533911,True,False,1
6516,3,1,6516,449723,True,False,1
6526,3,1,6526,299712,True,True,3
6530,17,1,6530,464261,True,False,1
6537,3,1,6537,303144,True,True,3
6549,3,1,6549,108586,True,False,1
6554,3,1,6554,616515,True,False,1
6560,26,1,6560,245567,True,True,3
6571,3,1,6571,202612,False,False,0
6601,3,1,6601,615857,True,True,3
6610,26,1,6610,193047,True,False,1
6613,3,1,6613,623036,False,True,2
6626,3,1,6626,55954,True,False,1
6632,3,1,6632,49265,False,True,2
6662,3,1,6662,37260,True,False,1
6675,3,1,6675,644744,False,True,2
6678,0,1,6678,93803,False,False,0
6694,3,1,6694,748591,True,False,1
6696,3,1,6696,499574,True,True,3
6703,3,1,6703,306350,True,True,3
6706,3,1,6706,272852,False,False,0
6716,3,1,6716,206943,True,True,3
6719,3,1,6719,764013,True,True,3
6747,1,1,6747,452757,False,False,0
6778,3,1,6778,692438,True,False,1
6780,3,1,6780,98211,True,True,3
6785,3,1,6785,577834,False,False,0
6801,3,1,6801,532080,False,False,0
6809,3,1,6809,175907,True,True,3
6838,3,1,6838,196170,True,False,1
6851,10,1,6851,116185,False,True,2
6851,26,1,6851,116185,False,True,2
6856,3,1,6856,338302,False,False,0
6858,10,1,6858,319323,False,False,0
6859,18,1,6859,174535,False,False,0
6868,3,1,6868,621146,False,False,0
6898,3,1,6898,423874,False,True,2
6913,3,1,6913,690300,False,False,0
6918,3,1,6918,507802,False,False,0
6934,10,1,6934,23005,False,False,0
6947,3,1,6947,626052,False,True,2
6962,3,1,6962,10469,True,False,1
6972,3,1,6972,334448,False,False,0
6976,3,1,6976,43247,False,False,0
6991,1,1,6991,133989,False,True,2
6991,10,1,6991,133989,False,True,2
6991,27,1,6991,133989,False,True,2
7007,3,1,7007,478047,False,False,0
7023,10,1,7023,185462,True,True,3
7030,3,1,7030,187883,False,False,0
7033,3,1,7033,310783,False,True,2
7033,26,1,7033,310783,False,True,2
7056,3,1,7056,165868,False,False,0
7059,3,1,7059,726636,True,False,1
7120,3,1,7120,707308,False,False,0
7147,3,1,7147,651322,True,False,1
7152,3,1,7152,469883,True,False,1
7179,3,1,7179,4784,False,True,2
7190,26,1,7190,45963,False,False,0
7195,3,1,7195,103351,True,True,3
7229,3,1,7229,255533,False,False,0
7250,3,1,7250,364038,False,False,0
7259,18,1,7259,136368,False,True,2
7271,3,1,7271,738830,True,False,1
7302,3,1,7302,266096,True,True,3
7305,3,1,7305,477728,False,False,0
7312,3,1,7312,358575,False,False,0
7314,3,1,7314,141053,False,False,0
7322,3,1,7322,579393,True,False,1
7332,3,1,7332,367623,False,True,2
7346,3,1,7346,351280,False,False,0
7359,3,1,7359,230209,True,True,3
7400,3,1,7400,133957,False,True,2
7416,3,1,7416,736124,False,True,2
7430,17,1,7430,530524,False,False,0
7457,3,1,7457,755772,True,False,1
