drug_id,especie,grupo,palanca,parametro,semilla_antes,semilla_despues,rescatada
224808,15,1,umbral,0.9,nula,nula,False
225833,17,2,umbral,0.9,nula,nula,False
225960,3,1,umbral,0.9,no informativa,no informativa,False
227285,18,3,umbral,0.9,nula,nula,False
229938,10,3,umbral,0.9,nula,nula,False
231890,1,3,umbral,0.9,nula,nula,False
232722,3,0,umbral,0.9,nula,nula,False
232924,9,2,umbral,0.9,nula,nula,False
235534,0,2,umbral,0.9,nula,nula,False
236066,0,0,umbral,0.9,nula,nula,False
241660,0,1,umbral,0.9,nula,nula,False
242546,1,1,umbral,0.9,nula,nula,False
245674,15,3,umbral,0.9,nula,nula,False
246814,26,2,umbral,0.9,nula,nula,False
247791,18,3,umbral,0.9,nula,nula,False
248252,0,1,umbral,0.9,nula,nula,False
248652,10,3,umbral,0.9,nula,nula,False
249294,3,0,umbral,0.9,nula,nula,False
249677,1,2,umbral,0.9,nula,nula,False
254476,5,2,umbral,0.9,nula,nula,False
254476,25,2,umbral,0.9,nula,nula,False
254718,9,0,umbral,0.9,nula,nula,False
262321,1,0,umbral,0.9,nula,nula,False
267070,0,1,umbral,0.9,nula,nula,False
268136,10,2,umbral,0.9,nula,nula,False
268408,3,0,umbral,0.9,nula,nula,False
270664,1,2,umbral,0.9,informativa,informativa,False
272100,26,1,umbral,0.9,nula,nula,False
272727,3,3,umbral,0.9,nula,nula,False
274263,21,1,umbral,0.9,nula,nula,False
277162,9,2,umbral,0.9,nula,nula,False
278067,9,3,umbral,0.9,nula,nula,False
278586,9,2,umbral,0.9,nula,nula,False
279473,9,2,umbral,0.9,nula,nula,False
279966,0,0,umbral,0.9,nula,nula,False
280081,3,2,umbral,0.9,nula,nula,False
280688,10,0,umbral,0.9,nula,nula,False
280919,1,1,umbral,0.9,nula,nula,False
282175,26,2,umbral,0.9,nula,nula,False
283515,3,1,umbral,0.9,nula,nula,False
283634,0,3,umbral,0.9,nula,nula,False
283634,15,3,umbral,0.9,nula,nula,False
287929,0,2,umbral,0.9,nula,nula,False
289947,3,1,umbral,0.9,nula,nula,False
293552,26,0,umbral,0.9,nula,nula,False
293827,1,3,umbral,0.9,nula,nula,False
295524,26,0,umbral,0.9,nula,nula,False
295703,3,2,umbral,0.9,nula,nula,False
295811,4,0,umbral,0.9,nula,nula,False
297165,0,2,umbral,0.9,nula,nula,False
298862,1,2,umbral,0.9,nula,nula,False
299708,3,1,umbral,0.9,nula,nula,False
303272,26,1,umbral,0.9,nula,nula,False
304806,0,0,umbral,0.9,nula,nula,False
304860,0,1,umbral,0.9,nula,nula,False
304976,3,0,umbral,0.9,nula,nula,False
305553,26,0,umbral,0.9,nula,nula,False
306633,10,0,umbral,0.9,nula,nula,False
307562,3,2,umbral,0.9,nula,nula,False
313650,18,1,umbral,0.9,no informativa,no informativa,False
315588,0,0,umbral,0.9,nula,nula,False
316887,0,0,umbral,0.9,nula,nula,False
321015,0,0,umbral,0.9,nula,nula,False
322432,0,2,umbral,0.9,nula,nula,False
323114,3,1,umbral,0.9,nula,nula,False
323916,18,0,umbral,0.9,nula,nula,False
324577,1,1,umbral,0.9,nula,nula,False
324779,3,0,umbral,0.9,nula,nula,False
325713,10,3,umbral,0.9,nula,nula,False
330297,17,0,umbral,0.9,nula,nula,False
333060,10,1,umbral,0.9,nula,nula,False
337559,18,3,umbral,0.9,nula,nula,False
340267,10,3,umbral,0.9,nula,nula,False
341344,18,3,umbral,0.9,nula,nula,False
341674,26,1,umbral,0.9,nula,nula,False
341940,26,0,umbral,0.9,nula,nula,False
342571,10,0,umbral,0.9,nula,nula,False
342902,18,0,umbral,0.9,nula,nula,False
343584,26,0,umbral,0.9,nula,nula,False
344364,26,0,umbral,0.9,nula,nula,False
347120,26,0,umbral,0.9,nula,nula,False
347928,1,0,umbral,0.9,nula,nula,False
349607,26,2,umbral,0.9,nula,nula,False
353396,4,0,umbral,0.9,nula,nula,False
356021,0,0,umbral,0.9,nula,nula,False
356096,18,2,umbral,0.9,informativa,informativa,False
356418,23,2,umbral,0.9,nula,nula,False
358485,1,0,umbral,0.9,nula,nula,False
360247,10,0,umbral,0.9,nula,nula,False
360349,18,1,umbral,0.9,nula,nula,False
360353,3,0,umbral,0.9,nula,nula,False
360510,18,1,umbral,0.9,no informativa,no informativa,False
365149,18,2,umbral,0.9,nula,nula,False
368001,18,2,umbral,0.9,nula,nula,False
370578,26,1,umbral,0.9,no informativa,no informativa,False
372117,15,1,umbral,0.9,nula,nula,False
375446,0,2,umbral,0.9,no informativa,no informativa,False
376648,18,0,umbral,0.9,nula,nula,False
378361,3,0,umbral,0.9,nula,nula,False
380065,3,1,umbral,0.9,nula,nula,False
380139,15,0,umbral,0.9,nula,nula,False
381680,0,0,umbral,0.9,nula,nula,False
381957,0,2,umbral,0.9,nula,nula,False
383581,26,0,umbral,0.9,nula,nula,False
385060,26,1,umbral,0.9,nula,nula,False
389885,3,2,umbral,0.9,nula,nula,False
389937,10,3,umbral,0.9,no informativa,no informativa,False
391029,10,2,umbral,0.9,nula,nula,False
391029,21,2,umbral,0.9,nula,nula,False
391351,26,1,umbral,0.9,nula,nula,False
391886,1,0,umbral,0.9,nula,nula,False
392702,26,0,umbral,0.9,nula,nula,False
396227,0,0,umbral,0.9,nula,nula,False
397648,3,3,umbral,0.9,nula,nula,False
399437,0,3,umbral,0.9,informativa,informativa,False
400062,3,2,umbral,0.9,nula,nula,False
400885,1,2,umbral,0.9,no informativa,no informativa,False
401092,1,2,umbral,0.9,nula,nula,False
405659,0,2,umbral,0.9,nula,nula,False
405683,3,2,umbral,0.9,nula,nula,False
407217,3,0,umbral,0.9,no informativa,no informativa,False
407790,9,3,umbral,0.9,nula,nula,False
411610,0,3,umbral,0.9,nula,nula,False
412518,3,1,umbral,0.9,nula,nula,False
412705,10,0,umbral,0.9,nula,nula,False
413782,0,0,umbral,0.9,nula,nula,False
416505,0,0,umbral,0.9,nula,nula,False
418997,18,3,umbral,0.9,nula,nula,False
420153,0,0,umbral,0.9,nula,nula,False
422172,4,0,umbral,0.9,nula,nula,False
423332,10,1,umbral,0.9,nula,nula,False
423619,1,3,umbral,0.9,nula,nula,False
424806,10,0,umbral,0.9,nula,nula,False
425554,15,0,umbral,0.9,nula,nula,False
428860,0,1,umbral,0.9,nula,nula,False
437251,10,1,umbral,0.9,nula,nula,False
437821,17,2,umbral,0.9,nula,nula,False
443646,3,3,umbral,0.9,nula,nula,False
446587,10,2,umbral,0.9,informativa,informativa,False
451468,10,3,umbral,0.9,nula,nula,False
452888,3,1,umbral,0.9,nula,nula,False
453033,21,2,umbral,0.9,nula,nula,False
457563,0,2,umbral,0.9,nula,nula,False
459314,18,0,umbral,0.9,nula,nula,False
459617,21,3,umbral,0.9,nula,nula,False
461413,23,0,umbral,0.9,nula,nula,False
465291,10,1,umbral,0.9,nula,nula,False
465515,10,2,umbral,0.9,nula,nula,False
467471,1,3,umbral,0.9,nula,nula,False
468048,3,0,umbral,0.9,nula,nula,False
468435,17,2,umbral,0.9,nula,nula,False
469116,10,2,umbral,0.9,nula,nula,False
469136,3,3,umbral,0.9,nula,nula,False
469940,21,3,umbral,0.9,nula,nula,False
474300,10,2,umbral,0.9,nula,nula,False
479089,1,3,umbral,0.9,nula,nula,False
480499,18,1,umbral,0.9,nula,nula,False
481605,0,3,umbral,0.9,nula,nula,False
483273,26,3,umbral,0.9,nula,nula,False
484568,3,0,umbral,0.9,nula,nula,False
485200,26,0,umbral,0.9,nula,nula,False
486461,3,0,umbral,0.9,nula,nula,False
488841,10,1,umbral,0.9,nula,nula,False
488864,4,2,umbral,0.9,no informativa,no informativa,False
491072,1,0,umbral,0.9,nula,nula,False
492307,3,1,umbral,0.9,nula,nula,False
494054,18,0,umbral,0.9,nula,nula,False
494312,25,2,umbral,0.9,nula,nula,False
496265,26,3,umbral,0.9,nula,nula,False
499618,0,0,umbral,0.9,nula,nula,False
503421,23,0,umbral,0.9,nula,nula,False
503918,5,2,umbral,0.9,informativa,informativa,False
504071,0,0,umbral,0.9,nula,nula,False
504350,3,1,umbral,0.9,nula,nula,False
504894,1,1,umbral,0.9,nula,nula,False
505370,26,3,umbral,0.9,nula,nula,False
505460,21,3,umbral,0.9,nula,nula,False
508572,28,0,umbral,0.9,nula,nula,False
508806,18,0,umbral,0.9,nula,nula,False
509256,0,2,umbral,0.9,nula,nula,False
509456,26,0,umbral,0.9,nula,nula,False
511656,1,1,umbral,0.9,nula,nula,False
513136,1,1,umbral,0.9,nula,nula,False
513141,10,2,umbral,0.9,nula,nula,False
514167,10,1,umbral,0.9,nula,nula,False
514200,1,1,umbral,0.9,nula,nula,False
514656,18,1,umbral,0.9,nula,nula,False
514874,0,2,umbral,0.9,informativa,informativa,False
515464,0,3,umbral,0.9,nula,nula,False
515670,1,1,umbral,0.9,no informativa,no informativa,False
519563,0,1,umbral,0.9,nula,nula,False
521567,10,3,umbral,0.9,nula,nula,False
527021,10,0,umbral,0.9,nula,nula,False
530511,18,0,umbral,0.9,nula,nula,False
534025,10,3,umbral,0.9,nula,nula,False
536320,1,1,umbral,0.9,no informativa,no informativa,False
537160,0,1,umbral,0.9,nula,nula,False
541788,3,3,umbral,0.9,nula,nula,False
544756,26,3,umbral,0.9,nula,nula,False
544779,3,0,umbral,0.9,nula,nula,False
545378,10,2,umbral,0.9,nula,nula,False
548579,1,0,umbral,0.9,nula,nula,False
548657,1,3,umbral,0.9,nula,nula,False
550058,10,3,umbral,0.9,nula,nula,False
554001,10,0,umbral,0.9,nula,nula,False
554786,18,2,umbral,0.9,nula,nula,False
555643,0,3,umbral,0.9,nula,nula,False
556881,26,1,umbral,0.9,nula,nula,False
557725,4,2,umbral,0.9,nula,nula,False
558474,10,1,umbral,0.9,nula,nula,False
559860,17,2,umbral,0.9,informativa,informativa,False
562738,0,3,umbral,0.9,nula,nula,False
564519,26,0,umbral,0.9,nula,nula,False
565251,15,2,umbral,0.9,nula,nula,False
566276,23,3,umbral,0.9,nula,nula,False
566551,28,2,umbral,0.9,informativa,informativa,False
567209,18,2,umbral,0.9,nula,nula,False
571449,9,3,umbral,0.9,nula,nula,False
572432,10,3,umbral,0.9,nula,nula,False
572653,1,3,umbral,0.9,nula,nula,False
572684,0,2,umbral,0.9,nula,nula,False
573369,0,0,umbral,0.9,nula,nula,False
574148,18,3,umbral,0.9,nula,nula,False
574233,3,0,umbral,0.9,nula,nula,False
576141,3,3,umbral,0.9,nula,nula,False
581657,3,3,umbral,0.9,nula,nula,False
585372,26,0,umbral,0.9,nula,nula,False
586188,10,3,umbral,0.9,no informativa,no informativa,False
588063,1,3,umbral,0.9,informativa,informativa,False
589202,10,1,umbral,0.9,nula,nula,False
590231,0,0,umbral,0.9,nula,nula,False
591075,21,2,umbral,0.9,informativa,informativa,False
593038,0,3,umbral,0.9,nula,nula,False
594496,0,2,umbral,0.9,no informativa,no informativa,False
599614,1,3,umbral,0.9,nula,nula,False
601254,21,0,umbral,0.9,nula,nula,False
603045,26,3,umbral,0.9,nula,nula,False
603656,10,2,umbral,0.9,nula,nula,False
606411,3,0,umbral,0.9,nula,nula,False
607231,3,3,umbral,0.9,nula,nula,False
608788,26,0,umbral,0.9,nula,nula,False
609537,0,0,umbral,0.9,nula,nula,False
610005,10,0,umbral,0.9,nula,nula,False
612438,9,0,umbral,0.9,nula,nula,False
615786,3,0,umbral,0.9,nula,nula,False
615802,10,2,umbral,0.9,nula,nula,False
