from,to,weight
574907,248232,75
34484,392962,75
367113,219632,75
194646,253187,75
29335,775978,74
614057,600692,74
6571,524215,74
288525,433836,74
172662,670262,74
466156,455217,74
219220,720216,74
90599,399740,73
692229,244656,73
226383,42940,73
173970,193936,73
275944,75180,72
88453,409982,72
283336,395098,72
206138,281586,72
740298,633044,72
377728,326020,72
33998,765069,71
621881,593391,71
173970,662777,70
121754,248232,70
276855,592518,69
319037,683720,69
557356,248232,69
745669,348819,69
615788,265206,69
640629,622505,69
220436,516752,69
24535,521831,68
615608,100865,68
367486,303910,68
102969,531061,67
76895,63413,67
782357,463672,67
78128,344453,67
253187,112197,67
481106,342217,66
761727,764858,66
388144,768147,66
184599,348819,65
136985,248232,65
711650,394226,64
33998,248232,64
98461,739718,61
17382,348819,61
630402,212544,61
408401,348819,61
235170,332707,60
101866,775013,59
343932,630594,59
284763,183621,59
776349,528570,59
627257,742927,59
312101,408917,58
716128,483707,58
173922,114451,56
173970,248232,55
311703,212544,55
765349,182690,53
613504,305114,52
326070,305114,52
259341,666094,52
441349,339267,50
194646,112197,50
159950,694071,50
196300,493513,50
694071,776509,50
671196,463672,50
567452,592518,37
287121,319037,35
252243,706764,33
407430,592518,32
396226,438099,26
206496,438099,26
367149,438099,26
17080,438099,26
237587,438099,26
429254,316276,25
570066,316276,25
336637,438099,25
34881,438099,25
725936,438099,25
465692,438099,25
28003,438099,25
159950,776509,25
287121,683720,24
170306,316276,20
