drug,cluster_id
73892,526994
705419,526994
251093,526994
419639,526994
756710,526994
402174,526994
415039,526994
332659,526994
167912,526994
124153,526994
789174,526994
359186,526994
590128,526994
57668,526994
242291,526994
162862,526994
45958,526994
88777,526994
303380,526994
21178,526994
818671,526994
303374,526994
265053,526994
596095,526994
761361,526994
333379,526994
555489,526994
278931,526994
369421,526994
377203,526994
224800,526994
284194,526994
335707,526994
772257,526994
382695,526994
712102,526994
356795,526994
457684,526994
279490,526994
96073,526994
78182,526994
675364,526994
372418,526994
68944,526994
328346,526994
474028,526994
390412,526994
192524,526994
537198,526994
540172,526994
489326,526994
295394,526994
210124,526994
231258,526994
125365,526994
535559,526994
707204,526994
345900,526994
418729,526994
452653,526994
496071,526994
110023,526994
88962,526994
421621,526994
465989,526994
479601,526994
251873,526994
474771,526994
545857,526994
681009,526994
505845,526994
149118,526994
375262,526994
176185,526994
606359,526994
132678,526994
641667,526994
410078,526994
24246,526994
70303,526994
380348,526994
210651,526994
801789,526994
801004,526994
426228,526994
409751,526994
829005,526994
84085,526994
700786,526994
41403,526994
455926,526994
696507,526994
743344,526994
617916,526994
785928,526994
320196,526994
641896,526994
740974,526994
378294,526994
368890,526994
335449,526994
138783,526994
733885,526994
215058,526994
88412,526994
494488,526994
195559,526994
389365,526994
270884,526994
397568,526994
441582,526994
98662,526994
404669,526994
251424,526994
97082,526994
59001,526994
818507,526994
454292,526994
692612,526994
555033,526994
207510,526994
503040,526994
448419,526994
457235,526994
157956,526994
301282,526994
551771,526994
577,526994
33217,526994
5921,526994
295003,526994
538991,526994
611979,526994
824866,526994
708306,526994
454492,526994
640431,526994
828437,526994
778420,526994
583043,526994
421390,526994
654529,526994
601704,526994
722176,526994
825359,526994
42468,526994
386963,526994
16010,526994
548822,526994
604004,526994
49478,526994
604961,526994
496412,526994
366736,526994
810027,526994
582041,526994
804729,526994
445779,526994
572959,526994
245596,526994
780414,526994
465879,526994
386092,526994
280011,526994
723963,526994
575039,526994
676662,526994
182122,526994
280263,526994
335262,526994
79423,526994
343369,526994
378484,526994
186744,526994
774747,526994
246168,526994
462660,526994
508045,526994
41360,526994
548279,526994
572359,526994
464043,526994
463344,526994
248674,526994
750121,526994
322237,526994
692702,526994
739908,526994
202731,526994
432485,526994
2651,526994
753557,526994
289060,526994
800890,526994
489315,526994
319912,526994
17869,526994
559852,526994
301511,526994
472715,526994
734533,526994
384835,526994
378286,526994
728335,526994
131967,526994
353360,526994
512343,526994
484600,526994
672375,526994
547460,526994
636188,526994
242629,526994
288747,526994
99133,526994
153541,526994
386583,526994
178342,526994
816350,526994
159425,526994
765347,526994
572965,526994
90128,526994
245667,526994
350087,526994
610661,526994
637393,526994
662308,526994
81139,526994
455265,526994
586525,526994
704044,526994
452402,526994
303862,526994
317,526994
277959,526994
485338,526994
713539,526994
537719,526994
790633,526994
342897,526994
43180,526994
628261,526994
815792,526994
478367,526994
158937,526994
100862,526994
466633,526994
104258,526994
607842,526994
731481,526994
305417,526994
4972,526994
729205,526994
505656,526994
200286,526994
779215,526994
101692,526994
378394,526994
531458,526994
274740,526994
213342,526994
455621,526994
820069,526994
818074,526994
105339,526994
106802,526994
422795,526994
339381,526994
763154,526994
559404,526994
341759,526994
454588,526994
830410,526994
163141,526994
442411,526994
385875,526994
20864,526994
550830,526994
271043,526994
755309,526994
595905,526994
324637,526994
431128,526994
807035,526994
211695,526994
593102,526994
778348,526994
10759,526994
86162,526994
813347,526994
564696,526994
752019,526994
670784,526994
530531,526994
159896,526994
773061,526994
202758,526994
751343,526994
363242,526994
353953,526994
119288,526994
561733,526994
114578,526994
682698,526994
793210,526994
554074,526994
596853,526994
742679,526994
96250,526994
132297,526994
475407,526994
115277,526994
317142,526994
340825,526994
323365,526994
101645,526994
362186,526994
571516,526994
277923,526994
319137,526994
430698,526994
142777,526994
750832,526994
272431,526994
802292,526994
140050,526994
548563,526994
585932,526994
593459,526994
252502,526994
693967,526994
347272,526994
227971,526994
513185,526994
461978,526994
208475,526994
209451,526994
395823,526994
83212,526994
507283,526994
444845,526994
54897,526994
165821,526994
127886,526994
216774,526994
170380,526994
455973,526994
332443,526994
305326,526994
562712,526994
459570,526994
737454,526994
794362,526994
8105,526994
41471,526994
409477,526994
448326,526994
513667,526994
557156,526994
683241,526994
472485,526994
257189,526994
242137,526994
268070,526994
415020,526994
715593,526994
747435,526994
604458,526994
50606,526994
388992,526994
134652,526994
499427,526994
551907,526994
349156,526994
231464,526994
773302,526994
544993,526994
1341,526994
264540,526994
795736,526994
460365,526994
232929,526994
424415,526994
708948,526994
387294,526994
122620,526994
228395,526994
108143,526994
481147,526994
558428,526994
744544,526994
668647,526994
104431,526994
6412,526994
292364,526994
763869,526994
487610,526994
407783,526994
733244,526994
156187,526994
503756,526994
527694,526994
13492,526994
263209,526994
344231,526994
88008,526994
816484,526994
402663,526994
745833,526994
103962,526994
532677,526994
628152,526994
43227,526994
374288,526994
111950,526994
46223,526994
483450,526994
483857,526994
389811,526994
230060,526994
157683,526994
28318,526994
815656,526994
298376,526994
822409,526994
244140,526994
354045,526994
6245,526994
38702,526994
577717,526994
780813,526994
132464,526994
703671,526994
515339,526994
379049,526994
189663,526994
504538,526994
629551,526994
258822,526994
311660,526994
38443,526994
63961,526994
499626,526994
807807,526994
606661,526994
258163,526994
135308,526994
691822,526994
26777,526994
283076,526994
765067,526994
431733,526994
407801,526994
534285,526994
210882,526994
294856,526994
70063,526994
540971,526994
7838,526994
555995,526994
376862,526994
389260,526994
236722,526994
791764,526994
675941,526994
517322,526994
729346,526994
602516,526994
299488,526994
341104,526994
359288,526994
527496,526994
432972,526994
40200,526994
84263,526994
350474,526994
659059,526994
52441,526994
474718,526994
758994,526994
457325,526994
10390,526994
680095,526994
204529,526994
18642,526994
434258,526994
46057,526994
541204,526994
255362,526994
812229,526994
232037,526994
28928,526994
531478,526994
537973,526994
337108,526994
335713,526994
149350,526994
578190,526994
825525,526994
656678,526994
684762,526994
631474,526994
276120,526994
351140,526994
689275,526994
485821,526994
510977,526994
638370,526994
119770,526994
452766,526994
430362,339267
478888,339267
468256,339267
87786,339267
534002,339267
214085,339267
152304,339267
558808,339267
436763,339267
221532,339267
662661,339267
589992,339267
623271,339267
650899,339267
420376,339267
384355,339267
756335,339267
561425,339267
220441,339267
390939,339267
542439,339267
278000,339267
722375,339267
187191,339267
210306,339267
476699,339267
46715,339267
586140,339267
699097,339267
632643,339267
397447,339267
224449,339267
516461,339267
381936,339267
628719,339267
383622,339267
806634,339267
518701,687460
405394,687460
464849,687460
763656,687460
444551,687460
773217,687460
628629,687460
689748,687460
680570,687460
514014,687460
395686,687460
505886,687460
46888,687460
151288,687460
376886,687460
670076,687460
362105,687460
628715,687460
360725,687460
264148,687460
720057,687460
384146,687460
646231,687460
537247,687460
88953,687460
724397,687460
244130,687460
454254,687460
165740,687460
405667,687460
490835,687460
180098,687460
492720,324914
674258,324914
628649,324914
721921,324914
370181,324914
226680,324914
204348,324914
420561,324914
779728,324914
404322,324914
21803,324914
214684,324914
542465,324914
327269,324914
421805,324914
487064,324914
68814,324914
137151,324914
480810,324914
216358,324914
17937,324914
402252,324914
255818,324914
115612,324914
607622,282032
171406,282032
470557,282032
730864,282032
515827,282032
224373,282032
492384,282032
259481,282032
44852,282032
576307,282032
118190,282032
727109,282032
662125,282032
770298,282032
486720,282032
65658,282032
209088,282032
719504,282032
114864,282032
65652,282032
53188,282032
