drug,cluster_id
73892,165088
705419,165088
251093,165088
419639,165088
756710,165088
402174,165088
415039,165088
332659,165088
167912,165088
124153,165088
789174,165088
359186,165088
590128,165088
162862,165088
57668,165088
242291,165088
45958,165088
88777,165088
303380,165088
21178,165088
818671,165088
303374,165088
265053,165088
596095,165088
761361,165088
333379,165088
555489,165088
278931,165088
369421,165088
377203,165088
224800,165088
284194,165088
772257,165088
335707,165088
382695,165088
712102,165088
356795,165088
457684,165088
279490,165088
96073,165088
78182,165088
675364,165088
372418,165088
68944,165088
328346,165088
474028,165088
390412,165088
192524,165088
537198,165088
540172,165088
489326,165088
295394,165088
210124,165088
231258,165088
125365,165088
535559,165088
707204,165088
345900,165088
418729,165088
452653,165088
496071,165088
110023,165088
88962,165088
421621,165088
465989,165088
479601,165088
251873,165088
474771,165088
545857,165088
681009,165088
505845,165088
149118,165088
375262,165088
176185,165088
606359,165088
132678,165088
641667,165088
410078,165088
24246,165088
70303,165088
380348,165088
210651,165088
801789,165088
409751,165088
829005,165088
84085,165088
700786,165088
41403,165088
455926,165088
696507,165088
743344,165088
617916,165088
785928,165088
320196,165088
641896,165088
740974,165088
378294,165088
368890,165088
335449,165088
138783,165088
733885,165088
215058,165088
88412,165088
494488,165088
195559,165088
389365,165088
404669,165088
270884,165088
441582,165088
98662,165088
397568,165088
251424,165088
97082,165088
59001,165088
818507,165088
454292,165088
692612,165088
555033,165088
207510,165088
503040,165088
448419,165088
457235,165088
157956,165088
301282,165088
551771,165088
577,165088
33217,165088
5921,165088
295003,165088
538991,165088
611979,165088
824866,165088
708306,165088
454492,165088
640431,165088
828437,165088
778420,165088
583043,165088
421390,165088
654529,165088
601704,165088
722176,165088
42468,165088
386963,165088
604961,165088
496412,165088
16010,165088
548822,165088
604004,165088
49478,165088
366736,165088
810027,165088
582041,165088
804729,165088
445779,165088
245596,165088
572959,165088
780414,165088
465879,165088
386092,165088
723963,165088
575039,165088
280011,165088
676662,165088
182122,165088
280263,165088
335262,165088
79423,165088
343369,165088
378484,165088
186744,165088
774747,165088
246168,165088
462660,165088
508045,165088
41360,165088
548279,165088
572359,165088
464043,165088
463344,165088
248674,165088
750121,165088
322237,165088
