target_id,sp_id,taxon_id
89920,19,17
21268,19,17
382183,19,17
67186,19,17
327149,19,17
52309,19,17
234020,19,17
34993,19,17
170209,19,17
195917,19,17
170696,19,17
227849,19,17
91369,19,17
125908,19,17
305334,19,17
248296,19,17
207269,19,17
182981,19,17
204859,19,17
155174,19,17
231027,19,17
237673,19,17
72489,19,17
231649,19,17
42392,19,17
399789,19,17
154491,19,17
274068,19,17
110837,19,17
234293,19,17
63843,19,17
284696,19,17
366815,19,17
56718,19,17
197416,19,17
146999,19,17
304419,19,17
380661,19,17
345531,19,17
225886,19,17
96734,19,17
333318,19,17
9587,19,17
284519,19,17
260400,19,17
185330,19,17
342066,19,17
137045,19,17
128484,19,17
48260,19,17
314304,19,17
144910,19,17
107988,19,17
267755,19,17
16870,19,17
267139,19,17
331965,19,17
324292,19,17
313726,19,17
227765,19,17
315597,19,17
170092,19,17
160308,19,17
104886,19,17
95190,19,17
353266,19,17
158355,19,17
35967,19,17
164148,19,17
260507,19,17
152100,19,17
14456,19,17
387655,19,17
212926,19,17
112955,19,17
195502,19,17
148509,19,17
183021,19,17
47153,19,17
85153,19,17
143695,19,17
350029,19,17
267653,19,17
124527,19,17
23086,19,17
385584,19,17
374179,19,17
49957,19,17
189803,19,17
128025,19,17
212291,19,17
250860,19,17
65126,19,17
227786,19,17
164818,19,17
129057,19,17
358034,19,17
32957,19,17
61734,19,17
327409,19,17
229455,19,17
386007,19,17
239175,19,17
149289,19,17
392001,19,17
49460,19,17
205367,19,17
183718,19,17
351875,19,17
79472,19,17
8934,19,17
230149,19,17
253973,19,17
209214,19,17
317963,19,17
372310,19,17
9831,19,17
233058,19,17
297120,19,17
339030,19,17
94220,19,17
113757,19,17
343519,19,17
61150,19,17
395184,19,17
349780,19,17
295699,19,17
60364,19,17
346521,19,17
17047,19,17
121026,19,17
141852,19,17
61268,19,17
315881,19,17
294012,19,17
180048,19,17
394508,19,17
255896,19,17
331914,19,17
264233,19,17
295537,19,17
284195,19,17
4392,19,17
188835,19,17
216793,19,17
252412,19,17
241723,19,17
163923,19,17
116996,19,17
340220,19,17
29034,19,17
180584,19,17
147402,19,17
295226,19,17
172422,19,17
317827,19,17
379339,19,17
124036,19,17
194312,19,17
258668,19,17
363542,19,17
175727,19,17
240770,19,17
53698,19,17
165400,19,17
188339,19,17
58337,19,17
167157,19,17
85451,19,17
353012,19,17
8376,19,17
157452,19,17
303569,19,17
336811,19,17
276799,19,17
327226,19,17
398907,19,17
60584,19,17
311399,19,17
167994,19,17
392363,19,17
6967,19,17
165992,19,17
274092,19,17
243290,19,17
66939,19,17
368697,19,17
117047,19,17
51581,19,17
95651,19,17
391349,19,17
262546,19,17
91336,19,17
341490,19,17
64638,19,17
279178,19,17
239115,19,17
78994,19,17
10124,19,17
194825,19,17
168594,19,17
370431,19,17
312399,19,17
184781,19,17
144385,19,17
60126,19,17
354952,19,17
244902,19,17
310524,19,17
301991,19,17
334473,19,17
200138,19,17
47246,19,17
200119,19,17
87633,19,17
290953,19,17
34238,19,17
256864,19,17
152979,19,17
363171,19,17
237091,19,17
171755,19,17
345337,19,17
