target_id,ann,type
301024,127,5
301024,28755,5
301024,30345,5
301024,21368,7
301024,30578,5
301024,5512,1
301024,35687,7
301024,24595,5
160144,127,5
160144,28755,5
160144,30345,5
160144,21368,7
160144,30578,5
160144,5512,1
160144,35687,7
160144,24595,5
18790,14879,5
18790,6106,2
18790,25490,7
18790,4795,4
18790,18561,7
18790,33407,1
253650,30704,7
38160,19890,5
38160,33658,5
38160,21368,7
38160,27546,5
38160,4373,7
38160,1290,5
38160,27373,5
38160,7926,7
38160,29658,1
38160,8787,5
38160,14528,5
95525,7860,5
353716,5438,1
353716,610,7
157995,15735,5
143020,24720,1
143020,16393,5
70121,15630,1
70121,8242,1
70121,23393,7
70121,1984,7
70121,32469,5
70121,8565,5
70121,24472,7
70121,2793,5
158770,14879,5
158770,35108,5
158770,36821,5
158770,23217,5
158770,12262,5
158770,6106,2
158770,25490,7
158770,31173,5
158770,545,7
158770,4795,4
158770,16557,7
158770,35424,7
158770,27900,1
125548,18338,5
125548,17204,1
79277,30704,7
79277,14818,5
87146,12656,5
87146,13141,5
87146,31696,5
87146,21980,5
87146,35909,7
87146,35353,7
180320,9637,1
180320,24517,5
180320,36261,7
395183,22229,5
46308,290,1
79557,2867,3
79557,35522,5
79557,35953,7
79557,3767,1
79557,24465,5
185856,35461,5
162900,25219,5
162900,21368,7
162900,24165,5
162900,11656,5
162900,22155,5
162900,16303,1
252504,32136,5
252504,18428,6
252504,35461,5
252504,14909,5
252504,21902,7
252504,17002,1
252504,11808,0
252504,16678,5
252504,8355,5
252504,32705,1
252504,12454,5
226064,25490,7
358994,27688,3
208720,18272,1
208720,29626,1
299879,127,5
299879,28755,5
299879,30345,5
299879,21368,7
299879,30578,5
299879,5512,1
299879,35687,7
299879,24595,5
180174,127,5
180174,28755,5
180174,30345,5
180174,21368,7
180174,30578,5
180174,5512,1
180174,35687,7
180174,24595,5
5697,14879,5
5697,6106,2
5697,25490,7
5697,4795,4
5697,18561,7
5697,33407,1
271385,23052,5
271385,14251,7
271385,5213,5
271385,8522,5
271385,26650,7
271385,29064,1
302893,19890,5
302893,4373,7
302893,27373,5
302893,7926,7
302893,29658,1
302893,8787,5
302893,14528,5
54123,35134,1
54123,29768,7
54123,8917,1
187658,14879,5
187658,25490,7
152031,3067,5
152031,24472,7
152031,29742,5
152031,13157,7
111740,8412,5
111740,26933,7
111740,24219,1
371859,16221,1
341232,3188,1
341232,24676,1
189382,12656,5
189382,31696,5
189382,21980,5
189382,35909,7
189382,35353,7
379559,12656,5
379559,31696,5
379559,21980,5
379559,35909,7
379559,35353,7
114966,24472,7
114966,6866,1
171340,20111,7
171340,29415,1
150967,29011,5
150967,35461,5
150967,29816,5
150967,25122,5
150967,6917,5
150967,17461,7
150967,16699,5
150967,876,7
150967,31318,1
150967,8552,5
101521,22240,1
101521,23393,7
32836,18624,1
32836,9309,7
27939,2867,3
27939,35522,5
27939,35953,7
27939,3767,1
27939,24465,5
195331,2867,3
195331,12569,5
195331,19614,5
195331,19933,7
195331,35953,7
195331,33931,1
112050,22923,3
112050,14879,5
112050,6106,2
112050,2167,7
112050,25490,7
112050,4795,4
112050,4260,1
112050,17820,5
2038,25219,5
2038,21368,7
2038,24165,5
2038,11656,5
2038,22155,5
2038,16303,1
391521,16945,1
391521,12573,1
391521,15396,5
372075,32136,5
372075,18428,6
372075,35461,5
372075,14909,5
372075,21902,7
372075,17002,1
372075,11808,0
372075,16678,5
372075,8355,5
372075,32705,1
372075,12454,5
196187,26757,7
109050,34233,1
109050,29442,7
109050,6218,7
109050,15437,1
361153,127,5
361153,28755,5
361153,30345,5
361153,21368,7
361153,30578,5
361153,5512,1
361153,35687,7
361153,24595,5
190477,127,5
190477,28755,5
190477,30345,5
190477,21368,7
190477,30578,5
190477,5512,1
190477,35687,7
190477,24595,5
136806,14879,5
136806,6106,2
136806,25490,7
136806,4795,4
136806,18561,7
136806,33407,1
152217,5725,5
152217,23201,7
265187,4373,7
265187,29658,1
265187,8787,5
