drug_id,sp_id,activity_tag,publication_year,cluster_consistent
744663,26,1,2010,1
509171,18,1,1999,1
787358,18,1,2011,1
787358,26,1,-1,1
477377,3,1,1996,1
55660,1,1,2000,1
55660,13,1,2000,1
419085,26,3,2011,1
292637,18,1,2003,1
633800,10,1,-1,1
8934,25,1,-1,1
8934,1,1,-1,1
8934,13,1,-1,1
8934,5,1,-1,1
301215,26,1,-1,1
607959,0,1,2007,1
607959,26,1,2005,1
607959,10,3,-1,1
272316,5,1,1990,1
36815,26,3,2010,1
365281,18,1,1995,1
701241,5,1,1990,1
684589,5,1,1990,1
407949,1,1,1997,1
407949,5,1,1997,1
114519,25,1,2016,1
114519,1,1,2016,1
114519,3,1,2001,1
114519,13,1,-1,1
114519,18,1,2008,1
114519,26,1,-1,1
114519,5,1,2019,1
272714,18,1,1998,1
71783,25,1,2007,1
369333,18,1,1998,1
142203,18,1,1998,1
160095,1,1,1984,1
160095,5,1,1984,1
616175,18,1,1993,1
813481,26,1,2010,1
373835,0,1,2015,1
373835,5,1,2020,1
348182,18,1,1999,1
303971,0,1,2010,1
56568,5,1,2021,1
423321,18,1,2008,1
738643,18,1,1991,1
642199,26,1,-1,1
794369,26,1,2004,1
802600,1,1,1996,1
802600,5,1,1996,1
312867,25,1,2007,1
312867,24,1,2012,1
312867,0,1,2007,1
312867,5,1,2009,1
827206,1,1,1997,1
827206,5,1,1997,1
413237,18,1,1998,1
393230,5,1,2021,1
697774,18,1,1999,1
245906,18,1,1995,1
402080,5,1,1990,1
698026,18,1,1995,1
278010,1,1,1997,1
278010,5,1,1997,1
86688,0,1,2007,1
3550,0,1,2007,1
498816,25,1,2007,1
722194,5,1,1990,1
613254,5,1,1990,1
619567,18,1,1999,1
351471,18,1,1995,1
782855,25,0,2024,1
782855,1,1,2023,1
782855,3,1,2007,1
782855,13,1,2015,1
782855,19,1,2019,1
782855,23,1,2017,1
782855,18,1,2022,1
782855,0,1,2019,1
782855,5,1,2023,1
782855,10,1,2023,1
782855,12,1,2021,1
631536,5,1,1990,1
661419,26,1,2009,1
62592,1,1,1997,1
62592,5,1,1997,1
808530,18,1,1994,1
268929,3,1,1996,1
496190,1,1,1997,1
496190,5,1,1997,1
222271,25,1,-1,1
222271,1,1,-1,1
222271,3,1,2017,1
222271,13,1,-1,1
222271,18,1,2014,1
222271,0,1,2020,1
222271,26,1,2008,1
222271,5,1,-1,1
110765,26,1,2011,1
363650,24,1,-1,1
363650,0,1,-1,1
363650,26,1,2010,1
363650,12,1,-1,1
182344,26,1,2016,1
768493,18,1,1992,1
570723,18,1,1992,1
780832,1,1,2014,1
780832,5,1,2014,1
619198,0,1,2023,1
4338,25,1,2007,1
4338,24,1,2012,1
4338,5,1,2009,1
152970,26,1,2010,1
627591,25,1,-1,1
627591,1,1,-1,1
627591,13,1,-1,1
627591,26,1,-1,1
627591,5,1,-1,1
267384,3,1,1996,1
789353,25,1,-1,1
789353,1,1,-1,1
789353,13,1,-1,1
789353,5,1,-1,1
271654,25,1,-1,1
271654,1,1,-1,1
271654,13,1,-1,1
271654,18,1,1993,1
271654,26,1,2009,1
271654,5,1,-1,1
271654,10,1,2005,1
271654,15,1,2012,1
1970,25,1,-1,1
1970,1,1,-1,1
1970,13,1,-1,1
1970,26,1,-1,1
1970,5,1,-1,1
1970,10,1,-1,1
711526,18,1,1992,1
368272,5,1,1990,1
103297,25,1,-1,1
103297,1,1,-1,1
103297,13,1,-1,1
103297,26,1,2009,1
103297,5,1,-1,1
103297,10,2,-1,1
391479,18,1,1995,1
801011,18,1,1995,1
138680,25,1,-1,1
138680,1,1,-1,1
138680,13,1,-1,1
138680,5,1,-1,1
138680,10,3,-1,1
202008,26,2,2009,1
626934,26,1,-1,1
521065,26,1,-1,1
371364,18,1,2004,1
181351,3,1,1996,1
561732,18,1,1995,1
745286,18,1,2017,1
384492,18,1,1995,1
165654,3,1,2014,1
797788,5,1,2011,1
616364,26,1,-1,1
522743,18,1,2010,1
65088,5,1,2010,1
244245,26,1,2010,1
709288,18,1,1991,1
820382,26,1,2016,1
820382,5,1,2009,1
773092,26,1,2016,1
773092,5,1,2009,1
585270,0,1,2015,1
375233,5,1,2022,1
286521,19,1,2010,1
286521,26,1,2010,1
456726,26,1,2009,1
308799,26,1,2009,1
530350,26,1,2009,1
647334,26,1,2009,1
200681,26,1,2009,1
597777,26,1,2009,1
714193,26,1,2009,1
608524,26,1,2009,1
326661,26,1,2009,1
740572,26,1,2009,1
463188,26,1,2009,1
787332,26,1,2009,1
184176,26,1,2009,1
301588,26,1,2009,1
92813,26,1,2009,1
521348,26,1,2009,1
674262,26,1,2009,1
437256,26,1,2009,1
145674,26,1,2009,1
730115,19,1,2010,1
730115,26,1,2010,1
242237,19,1,2010,1
242237,26,1,2010,1
72955,23,1,2020,1
72955,18,1,2021,1
72955,26,1,2020,1
72955,15,1,2018,1
225292,26,1,-1,1
390149,10,1,2009,1
301600,26,1,-1,1
330282,5,1,2017,1
32898,0,1,2014,1
64201,26,1,-1,1
88509,0,1,2010,1
477282,1,1,2010,1
477282,5,1,2010,1
628204,26,1,-1,1
248393,18,1,2010,1
765198,5,1,2021,1
60614,26,1,-1,1
168366,5,1,2010,1
722202,5,1,2010,1
60448,5,1,2010,1
434518,5,1,2010,1
209370,5,1,2010,1
794386,5,1,2010,1
332433,5,1,2010,1
543709,5,1,2010,1
601116,5,1,2010,1
423892,5,1,2010,1
579568,5,1,2010,1
25390,5,1,2010,1
85632,1,1,2010,1
85632,5,1,2010,1
272523,5,1,2010,1
38333,5,1,2010,1
197783,5,1,2010,1
585408,5,1,2010,1
387949,5,1,2010,1
68117,5,1,2010,1
519352,5,1,2010,1
304101,5,1,2010,1
824049,25,1,2010,1
802959,25,1,2010,1
199614,25,1,2010,1
275008,0,1,2012,1
560143,18,1,2015,1
610666,25,1,2010,1
610666,1,1,2010,1
610666,13,1,2010,1
610666,5,1,2010,1
168137,1,1,2010,1
168137,13,1,2010,1
691920,1,1,2010,1
691920,13,1,2010,1
397721,26,1,2017,1
71714,26,1,2017,1
343111,26,1,2017,1
248131,26,1,2017,1
192229,1,1,2010,1
192229,5,1,2010,1
137316,26,1,2011,1
569999,5,1,2010,1
470275,5,1,2010,1
437093,5,1,2010,1
65744,5,1,2010,1
409322,5,1,2010,1
74115,5,1,2010,1
535115,5,1,2010,1
537762,5,1,2010,1
123408,5,1,2010,1
211560,5,1,2010,1
785231,5,1,2010,1
19393,5,1,2010,1
760830,25,1,2010,1
98358,5,1,2010,1
469412,5,1,2010,1
114590,26,1,2010,1
644593,18,1,1995,1
396997,1,1,2010,1
818243,1,1,2010,1
804737,1,1,2009,1
804737,5,1,2009,1
828543,1,1,2009,1
828543,5,1,2009,1
322191,1,1,2009,1
322191,5,1,2009,1
264080,26,1,2010,1
693072,25,1,-1,1
693072,1,1,-1,1
693072,13,1,-1,1
693072,5,1,-1,1
656324,26,1,2019,1
425524,25,1,2011,1
425524,1,1,2016,1
425524,5,1,2016,1
32141,1,1,2011,1
32141,5,1,2011,1
184519,25,1,2009,1
184519,1,1,2009,1
184519,13,1,2009,1
184519,5,1,2009,1
797315,25,1,-1,1
797315,1,1,-1,1
797315,13,1,-1,1
797315,26,1,-1,1
797315,5,1,-1,1
155793,25,3,2021,1
155793,1,0,2023,1
155793,13,3,2023,1
155793,0,1,2011,1
155793,5,0,2024,1
155793,10,1,2012,1
330439,25,1,2009,1
330439,1,1,2009,1
330439,5,1,2009,1
151342,25,1,2009,1
151342,1,1,2009,1
151342,5,1,2009,1
550381,25,1,2009,1
550381,1,1,2009,1
550381,5,1,2009,1
511801,25,1,2009,1
511801,1,1,2009,1
511801,5,1,2009,1
672796,1,1,2004,1
672796,5,1,2004,1
802481,1,1,2009,1
802481,5,1,2009,1
612728,26,1,-1,1
441789,25,1,2009,1
441789,1,1,2009,1
441789,13,1,2009,1
441789,5,1,2009,1
704329,25,1,2009,1
704329,1,1,2009,1
704329,13,1,2009,1
704329,5,1,2009,1
636401,26,1,2010,1
362451,26,1,2010,1
700621,26,1,2010,1
126046,26,1,-1,1
372011,26,1,-1,1
655936,25,2,2022,1
597961,18,1,2009,1
718656,18,1,2009,1
81486,18,2,2009,1
183530,26,1,-1,1
37129,1,1,2009,1
37129,5,1,2009,1
436224,1,1,2009,1
436224,5,1,2009,1
804324,25,1,2009,1
804324,1,1,2009,1
44965,25,1,2009,1
44965,1,1,2009,1
359595,25,1,2009,1
359595,1,1,2009,1
173621,25,1,2009,1
173621,1,1,2009,1
173621,13,1,2009,1
173621,5,1,2009,1
760229,26,1,-1,1
637816,18,1,1991,1
632755,0,1,2011,1
317701,26,1,-1,1
480754,1,1,2009,1
579446,26,1,-1,1
147494,1,1,2004,1
147494,5,1,2004,1
705482,25,1,-1,1
705482,1,1,-1,1
705482,13,1,-1,1
705482,5,1,-1,1
797359,1,1,1997,1
797359,5,1,1997,1
774752,5,1,2010,1
530925,26,2,2009,1
530925,10,1,-1,1
123818,19,1,2010,1
123818,26,1,2010,1
444904,19,1,2010,1
444904,26,1,2010,1
161934,19,1,2010,1
161934,26,1,2010,1
713641,26,1,-1,1
723117,26,1,2010,1
64203,26,1,-1,1
339312,26,1,-1,1
817498,26,1,2009,1
315611,25,1,-1,1
315611,1,1,-1,1
315611,13,1,-1,1
315611,18,1,2021,1
315611,26,1,-1,1
315611,5,1,-1,1
140838,26,1,2016,1
140838,5,1,2009,1
326665,19,1,2010,1
326665,26,1,2010,1
242680,1,1,2009,1
572114,1,1,2009,1
265693,1,1,2009,1
671941,26,1,-1,1
196795,26,1,-1,1
150973,19,1,2010,1
150973,26,1,2010,1
115761,26,1,2010,1
395432,26,1,2010,1
822185,26,1,2009,1
258353,26,1,2009,1
400399,18,1,1995,1
817092,5,1,2010,1
283955,10,1,2009,1
180596,1,1,2004,1
180596,5,1,2004,1
615933,5,1,2010,1
