activity_tag,cluster_consistent,n,pct
1,1,1628322,82.0817832622569
2,1,248457,12.524423071106675
3,1,101885,5.13590216657089
0,1,4919,0.24796096341328172
2,0,88,0.0044359757634415105
3,0,88,0.0044359757634415105
1,0,19,0.0009577674943794171
0,0,2,0.00010081763098730706
