ann,db,grado,tramo
IP14879,ip,9576,>1000
IP15396,ip,3772,>1000
IP13370,ip,3696,>1000
IP395,ip,3605,>1000
IP21642,ip,3231,>1000
IP23052,ip,2884,>1000
IP24970,ip,2373,>1000
IP28419,ip,2344,>1000
IP13191,ip,2317,>1000
IP30364,ip,2281,>1000
IP14109,ip,2223,>1000
IP12262,ip,1936,>1000
IP28599,ip,1908,>1000
IP35461,ip,1703,>1000
IP12559,ip,1579,>1000
IP9835,ip,1555,>1000
IP28755,ip,1535,>1000
IP24517,ip,1495,>1000
IP36821,ip,1480,>1000
IP14996,ip,1417,>1000
IP25283,ip,1371,>1000
IP19580,ip,1312,>1000
IP561,ip,1291,>1000
IP12073,ip,1255,>1000
IP10632,ip,1239,>1000
IP15052,ip,1230,>1000
IP33389,ip,1220,>1000
IP22695,ip,1171,>1000
IP15224,ip,1128,>1000
IP4882,ip,1124,>1000
OG40926,omcl,1121,>1000
IP758,ip,1120,>1000
OG52697,omcl,1116,>1000
IP19890,ip,1106,>1000
IP127,ip,1094,>1000
OG25590,omcl,1038,>1000
IP29893,ip,995,101-1000
IP19058,ip,982,101-1000
IP27689,ip,979,101-1000
IP1489,ip,976,101-1000
IP35108,ip,933,101-1000
IP28994,ip,928,101-1000
IP12445,ip,918,101-1000
IP16640,ip,856,101-1000
IP23217,ip,850,101-1000
IP10225,ip,840,101-1000
IP11262,ip,800,101-1000
OG38745,omcl,777,101-1000
OG67297,omcl,777,101-1000
IP22498,ip,772,101-1000
IP29179,ip,758,101-1000
IP4446,ip,752,101-1000
IP23401,ip,750,101-1000
IP14455,ip,748,101-1000
IP27107,ip,744,101-1000
OG71876,omcl,739,101-1000
OG20247,omcl,734,101-1000
IP25186,ip,732,101-1000
OG26690,omcl,726,101-1000
IP25434,ip,719,101-1000
IP1411,ip,710,101-1000
IP588,ip,709,101-1000
IP24546,ip,706,101-1000
OG38402,omcl,696,101-1000
IP31659,ip,676,101-1000
IP14909,ip,666,101-1000
IP12656,ip,658,101-1000
IP13288,ip,650,101-1000
IP24369,ip,645,101-1000
OG51585,omcl,640,101-1000
IP5258,ip,631,101-1000
IP129,ip,631,101-1000
IP27785,ip,629,101-1000
OG31534,omcl,629,101-1000
IP31173,ip,623,101-1000
IP5302,ip,622,101-1000
IP23691,ip,617,101-1000
OG6425,omcl,617,101-1000
OG51035,omcl,614,101-1000
IP6726,ip,607,101-1000
IP21292,ip,607,101-1000
IP5614,ip,606,101-1000
IP26535,ip,604,101-1000
IP3598,ip,601,101-1000
IP18910,ip,592,101-1000
IP24487,ip,583,101-1000
IP9044,ip,580,101-1000
IP128,ip,575,101-1000
OG65111,omcl,570,101-1000
IP6436,ip,569,101-1000
IP6488,ip,567,101-1000
IP15235,ip,567,101-1000
IP36344,ip,567,101-1000
IP2825,ip,553,101-1000
IP21098,ip,548,101-1000
IP21515,ip,547,101-1000
OG61036,omcl,540,101-1000
IP2378,ip,538,101-1000
IP14439,ip,533,101-1000
IP11847,ip,533,101-1000
IP5417,ip,525,101-1000
IP7023,ip,523,101-1000
OG68659,omcl,519,101-1000
IP19907,ip,515,101-1000
IP6447,ip,513,101-1000
IP28014,ip,513,101-1000
IP14930,ip,512,101-1000
IP32183,ip,510,101-1000
OG17763,omcl,508,101-1000
IP21202,ip,508,101-1000
IP15735,ip,507,101-1000
IP16919,ip,507,101-1000
IP9446,ip,506,101-1000
IP19676,ip,505,101-1000
IP19258,ip,502,101-1000
IP28486,ip,499,101-1000
IP34962,ip,495,101-1000
IP22229,ip,487,101-1000
OG18940,omcl,483,101-1000
IP28062,ip,474,101-1000
IP35967,ip,471,101-1000
IP6349,ip,464,101-1000
OG5756,omcl,464,101-1000
IP26051,ip,457,101-1000
IP16982,ip,456,101-1000
OG55737,omcl,454,101-1000
IP28647,ip,453,101-1000
IP34443,ip,452,101-1000
IP17564,ip,451,101-1000
IP13880,ip,448,101-1000
IP21631,ip,448,101-1000
IP26191,ip,445,101-1000
OG67186,omcl,445,101-1000
IP26556,ip,444,101-1000
IP13784,ip,442,101-1000
IP43,ip,442,101-1000
IP35055,ip,436,101-1000
IP23320,ip,434,101-1000
IP16803,ip,434,101-1000
IP18239,ip,431,101-1000
IP11422,ip,431,101-1000
IP30095,ip,426,101-1000
IP29139,ip,425,101-1000
IP31741,ip,424,101-1000
IP23918,ip,423,101-1000
IP14271,ip,420,101-1000
IP29416,ip,417,101-1000
IP30618,ip,416,101-1000
IP12569,ip,416,101-1000
IP18377,ip,416,101-1000
IP2828,ip,415,101-1000
IP24308,ip,414,101-1000
IP20459,ip,410,101-1000
OG55359,omcl,408,101-1000
IP10176,ip,408,101-1000
IP11044,ip,407,101-1000
IP19370,ip,407,101-1000
IP32129,ip,404,101-1000
OG30374,omcl,403,101-1000
IP13446,ip,403,101-1000
OG276,omcl,401,101-1000
IP14121,ip,395,101-1000
IP11769,ip,389,101-1000
IP36529,ip,389,101-1000
IP18886,ip,388,101-1000
IP4752,ip,387,101-1000
OG55893,omcl,387,101-1000
IP14480,ip,385,101-1000
IP18971,ip,384,101-1000
IP6334,ip,384,101-1000
IP12354,ip,381,101-1000
IP23208,ip,379,101-1000
IP25452,ip,378,101-1000
IP34168,ip,377,101-1000
OG56320,omcl,377,101-1000
IP34389,ip,376,101-1000
IP31696,ip,373,101-1000
IP19991,ip,373,101-1000
OG31424,omcl,372,101-1000
IP2998,ip,371,101-1000
OG5841,omcl,370,101-1000
IP17286,ip,370,101-1000
OG2211,omcl,367,101-1000
IP11103,ip,366,101-1000
IP15547,ip,361,101-1000
OG29402,omcl,361,101-1000
IP30933,ip,357,101-1000
IP23706,ip,357,101-1000
IP9218,ip,353,101-1000
IP14060,ip,353,101-1000
OG63741,omcl,352,101-1000
IP8355,ip,350,101-1000
IP24514,ip,349,101-1000
IP20969,ip,349,101-1000
OG17571,omcl,347,101-1000
IP1451,ip,344,101-1000
OG60565,omcl,343,101-1000
OG31080,omcl,341,101-1000
IP404,ip,341,101-1000
IP12604,ip,338,101-1000
OG51531,omcl,337,101-1000
OG43068,omcl,337,101-1000
IP26531,ip,337,101-1000
OG34277,omcl,337,101-1000
IP250,ip,336,101-1000
IP14966,ip,336,101-1000
OG10140,omcl,335,101-1000
IP12179,ip,334,101-1000
IP21936,ip,331,101-1000
IP21868,ip,329,101-1000
IP23693,ip,328,101-1000
IP35027,ip,326,101-1000
IP19614,ip,324,101-1000
IP406,ip,322,101-1000
IP11464,ip,321,101-1000
IP24081,ip,321,101-1000
IP19586,ip,319,101-1000
IP6267,ip,319,101-1000
IP31016,ip,319,101-1000
OG14560,omcl,319,101-1000
IP33539,ip,318,101-1000
IP25219,ip,314,101-1000
IP11656,ip,313,101-1000
IP28219,ip,312,101-1000
IP3091,ip,310,101-1000
IP1158,ip,309,101-1000
IP35236,ip,305,101-1000
OG10791,omcl,304,101-1000
IP20172,ip,303,101-1000
IP28267,ip,300,101-1000
IP12347,ip,299,101-1000
IP21205,ip,299,101-1000
IP13352,ip,299,101-1000
IP12729,ip,297,101-1000
IP30971,ip,296,101-1000
IP27847,ip,296,101-1000
IP33753,ip,294,101-1000
IP2128,ip,294,101-1000
OG33152,omcl,293,101-1000
IP32200,ip,292,101-1000
IP27680,ip,292,101-1000
OG15501,omcl,292,101-1000
IP17965,ip,291,101-1000
IP6278,ip,288,101-1000
OG31355,omcl,288,101-1000
IP16316,ip,286,101-1000
IP1364,ip,285,101-1000
IP36373,ip,285,101-1000
OG17099,omcl,284,101-1000
IP7069,ip,282,101-1000
OG10620,omcl,282,101-1000
OG47571,omcl,281,101-1000
IP4745,ip,281,101-1000
IP21863,ip,280,101-1000
IP1834,ip,280,101-1000
OG66864,omcl,279,101-1000
OG68172,omcl,277,101-1000
IP7058,ip,276,101-1000
IP17020,ip,275,101-1000
IP33511,ip,274,101-1000
IP6683,ip,274,101-1000
IP28169,ip,273,101-1000
IP3879,ip,272,101-1000
OG29862,omcl,271,101-1000
IP25021,ip,269,101-1000
OG19812,omcl,266,101-1000
IP15812,ip,265,101-1000
IP25122,ip,264,101-1000
IP7000,ip,263,101-1000
IP33207,ip,262,101-1000
OG47171,omcl,262,101-1000
IP32444,ip,260,101-1000
IP200,ip,260,101-1000
OG29087,omcl,260,101-1000
IP33648,ip,260,101-1000
IP3816,ip,259,101-1000
IP21102,ip,257,101-1000
IP23043,ip,256,101-1000
IP1743,ip,256,101-1000
IP1974,ip,256,101-1000
IP5929,ip,255,101-1000
IP20053,ip,253,101-1000
IP997,ip,253,101-1000
IP26427,ip,252,101-1000
OG75611,omcl,249,101-1000
IP29160,ip,248,101-1000
IP1597,ip,248,101-1000
IP24335,ip,248,101-1000
IP19647,ip,247,101-1000
IP8959,ip,247,101-1000
IP6751,ip,245,101-1000
IP7361,ip,245,101-1000
IP31755,ip,244,101-1000
IP17446,ip,244,101-1000
IP19373,ip,243,101-1000
IP9011,ip,243,101-1000
OG31814,omcl,243,101-1000
IP28181,ip,243,101-1000
IP23219,ip,241,101-1000
IP18222,ip,241,101-1000
IP15002,ip,241,101-1000
IP4544,ip,241,101-1000
IP3049,ip,241,101-1000
IP35910,ip,240,101-1000
OG12104,omcl,240,101-1000
IP3334,ip,238,101-1000
IP13722,ip,238,101-1000
OG70799,omcl,238,101-1000
IP10714,ip,237,101-1000
IP25059,ip,237,101-1000
IP30016,ip,237,101-1000
IP31359,ip,236,101-1000
OG35237,omcl,236,101-1000
IP3369,ip,235,101-1000
IP35729,ip,234,101-1000
IP10170,ip,234,101-1000
IP34929,ip,234,101-1000
OG30836,omcl,234,101-1000
IP2608,ip,234,101-1000
IP13194,ip,234,101-1000
OG40620,omcl,233,101-1000
IP8418,ip,232,101-1000
OG55572,omcl,231,101-1000
IP22078,ip,230,101-1000
IP10677,ip,229,101-1000
IP8043,ip,229,101-1000
IP2671,ip,229,101-1000
OG31253,omcl,229,101-1000
IP34505,ip,229,101-1000
IP26338,ip,227,101-1000
IP28686,ip,227,101-1000
OG49588,omcl,226,101-1000
IP31494,ip,225,101-1000
OG1386,omcl,225,101-1000
OG36706,omcl,224,101-1000
IP16666,ip,223,101-1000
IP29816,ip,222,101-1000
IP14039,ip,221,101-1000
OG50934,omcl,221,101-1000
OG74686,omcl,220,101-1000
IP33695,ip,220,101-1000
IP2219,ip,219,101-1000
IP12941,ip,219,101-1000
IP35077,ip,218,101-1000
IP14295,ip,218,101-1000
IP28101,ip,217,101-1000
IP11277,ip,217,101-1000
IP3360,ip,217,101-1000
OG59288,omcl,217,101-1000
OG34191,omcl,217,101-1000
IP35920,ip,216,101-1000
IP4092,ip,216,101-1000
IP21609,ip,216,101-1000
IP4303,ip,215,101-1000
IP34094,ip,215,101-1000
IP35425,ip,215,101-1000
IP24688,ip,215,101-1000
IP17748,ip,214,101-1000
OG48945,omcl,214,101-1000
IP26821,ip,214,101-1000
IP34544,ip,213,101-1000
IP14444,ip,213,101-1000
IP7227,ip,212,101-1000
OG2028,omcl,212,101-1000
IP18435,ip,212,101-1000
OG24601,omcl,211,101-1000
OG45461,omcl,211,101-1000
IP29008,ip,210,101-1000
IP7309,ip,210,101-1000
OG47996,omcl,210,101-1000
OG27473,omcl,210,101-1000
IP9595,ip,209,101-1000
IP26743,ip,209,101-1000
IP1116,ip,209,101-1000
OG3311,omcl,208,101-1000
OG3484,omcl,208,101-1000
IP28476,ip,207,101-1000
IP13480,ip,207,101-1000
IP25456,ip,207,101-1000
IP25366,ip,206,101-1000
IP31559,ip,206,101-1000
IP20864,ip,206,101-1000
OG33299,omcl,206,101-1000
IP35076,ip,206,101-1000
IP27308,ip,206,101-1000
IP20233,ip,205,101-1000
IP12495,ip,205,101-1000
IP16330,ip,205,101-1000
IP33892,ip,205,101-1000
IP6953,ip,204,101-1000
IP4029,ip,204,101-1000
OG62859,omcl,204,101-1000
IP2913,ip,204,101-1000
IP6545,ip,204,101-1000
IP9429,ip,204,101-1000
OG5340,omcl,204,101-1000
IP34003,ip,203,101-1000
IP17429,ip,203,101-1000
OG58819,omcl,203,101-1000
OG74263,omcl,203,101-1000
IP2876,ip,202,101-1000
OG54553,omcl,202,101-1000
IP19200,ip,202,101-1000
IP16577,ip,201,101-1000
IP19838,ip,201,101-1000
IP20052,ip,201,101-1000
OG65086,omcl,200,101-1000
IP20779,ip,200,101-1000
IP24281,ip,200,101-1000
IP31679,ip,200,101-1000
IP3112,ip,199,101-1000
IP28947,ip,199,101-1000
OG73715,omcl,199,101-1000
IP36076,ip,199,101-1000
IP6728,ip,198,101-1000
IP15843,ip,198,101-1000
IP35437,ip,198,101-1000
IP4817,ip,198,101-1000
OG32551,omcl,197,101-1000
IP22304,ip,197,101-1000
IP27331,ip,197,101-1000
IP747,ip,197,101-1000
IP33658,ip,196,101-1000
IP19317,ip,196,101-1000
IP2574,ip,196,101-1000
IP13465,ip,196,101-1000
IP23037,ip,196,101-1000
OG30431,omcl,195,101-1000
IP24005,ip,194,101-1000
IP7161,ip,194,101-1000
IP8255,ip,193,101-1000
IP1437,ip,193,101-1000
IP4842,ip,193,101-1000
IP34634,ip,193,101-1000
OG54107,omcl,193,101-1000
OG53507,omcl,193,101-1000
IP16735,ip,193,101-1000
OG585,omcl,193,101-1000
OG26549,omcl,192,101-1000
OG52360,omcl,192,101-1000
IP34628,ip,191,101-1000
OG41746,omcl,191,101-1000
IP29998,ip,191,101-1000
IP20727,ip,191,101-1000
IP32750,ip,190,101-1000
OG4420,omcl,190,101-1000
IP5742,ip,190,101-1000
IP27453,ip,189,101-1000
IP20944,ip,189,101-1000
IP25090,ip,189,101-1000
IP7507,ip,188,101-1000
IP23158,ip,188,101-1000
IP23677,ip,188,101-1000
IP34446,ip,187,101-1000
OG51575,omcl,187,101-1000
IP7095,ip,187,101-1000
IP16495,ip,187,101-1000
IP10106,ip,187,101-1000
OG69020,omcl,187,101-1000
IP19919,ip,186,101-1000
OG68693,omcl,186,101-1000
IP22755,ip,186,101-1000
OG56623,omcl,186,101-1000
IP9497,ip,185,101-1000
IP15909,ip,184,101-1000
OG22606,omcl,183,101-1000
IP5804,ip,183,101-1000
OG18655,omcl,183,101-1000
IP9059,ip,183,101-1000
IP34697,ip,183,101-1000
IP18442,ip,182,101-1000
IP35343,ip,182,101-1000
IP16399,ip,182,101-1000
IP15916,ip,182,101-1000
IP27471,ip,181,101-1000
OG64359,omcl,181,101-1000
IP19396,ip,181,101-1000
IP15539,ip,180,101-1000
IP3102,ip,180,101-1000
IP4658,ip,180,101-1000
OG71724,omcl,179,101-1000
IP33956,ip,179,101-1000
OG10295,omcl,179,101-1000
IP19572,ip,179,101-1000
IP6495,ip,178,101-1000
IP18007,ip,178,101-1000
IP11165,ip,178,101-1000
IP14757,ip,178,101-1000
OG29083,omcl,177,101-1000
IP29796,ip,177,101-1000
IP3089,ip,177,101-1000
IP24358,ip,177,101-1000
IP30755,ip,176,101-1000
IP15241,ip,176,101-1000
OG73786,omcl,176,101-1000
OG42158,omcl,176,101-1000
OG61252,omcl,176,101-1000
OG28857,omcl,176,101-1000
IP22910,ip,176,101-1000
OG61764,omcl,176,101-1000
IP24817,ip,175,101-1000
IP20179,ip,175,101-1000
IP2046,ip,175,101-1000
IP35617,ip,175,101-1000
IP4975,ip,175,101-1000
OG68076,omcl,174,101-1000
IP26481,ip,174,101-1000
IP15691,ip,174,101-1000
IP9945,ip,173,101-1000
OG40343,omcl,173,101-1000
IP8876,ip,173,101-1000
IP27061,ip,173,101-1000
IP29013,ip,173,101-1000
OG7733,omcl,173,101-1000
IP10254,ip,172,101-1000
IP2907,ip,172,101-1000
OG11328,omcl,172,101-1000
IP24185,ip,172,101-1000
IP23990,ip,172,101-1000
OG1518,omcl,171,101-1000
OG11552,omcl,171,101-1000
IP24828,ip,171,101-1000
IP23952,ip,171,101-1000
IP8660,ip,171,101-1000
IP4796,ip,171,101-1000
IP16029,ip,170,101-1000
IP29040,ip,170,101-1000
IP17359,ip,169,101-1000
IP30443,ip,169,101-1000
IP2182,ip,169,101-1000
OG22580,omcl,169,101-1000
OG37043,omcl,169,101-1000
IP35520,ip,168,101-1000
IP36807,ip,168,101-1000
IP19455,ip,168,101-1000
IP125,ip,168,101-1000
OG51953,omcl,168,101-1000
IP7185,ip,168,101-1000
IP329,ip,167,101-1000
IP31549,ip,167,101-1000
OG46023,omcl,167,101-1000
IP20938,ip,167,101-1000
IP13992,ip,166,101-1000
IP36445,ip,166,101-1000
OG54408,omcl,166,101-1000
OG49125,omcl,165,101-1000
IP1687,ip,165,101-1000
IP25491,ip,165,101-1000
IP28492,ip,165,101-1000
IP13159,ip,165,101-1000
IP34834,ip,165,101-1000
IP11119,ip,165,101-1000
OG28670,omcl,165,101-1000
OG17414,omcl,164,101-1000
IP16474,ip,164,101-1000
IP451,ip,164,101-1000
IP19723,ip,163,101-1000
IP20476,ip,163,101-1000
IP18304,ip,163,101-1000
IP20761,ip,163,101-1000
OG75127,omcl,163,101-1000
IP16471,ip,162,101-1000
IP32317,ip,162,101-1000
IP32921,ip,161,101-1000
IP24165,ip,161,101-1000
IP32888,ip,161,101-1000
IP20020,ip,161,101-1000
IP5312,ip,161,101-1000
OG70468,omcl,161,101-1000
IP23807,ip,160,101-1000
IP18079,ip,160,101-1000
IP6175,ip,159,101-1000
OG24473,omcl,159,101-1000
OG36800,omcl,159,101-1000
IP12644,ip,158,101-1000
IP9751,ip,158,101-1000
IP7124,ip,158,101-1000
IP31042,ip,158,101-1000
OG29718,omcl,157,101-1000
IP6670,ip,157,101-1000
OG61221,omcl,157,101-1000
IP21517,ip,157,101-1000
IP17805,ip,156,101-1000
OG60916,omcl,156,101-1000
OG74716,omcl,156,101-1000
IP25053,ip,155,101-1000
IP13232,ip,155,101-1000
IP21862,ip,155,101-1000
IP2875,ip,155,101-1000
IP3625,ip,155,101-1000
OG65491,omcl,154,101-1000
OG44746,omcl,154,101-1000
OG40216,omcl,154,101-1000
IP26993,ip,154,101-1000
IP5725,ip,153,101-1000
IP4390,ip,153,101-1000
OG6594,omcl,153,101-1000
IP31392,ip,152,101-1000
IP5585,ip,152,101-1000
IP36349,ip,152,101-1000
IP33252,ip,151,101-1000
IP3223,ip,151,101-1000
OG62603,omcl,149,101-1000
IP21005,ip,149,101-1000
OG42072,omcl,149,101-1000
OG11869,omcl,148,101-1000
OG70106,omcl,148,101-1000
OG9348,omcl,148,101-1000
IP22031,ip,147,101-1000
IP2505,ip,147,101-1000
IP10758,ip,147,101-1000
OG74021,omcl,147,101-1000
OG40421,omcl,147,101-1000
IP30831,ip,147,101-1000
IP25769,ip,147,101-1000
IP19793,ip,146,101-1000
OG64772,omcl,146,101-1000
IP5044,ip,146,101-1000
IP28133,ip,146,101-1000
IP16696,ip,146,101-1000
IP25941,ip,145,101-1000
IP4287,ip,145,101-1000
IP19990,ip,145,101-1000
IP36084,ip,145,101-1000
IP31130,ip,145,101-1000
IP36792,ip,145,101-1000
IP1065,ip,145,101-1000
IP8412,ip,144,101-1000
IP19664,ip,144,101-1000
OG17854,omcl,144,101-1000
IP6244,ip,144,101-1000
IP13968,ip,144,101-1000
IP28811,ip,144,101-1000
IP14207,ip,144,101-1000
OG65645,omcl,144,101-1000
OG61332,omcl,143,101-1000
IP1875,ip,143,101-1000
IP17602,ip,143,101-1000
IP5419,ip,143,101-1000
IP6401,ip,143,101-1000
OG38201,omcl,143,101-1000
OG33509,omcl,143,101-1000
IP11830,ip,142,101-1000
IP9264,ip,142,101-1000
IP14486,ip,142,101-1000
IP36398,ip,142,101-1000
OG6004,omcl,142,101-1000
IP13876,ip,142,101-1000
IP14037,ip,142,101-1000
OG14904,omcl,142,101-1000
IP16752,ip,142,101-1000
OG31492,omcl,142,101-1000
IP10189,ip,141,101-1000
OG40334,omcl,141,101-1000
IP12105,ip,141,101-1000
IP22372,ip,141,101-1000
IP10219,ip,141,101-1000
OG1973,omcl,140,101-1000
IP2752,ip,140,101-1000
IP14492,ip,140,101-1000
IP20783,ip,140,101-1000
IP27489,ip,139,101-1000
IP6274,ip,139,101-1000
IP20603,ip,139,101-1000
IP22449,ip,139,101-1000
OG16694,omcl,138,101-1000
OG14475,omcl,138,101-1000
OG2156,omcl,138,101-1000
OG35390,omcl,138,101-1000
IP748,ip,137,101-1000
IP18825,ip,137,101-1000
OG7885,omcl,137,101-1000
IP14631,ip,136,101-1000
IP20857,ip,136,101-1000
IP2387,ip,136,101-1000
IP20515,ip,136,101-1000
IP24032,ip,136,101-1000
OG69954,omcl,136,101-1000
IP16674,ip,136,101-1000
OG62203,omcl,136,101-1000
IP33393,ip,136,101-1000
IP26584,ip,135,101-1000
IP26752,ip,135,101-1000
IP9792,ip,135,101-1000
OG40323,omcl,135,101-1000
IP30481,ip,135,101-1000
OG7838,omcl,135,101-1000
IP27273,ip,135,101-1000
IP150,ip,134,101-1000
IP32401,ip,134,101-1000
IP24858,ip,134,101-1000
IP19073,ip,134,101-1000
IP18659,ip,134,101-1000
OG45606,omcl,134,101-1000
IP17820,ip,134,101-1000
IP4195,ip,134,101-1000
IP1668,ip,134,101-1000
IP2476,ip,134,101-1000
IP22108,ip,134,101-1000
OG7431,omcl,134,101-1000
IP3627,ip,133,101-1000
IP11250,ip,133,101-1000
IP14719,ip,133,101-1000
IP26618,ip,133,101-1000
OG39195,omcl,133,101-1000
OG18480,omcl,133,101-1000
IP10265,ip,133,101-1000
IP21281,ip,132,101-1000
IP11908,ip,132,101-1000
OG2345,omcl,132,101-1000
OG42504,omcl,132,101-1000
IP18744,ip,132,101-1000
IP23270,ip,131,101-1000
OG45267,omcl,131,101-1000
OG34027,omcl,131,101-1000
IP17882,ip,131,101-1000
IP6531,ip,131,101-1000
IP6798,ip,131,101-1000
OG48205,omcl,131,101-1000
IP6617,ip,131,101-1000
IP26958,ip,131,101-1000
OG57704,omcl,131,101-1000
OG37930,omcl,131,101-1000
IP20003,ip,131,101-1000
IP12020,ip,131,101-1000
IP5797,ip,130,101-1000
IP7451,ip,130,101-1000
IP20722,ip,130,101-1000
IP3443,ip,130,101-1000
IP33958,ip,130,101-1000
IP8461,ip,130,101-1000
IP13161,ip,130,101-1000
IP22962,ip,130,101-1000
OG51450,omcl,130,101-1000
IP4677,ip,129,101-1000
IP33401,ip,129,101-1000
IP18265,ip,129,101-1000
IP22982,ip,129,101-1000
IP17625,ip,129,101-1000
IP7321,ip,128,101-1000
IP400,ip,128,101-1000
OG42103,omcl,128,101-1000
IP4331,ip,128,101-1000
OG69739,omcl,128,101-1000
OG61732,omcl,128,101-1000
IP17355,ip,127,101-1000
IP18338,ip,127,101-1000
IP32972,ip,127,101-1000
IP19658,ip,126,101-1000
IP15191,ip,126,101-1000
IP31667,ip,125,101-1000
IP26983,ip,125,101-1000
OG15396,omcl,125,101-1000
IP25260,ip,125,101-1000
OG75931,omcl,124,101-1000
OG56495,omcl,124,101-1000
IP11652,ip,124,101-1000
IP3570,ip,124,101-1000
IP29326,ip,124,101-1000
IP12955,ip,124,101-1000
IP36189,ip,124,101-1000
IP26986,ip,124,101-1000
IP24575,ip,123,101-1000
IP13546,ip,123,101-1000
IP12319,ip,123,101-1000
IP5186,ip,123,101-1000
IP1723,ip,123,101-1000
IP32762,ip,123,101-1000
IP34204,ip,123,101-1000
OG63230,omcl,122,101-1000
IP21783,ip,122,101-1000
IP32037,ip,122,101-1000
IP13460,ip,121,101-1000
IP17878,ip,121,101-1000
OG21933,omcl,121,101-1000
IP9118,ip,121,101-1000
OG65662,omcl,121,101-1000
IP11610,ip,121,101-1000
IP9407,ip,121,101-1000
OG7037,omcl,121,101-1000
IP27894,ip,121,101-1000
IP17809,ip,120,101-1000
IP27112,ip,120,101-1000
OG56991,omcl,120,101-1000
IP36487,ip,120,101-1000
IP10566,ip,120,101-1000
IP1548,ip,120,101-1000
IP1524,ip,120,101-1000
IP32425,ip,120,101-1000
OG69473,omcl,120,101-1000
IP32248,ip,120,101-1000
IP26050,ip,120,101-1000
IP34508,ip,120,101-1000
IP31428,ip,120,101-1000
IP20718,ip,120,101-1000
IP31438,ip,120,101-1000
IP12581,ip,119,101-1000
OG26776,omcl,119,101-1000
IP9028,ip,119,101-1000
OG31308,omcl,119,101-1000
OG72777,omcl,119,101-1000
IP35925,ip,119,101-1000
IP25471,ip,119,101-1000
IP30604,ip,119,101-1000
IP24629,ip,119,101-1000
IP14709,ip,119,101-1000
IP28193,ip,118,101-1000
IP4264,ip,118,101-1000
IP33153,ip,118,101-1000
IP29874,ip,118,101-1000
OG28547,omcl,118,101-1000
IP28736,ip,118,101-1000
IP20950,ip,118,101-1000
IP29473,ip,117,101-1000
IP24407,ip,117,101-1000
IP18277,ip,117,101-1000
IP35403,ip,117,101-1000
OG12969,omcl,117,101-1000
OG13293,omcl,117,101-1000
IP3743,ip,117,101-1000
IP19520,ip,117,101-1000
IP10996,ip,117,101-1000
IP11287,ip,117,101-1000
OG24392,omcl,117,101-1000
OG813,omcl,116,101-1000
IP10675,ip,116,101-1000
IP7761,ip,116,101-1000
OG37206,omcl,116,101-1000
IP13776,ip,116,101-1000
OG9233,omcl,116,101-1000
OG66866,omcl,115,101-1000
IP9086,ip,115,101-1000
OG61229,omcl,115,101-1000
IP27071,ip,115,101-1000
IP4579,ip,115,101-1000
OG20841,omcl,115,101-1000
IP27638,ip,115,101-1000
IP579,ip,115,101-1000
OG40999,omcl,115,101-1000
OG34074,omcl,114,101-1000
OG38643,omcl,114,101-1000
IP22020,ip,114,101-1000
IP28383,ip,114,101-1000
OG71992,omcl,114,101-1000
OG40873,omcl,114,101-1000
IP733,ip,114,101-1000
OG23125,omcl,114,101-1000
IP26571,ip,114,101-1000
IP35657,ip,114,101-1000
OG45698,omcl,113,101-1000
IP22727,ip,113,101-1000
IP17210,ip,113,101-1000
IP23228,ip,113,101-1000
IP2818,ip,113,101-1000
IP24389,ip,113,101-1000
IP27772,ip,113,101-1000
IP21128,ip,113,101-1000
OG74762,omcl,113,101-1000
IP3045,ip,113,101-1000
OG48169,omcl,112,101-1000
IP14370,ip,112,101-1000
IP34786,ip,112,101-1000
OG69243,omcl,112,101-1000
OG48805,omcl,112,101-1000
IP1676,ip,112,101-1000
IP35507,ip,112,101-1000
IP7631,ip,112,101-1000
IP29217,ip,112,101-1000
OG54832,omcl,112,101-1000
IP15166,ip,111,101-1000
OG39827,omcl,111,101-1000
OG30769,omcl,111,101-1000
IP28679,ip,111,101-1000
IP12764,ip,111,101-1000
IP1262,ip,111,101-1000
OG17130,omcl,111,101-1000
IP34828,ip,111,101-1000
IP25463,ip,111,101-1000
IP16051,ip,111,101-1000
IP35210,ip,111,101-1000
IP21541,ip,111,101-1000
OG26614,omcl,111,101-1000
IP36274,ip,110,101-1000
IP28643,ip,110,101-1000
IP28097,ip,110,101-1000
OG71373,omcl,110,101-1000
IP25823,ip,110,101-1000
IP5645,ip,110,101-1000
IP33378,ip,110,101-1000
OG24121,omcl,110,101-1000
OG75362,omcl,110,101-1000
IP34688,ip,109,101-1000
OG40452,omcl,109,101-1000
IP33730,ip,109,101-1000
OG63581,omcl,109,101-1000
IP2258,ip,109,101-1000
IP32703,ip,109,101-1000
IP20383,ip,109,101-1000
IP18694,ip,109,101-1000
IP15834,ip,109,101-1000
IP8552,ip,109,101-1000
IP23816,ip,109,101-1000
IP7229,ip,109,101-1000
OG7847,omcl,109,101-1000
IP22380,ip,108,101-1000
IP6251,ip,108,101-1000
OG73925,omcl,108,101-1000
OG43116,omcl,108,101-1000
OG68024,omcl,108,101-1000
OG29904,omcl,108,101-1000
OG25349,omcl,108,101-1000
IP31965,ip,108,101-1000
OG22842,omcl,108,101-1000
IP32159,ip,108,101-1000
IP26776,ip,108,101-1000
IP30666,ip,108,101-1000
IP16067,ip,108,101-1000
IP27860,ip,107,101-1000
OG29824,omcl,107,101-1000
