,0,1,3,4,5,9,10,15,17,18,21,22,23,25,26,28
0,1150,143,258,25,17,32,84,37,40,57,63,17,29,30,61,13
1,143,1811,385,30,23,30,157,45,53,119,127,20,32,47,59,23
3,258,385,66924,30,23,451,819,71,97,512,163,25,44,54,648,27
4,25,30,30,158,5,7,24,19,14,16,22,6,8,14,12,9
5,17,23,23,5,47,12,18,11,14,17,15,5,9,11,6,8
9,32,30,451,7,12,969,29,15,19,33,24,9,13,13,48,12
10,84,157,819,24,18,29,2616,43,50,117,103,19,28,46,51,25
15,37,45,71,19,11,15,43,253,21,33,33,12,20,19,26,11
17,40,53,97,14,14,19,50,21,205,47,43,10,13,21,15,19
18,57,119,512,16,17,33,117,33,47,1541,77,17,22,31,47,23
21,63,127,163,22,15,24,103,33,43,77,461,16,22,39,36,29
22,17,20,25,6,5,9,19,12,10,17,16,57,11,8,10,7
23,29,32,44,8,9,13,28,20,13,22,22,11,127,16,16,6
25,30,47,54,14,11,13,46,19,21,31,39,8,16,111,20,16
26,61,59,648,12,6,48,51,26,15,47,36,10,16,20,1888,8
28,13,23,27,9,8,12,25,11,19,23,29,7,6,16,8,59
