,0,1,3,4,5,9,10,15,17,18,21,22,23,25,26,28
0,4580,2022,1056,919,1568,1116,1127,840,1108,1150,1569,1288,885,1187,819,1506
1,2022,5807,1155,1012,1877,1204,1232,944,1199,1257,1705,1378,967,1313,898,1629
3,1056,1155,15566,3520,886,7082,4034,3360,7868,13740,4979,5328,3103,4124,2932,4634
4,919,1012,3520,9146,789,3502,3006,7287,3510,3626,3398,3511,5937,3065,2579,3247
5,1568,1877,886,789,3265,914,958,729,917,960,1290,1028,749,976,752,1235
9,1116,1204,7082,3502,914,14168,4094,3346,7180,7327,4876,5178,3108,4210,3025,4572
10,1127,1232,4034,3006,958,4094,7107,2907,4209,4161,4266,4338,2750,5761,2749,4036
15,840,944,3360,7287,729,3346,2907,8373,3371,3449,3259,3344,5669,2968,2553,3124
17,1108,1199,7868,3510,917,7180,4209,3371,10377,8132,5106,5319,3113,4320,3074,4782
18,1150,1257,13740,3626,960,7327,4161,3449,8132,16064,5148,5529,3199,4277,2993,4782
21,1569,1705,4979,3398,1290,4876,4266,3259,5106,5148,11040,5209,3051,4405,3164,8740
22,1288,1378,5328,3511,1028,5178,4338,3344,5319,5529,5209,10041,3160,4473,3078,4869
23,885,967,3103,5937,749,3108,2750,5669,3113,3199,3051,3160,7019,2805,2380,2930
25,1187,1313,4124,3065,976,4210,5761,2968,4320,4277,4405,4473,2805,7306,2776,4176
26,819,898,2932,2579,752,3025,2749,2553,3074,2993,3164,3078,2380,2776,5684,3014
28,1506,1629,4634,3247,1235,4572,4036,3124,4782,4782,8740,4869,2930,4176,3014,11448
