params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
5 3 3 1,0.5879583109601169,0.820487985659664,0.5650286481577864,4533,1.2,1.0,1.0,0.8
4 3 3 1,0.5873957442662123,0.821850970928805,0.5661950812437384,4533,0.9,1.0,1.0,0.8
5 3 2 1,0.5867556456769615,0.818718799053975,0.5622088437222368,4533,1.2,1.0,0.5,0.8
3 3 3 1,0.5865013184772214,0.82345175732846,0.5694718983424023,4533,0.6,1.0,1.0,0.8
4 3 2 1,0.5861340577467404,0.8200120615791043,0.5631975167161021,4533,0.9,1.0,0.5,0.8
5 3 4 1,0.585411966193317,0.8171506429853004,0.5639004862844998,4533,1.2,1.0,,0.8
5 3 1 1,0.5853499462302376,0.8162434879636892,0.5630439400962663,4533,1.2,1.0,0.0,0.8
5 3 4 2,0.5853360724912948,0.8168523831741582,0.5641098642416238,4533,1.2,1.0,,1.0
5 3 4 3,0.5853107036330945,0.8166406403858663,0.5640038156659375,4533,1.2,1.0,,1.2
3 3 2 1,0.5852203993830175,0.8216656408458152,0.5672635220901556,4533,0.6,1.0,0.5,0.8
4 3 1 1,0.5846339539389646,0.8173701311380603,0.5629493613133407,4533,0.9,1.0,0.0,0.8
4 3 4 1,0.5845408453240446,0.8183177920293127,0.5640499407215653,4533,0.9,1.0,,0.8
2 3 3 1,0.5844867941996776,0.8252298717142008,0.5718636900322207,4533,0.3,1.0,1.0,0.8
4 3 4 3,0.5844649516220224,0.817806223723616,0.5637589869369908,4533,0.9,1.0,,1.2
4 3 4 2,0.5844364452071166,0.8180075128010409,0.564039063944572,4533,0.9,1.0,,1.0
3 3 1 1,0.583568665511799,0.8187666868851295,0.56481644975982,4533,0.6,1.0,0.0,0.8
3 3 4 1,0.5835659166789331,0.8198041516975987,0.5648626760620421,4533,0.6,1.0,,0.8
3 3 4 2,0.583455963364296,0.8194628223084084,0.5650367044939371,4533,0.6,1.0,,1.0
3 3 4 3,0.5834189142802478,0.8192285358810988,0.5656838727250468,4533,0.6,1.0,,1.2
2 3 2 1,0.5833570886790882,0.8234779946601967,0.569626082441804,4533,0.3,1.0,0.5,0.8
2 3 1 1,0.5814865865841259,0.8202890957649301,0.5671223120186304,4533,0.3,1.0,0.0,0.8
2 3 4 1,0.5813209161858091,0.8214487616008348,0.565479716199432,4533,0.3,1.0,,0.8
2 3 4 3,0.581132107463705,0.8208202064713119,0.5672366194236558,4533,0.3,1.0,,1.2
2 3 4 2,0.5809945732671136,0.8210646482936304,0.5668586514231335,4533,0.3,1.0,,1.0
1 3 3 1,0.5806476835168949,0.8234751091322576,0.5701661028484892,4533,0.0,1.0,1.0,0.8
1 3 2 1,0.5799807444720508,0.8216271345964126,0.5640041049419215,4533,0.0,1.0,0.5,0.8
1 3 4 1,0.5778224016291749,0.8191047655354509,0.5604378382937993,4533,0.0,1.0,,0.8
5 4 3 1,0.5777354107870644,0.8273419534153428,0.5770409201707052,4533,1.2,1.5,1.0,0.8
1 3 1 1,0.5776430333431761,0.8175175516033641,0.5548819025010339,4533,0.0,1.0,0.0,0.8
1 3 4 2,0.5775286374703719,0.8186071547959759,0.5586294728720453,4533,0.0,1.0,,1.0
1 3 4 3,0.5773381627889551,0.8182485285109252,0.558509929571712,4533,0.0,1.0,,1.2
5 4 2 1,0.5770675369539393,0.8261839762279939,0.5736204775460512,4533,1.2,1.5,0.5,0.8
5 4 4 1,0.5760116889628789,0.8250365648459559,0.5687579507504168,4533,1.2,1.5,,0.8
5 4 1 1,0.5759240279260252,0.8244736410132482,0.5669225958793678,4533,1.2,1.5,0.0,0.8
5 4 4 3,0.5757864142424861,0.8246985567066553,0.5674581758997004,4533,1.2,1.5,,1.2
5 4 4 2,0.5757597588934832,0.8248410034330116,0.5680591178285881,4533,1.2,1.5,,1.0
4 4 3 1,0.5750783815345959,0.8283667370918694,0.5769458496186068,4533,0.9,1.5,1.0,0.8
4 4 2 1,0.5739814398804892,0.8271832150271698,0.5750993286945807,4533,0.9,1.5,0.5,0.8
4 4 4 1,0.5731778921720052,0.826038005758559,0.5712599276624903,4533,0.9,1.5,,0.8
4 4 1 1,0.5730557218224085,0.8254252125542074,0.5698619436152508,4533,0.9,1.5,0.0,0.8
4 4 4 3,0.573000189845319,0.825682883328863,0.5705196993473702,4533,0.9,1.5,,1.2
4 4 4 2,0.5729955621805616,0.8258140699875474,0.5713087719123666,4533,0.9,1.5,,1.0
3 4 3 1,0.5710187660968691,0.8294310412917167,0.5813224506165398,4533,0.6,1.5,1.0,0.8
3 4 2 1,0.5698607820738631,0.8281945094029736,0.5793974635818893,4533,0.6,1.5,0.5,0.8
3 4 1 1,0.5685383805927735,0.8263442911702786,0.5776900120871078,4533,0.6,1.5,0.0,0.8
3 4 4 1,0.5685213547530359,0.8269751840113462,0.5787014511009034,4533,0.6,1.5,,0.8
3 4 4 2,0.5682050075902164,0.8267429496355468,0.5784947923380279,4533,0.6,1.5,,1.0
3 4 4 3,0.5681789868923802,0.8265884545644626,0.5776518421210364,4533,0.6,1.5,,1.2
2 4 3 1,0.5655981475124784,0.8300708655287862,0.5839730575291249,4533,0.3,1.5,1.0,0.8
2 4 2 1,0.5648469849690487,0.8288205098639638,0.5814591190551182,4533,0.3,1.5,0.5,0.8
2 4 4 1,0.5633922322758959,0.827515741386576,0.5790396436536436,4533,0.3,1.5,,0.8
2 4 1 1,0.5633363300856259,0.8268652736012754,0.577968078626601,4533,0.3,1.5,0.0,0.8
2 4 4 2,0.5629838871376983,0.8272606198565284,0.5790001574818455,4533,0.3,1.5,,1.0
2 4 4 3,0.5629276147342477,0.8271086451024533,0.579439162714964,4533,0.3,1.5,,1.2
4 2 3 1,0.5603831395440099,0.805227466167438,0.5590288039039761,4533,0.9,0.5,1.0,0.8
3 2 3 1,0.5602630146222359,0.8049498407738203,0.5593403975299998,4533,0.6,0.5,1.0,0.8
5 2 3 1,0.5602587479153296,0.8053211897782363,0.5588839778826524,4533,1.2,0.5,1.0,0.8
2 2 3 1,0.5597489392440399,0.8038302197739573,0.5559284162278737,4533,0.3,0.5,1.0,0.8
1 4 3 1,0.5593600646747618,0.8279921409645339,0.5827724898770761,4533,0.0,1.5,1.0,0.8
1 4 2 1,0.5581627859933842,0.826564757437459,0.5812784372755941,4533,0.0,1.5,0.5,0.8
1 4 1 1,0.5572268917005017,0.8241852545530304,0.5797258786063746,4533,0.0,1.5,0.0,0.8
1 4 4 1,0.5570428911220806,0.8249862145529886,0.5789617850225857,4533,0.0,1.5,,0.8
5 2 2 1,0.5570415953759486,0.8028073091594263,0.5576719259740444,4533,1.2,0.5,0.5,0.8
1 2 3 1,0.5569325768495924,0.771777755538883,0.4955138646507757,4533,0.0,0.5,1.0,0.8
1 4 4 2,0.5568153951226043,0.8247013879953474,0.5790623952097749,4533,0.0,1.5,,1.0
4 2 2 1,0.5568052142601378,0.8025562212213787,0.5568451896759483,4533,0.9,0.5,0.5,0.8
1 4 4 3,0.5567496822830484,0.8244809922391881,0.5807564532265035,4533,0.0,1.5,,1.2
3 2 2 1,0.5560858900502395,0.802080966091532,0.5568226261492066,4533,0.6,0.5,0.5,0.8
5 2 4 1,0.5537953811018906,0.800766284487772,0.5575245832516611,4533,1.2,0.5,,0.8
2 2 2 1,0.5537126415411373,0.8006169584169243,0.5553486203734066,4533,0.3,0.5,0.5,0.8
4 2 4 1,0.5534238721751623,0.8004053476108002,0.5559201573985342,4533,0.9,0.5,,0.8
5 2 4 2,0.5526780777228513,0.800364431330857,0.5571057260908192,4533,1.2,0.5,,1.0
3 2 4 1,0.5521494156147924,0.7997170443347844,0.5562490786559913,4533,0.6,0.5,,0.8
4 2 4 2,0.5520859217404877,0.799962359408979,0.5546500911913612,4533,0.9,0.5,,1.0
5 2 4 3,0.5518778650181024,0.800091667581743,0.5568067159700938,4533,1.2,0.5,,1.2
4 2 4 3,0.5513444796068809,0.7996604077130929,0.5548024673158638,4533,0.9,0.5,,1.2
5 2 1 1,0.5511635379148646,0.7995594503947229,0.5559174382042857,4533,1.2,0.5,0.0,0.8
3 2 4 2,0.5510408112538545,0.7992223155072986,0.5556209447846201,4533,0.6,0.5,,1.0
4 2 1 1,0.5505302872778123,0.79909461462422,0.5543619578476293,4533,0.9,0.5,0.0,0.8
3 2 4 3,0.5503722080126177,0.798911101556004,0.554916673474295,4533,0.6,0.5,,1.2
2 2 4 1,0.5499343676818109,0.7978517385515557,0.5527351709609494,4533,0.3,0.5,,0.8
3 2 1 1,0.5496182056255818,0.7982889484655993,0.55376373511299,4533,0.6,0.5,0.0,0.8
1 2 2 1,0.5486329526603964,0.7649319381340496,0.4879005112779448,4533,0.0,0.5,0.5,0.8
2 2 4 2,0.5485378001602085,0.7972419465855367,0.551516971937684,4533,0.3,0.5,,1.0
