params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
1 3 3 1,0.8493870852798066,0.8827843649163182,0.7208917815089073,19241,0.0,1.0,1.0,0.8
2 4 3 1,0.8489525413827489,0.8786061452432933,0.7388548133234749,19241,0.3,1.5,1.0,0.8
1 3 2 1,0.8479559244014536,0.8830675420514771,0.7179309614893135,19241,0.0,1.0,0.5,0.8
3 4 3 1,0.8472804920397226,0.8791585558939352,0.7418780520969193,19241,0.6,1.5,1.0,0.8
2 4 2 1,0.8457501417935629,0.8776025789520031,0.7391913318224939,19241,0.3,1.5,0.5,0.8
1 4 3 1,0.8448243743607009,0.8758880752199326,0.7276927118197256,19241,0.0,1.5,1.0,0.8
3 4 2 1,0.8444748499217632,0.8783336363809064,0.7440301421753226,19241,0.6,1.5,0.5,0.8
4 4 3 1,0.8443709372507278,0.8792236885066488,0.7307268060286223,19241,0.9,1.5,1.0,0.8
1 3 4 1,0.8429397763723747,0.8807277745954923,0.7134173462933506,19241,0.0,1.0,,0.8
2 3 3 1,0.8423871498945947,0.8824391433526693,0.7063536395795165,19241,0.3,1.0,1.0,0.8
2 4 4 1,0.8421509847331504,0.8763651528917897,0.7376362906939629,19241,0.3,1.5,,0.8
3 4 4 1,0.8414708290681906,0.8774406832336208,0.7427193483444665,19241,0.6,1.5,,0.8
4 4 2 1,0.8414708290681906,0.8785066682787612,0.7258852818169304,19241,0.9,1.5,0.5,0.8
1 3 4 2,0.8414377659455883,0.880563165018247,0.7130781139354687,19241,0.0,1.0,,1.0
2 4 4 2,0.8411496444486262,0.8761629236158222,0.7381546377368065,19241,0.3,1.5,,1.0
5 4 3 1,0.8410457317775906,0.8789347093284035,0.7155861874316329,19241,1.2,1.5,1.0,0.8
1 4 2 1,0.8407528869773996,0.8747674854628409,0.7259829807360005,19241,0.0,1.5,0.5,0.8
3 4 4 2,0.8407056539451108,0.8773339069245607,0.7424669594702022,19241,0.6,1.5,,1.0
3 4 4 3,0.8402711100480531,0.8771953129598644,0.7420951608059636,19241,0.6,1.5,,1.2
2 4 4 3,0.8401671973770175,0.8760168431439176,0.7385427195542236,19241,0.3,1.5,,1.2
1 3 4 3,0.8401624740737885,0.8803906478177627,0.7125923331989816,19241,0.0,1.0,,1.2
2 4 1 1,0.838920245324591,0.8756231464460942,0.7405835414192414,19241,0.3,1.5,0.0,0.8
3 4 1 1,0.8387690996212667,0.8768014290993611,0.7407680838219293,19241,0.6,1.5,0.0,0.8
2 3 2 1,0.8387407598018933,0.8820684208738422,0.7010095835714587,19241,0.3,1.0,0.5,0.8
4 4 4 1,0.8379472448594402,0.8777257319955819,0.7240887072495874,19241,0.9,1.5,,0.8
5 4 2 1,0.837786652549658,0.8783356015890484,0.7135046576836692,19241,1.2,1.5,0.5,0.8
1 3 1 1,0.8375693806011291,0.8803425002182785,0.7100847276095179,19241,0.0,1.0,0.0,0.8
4 4 4 2,0.837068710458867,0.8775253743464162,0.7231469982241068,19241,0.9,1.5,,1.0
4 4 4 3,0.8366436131682671,0.8774409639776412,0.7230140191398173,19241,0.9,1.5,,1.2
1 4 4 1,0.8350849231027342,0.8728611399835541,0.724465933631552,19241,0.0,1.5,,0.8
5 4 4 1,0.8350565832833607,0.8776353324210402,0.7117732157290395,19241,1.2,1.5,,0.8
4 4 1 1,0.8345181267152675,0.8769968269375011,0.7210111912988819,19241,0.9,1.5,0.0,0.8
3 3 3 1,0.8343858742248589,0.881223708907381,0.696070360440697,19241,0.6,1.0,1.0,0.8
2 3 4 1,0.8340552429988365,0.8806479497123825,0.6989931864362082,19241,0.3,1.0,,0.8
5 4 4 2,0.8340269031794633,0.8774585572695811,0.7105546930995272,19241,1.2,1.5,,1.0
1 4 4 2,0.8337340583792722,0.8725071217739354,0.7251281151941378,19241,0.0,1.5,,1.0
5 4 4 3,0.8333373009080456,0.8773531846806222,0.7102453131891389,19241,1.2,1.5,,1.2
1 4 4 3,0.8327327180947479,0.8723187893269733,0.7259151342644241,19241,0.0,1.5,,1.2
2 3 4 2,0.832392640262268,0.8803815236371024,0.6979754893625623,19241,0.3,1.0,,1.0
5 4 1 1,0.8320620090362458,0.8770249949208729,0.709330742752289,19241,1.2,1.5,0.0,0.8
2 3 4 3,0.8315707855004415,0.8802419938590055,0.697481567049486,19241,0.3,1.0,,1.2
1 4 1 1,0.8311929212421305,0.8721096350318378,0.7267944245360543,19241,0.0,1.5,0.0,0.8
3 3 2 1,0.8298259972876905,0.8807402209137264,0.6935166192505613,19241,0.6,1.0,0.5,0.8
2 3 1 1,0.8291996872795397,0.8798172281562671,0.6963363186092764,19241,0.3,1.0,0.0,0.8
3 3 4 1,0.8254805583171135,0.8796093839998929,0.6908136158229574,19241,0.6,1.0,,0.8
4 3 3 1,0.8252254999427535,0.8794351823352868,0.6885448298134427,19241,0.9,1.0,1.0,0.8
3 3 4 2,0.8239691012838695,0.8793550299174866,0.6894566863914295,19241,0.6,1.0,,1.0
3 3 4 3,0.8233550718641139,0.8792780124745798,0.6890523214208342,19241,0.6,1.0,,1.2
