especie,sp21,sp25,sp9,sp22,sp17,sp1,sp3,sp23,sp18,sp0,sp28,sp26,sp5,sp10,sp15,sp4
sp21,1.0,0.6993346714153751,0.8673777126509925,0.8761784713521515,0.6899935585703132,0.8917424821168136,0.5090422946037919,0.8451608534648016,0.960747274116258,0.5973539829154803,0.8186124036391416,0.8242253354851917,0.042052772601717,-0.5056740051392458,0.8452823898936102,0.8987445286917649
sp25,0.6993346714153751,1.0,0.4759087081520576,0.7919382450729573,0.8668593900682742,0.8391265999688439,0.24390752071927,0.4504657481982438,0.7412857926825945,0.8990200640543503,0.918021515554576,0.9097446849269611,0.5703607501552796,-0.1118696567125854,0.4405014280689319,0.4975492877115181
sp9,0.8673777126509925,0.4759087081520576,1.0,0.7942572101748733,0.4160581153486886,0.7467267635381134,0.4269921990981488,0.9554446678403634,0.8118668169100661,0.2920902355901263,0.6098316025976318,0.6433351042957993,-0.2531088200830154,-0.5929762361565923,0.9519235777608784,0.9870546116209864
sp22,0.8761784713521515,0.7919382450729573,0.7942572101748733,1.0,0.7675573002857268,0.937853107350287,0.4769896416086873,0.7586434403968675,0.8778730393588566,0.7318797551254456,0.8312099146168407,0.8839757134660529,0.1360729658534111,-0.4089152334049009,0.6962811459893784,0.812928742945577
sp17,0.6899935585703132,0.8668593900682742,0.4160581153486886,0.7675573002857268,1.0,0.7601061881152301,0.4003826661278798,0.3366426024119814,0.7283469830328761,0.8852470401552341,0.8395319805762715,0.8990863917160626,0.5724118055762828,0.0817870716493205,0.3039735536271742,0.466860430795301
sp1,0.8917424821168136,0.8391265999688439,0.7467267635381134,0.937853107350287,0.7601061881152301,1.0,0.501208417251198,0.7350870461276552,0.9264393360650044,0.7867838044308633,0.9062921036183068,0.9253193369680884,0.1667838658371486,-0.4362316827557469,0.7079010832378946,0.769540887460163
sp3,0.5090422946037919,0.24390752071927,0.4269921990981488,0.4769896416086873,0.4003826661278798,0.501208417251198,1.0,0.4222939480073522,0.5253281477880408,0.4077088686714355,0.2420376415028821,0.3906632242925957,-0.001923801488138,-0.4069935412181401,0.3005561159739858,0.458522221200464
sp23,0.8451608534648016,0.4504657481982438,0.9554446678403634,0.7586434403968675,0.3366426024119814,0.7350870461276552,0.4222939480073522,1.0,0.8054635833465563,0.2906144360974518,0.5689328580688797,0.5758267095864629,-0.2257692615752558,-0.7108804619783997,0.9630216092145608,0.954573076509051
sp18,0.960747274116258,0.7412857926825945,0.8118668169100661,0.8778730393588566,0.7283469830328761,0.9264393360650044,0.5253281477880408,0.8054635833465563,1.0,0.6747065768456143,0.8681991804986458,0.8497479855349733,0.1111116899204906,-0.4747829710396555,0.7963587685941036,0.8383478685127375
sp0,0.5973539829154803,0.8990200640543503,0.2920902355901263,0.7318797551254456,0.8852470401552341,0.7867838044308633,0.4077088686714355,0.2906144360974518,0.6747065768456143,1.0,0.8170150704910063,0.826909554327162,0.6683265534396257,-0.0918952705048961,0.2351243751728927,0.3315513777895437
sp28,0.8186124036391416,0.918021515554576,0.6098316025976318,0.8312099146168407,0.8395319805762715,0.9062921036183068,0.2420376415028821,0.5689328580688797,0.8681991804986458,0.8170150704910063,1.0,0.9431886644723302,0.3780269924191183,-0.1946732411973053,0.6021817525214863,0.6343993235639181
sp26,0.8242253354851917,0.9097446849269611,0.6433351042957993,0.8839757134660529,0.8990863917160626,0.9253193369680884,0.3906632242925957,0.5758267095864629,0.8497479855349733,0.826909554327162,0.9431886644723302,1.0,0.3375843402200678,-0.163758184176551,0.5703575607943635,0.6769590838220843
sp5,0.042052772601717,0.5703607501552796,-0.2531088200830154,0.1360729658534111,0.5724118055762828,0.1667838658371486,-0.001923801488138,-0.2257692615752558,0.1111116899204906,0.6683265534396257,0.3780269924191183,0.3375843402200678,1.0,0.3328002946185598,-0.2559493838908838,-0.2240225579134493
sp10,-0.5056740051392458,-0.1118696567125854,-0.5929762361565923,-0.4089152334049009,0.0817870716493205,-0.4362316827557469,-0.4069935412181401,-0.7108804619783997,-0.4747829710396555,-0.0918952705048961,-0.1946732411973053,-0.163758184176551,0.3328002946185598,1.0,-0.6532756671925729,-0.5905489800498172
sp15,0.8452823898936102,0.4405014280689319,0.9519235777608784,0.6962811459893784,0.3039735536271742,0.7079010832378946,0.3005561159739858,0.9630216092145608,0.7963587685941036,0.2351243751728927,0.6021817525214863,0.5703575607943635,-0.2559493838908838,-0.6532756671925729,1.0,0.9451279433569808
sp4,0.8987445286917649,0.4975492877115181,0.9870546116209864,0.812928742945577,0.466860430795301,0.769540887460163,0.458522221200464,0.954573076509051,0.8383478685127375,0.3315513777895437,0.6343993235639181,0.6769590838220843,-0.2240225579134493,-0.5905489800498172,0.9451279433569808,1.0
