drug_id,tratable
72494,True
72501,True
72502,True
72512,True
98978,False
453078,False
560020,True
560082,False
560169,True
560231,False
560512,False
623746,False
722538,True
1128876,False
1128878,True
1128883,True
1128884,True
1235209,False
1386464,False
1386955,False
1386984,False
1387823,False
1388339,False
1389092,False
1389345,False
1389520,True
1389855,False
1389993,True
1390314,False
1551891,False
1606594,False
1897944,False
