drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
2386501,atha,informativa,O23346,2,0.1428571428571428,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,atha_pseudohuerfanas,2
2386872,atha,informativa,O23346,2,0.0714285714285714,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,atha_pseudohuerfanas,2
2387773,atha,informativa,Q93YN9,24,0.1176470588235294,2.0,9.210647508519848e-05,19.0,2.0,directa,21714.0,atha_pseudohuerfanas,3
2387953,atha,informativa,Q93YN9,77,0.1176470588235294,2.0,9.210647508519848e-05,53.0,2.0,directa,21714.0,atha_pseudohuerfanas,3
2388808,atha,informativa,Q8W453,127,0.003227259213153,379.0,0.0174541770286451,7300.5,379.0,indirecta,21714.0,atha_pseudohuerfanas,3
2389431,atha,informativa,Q9LFT6,3,0.0135957066189624,15.5,0.0007138251819102,44.0,15.5,directa,21714.0,atha_pseudohuerfanas,2
2389622,atha,informativa,Q9LFT6,2,0.0271914132379248,10.5,0.0004835589941972,20.0,10.5,directa,21714.0,atha_pseudohuerfanas,2
2391374,atha,informativa,Q93ZN9,8,0.0033707865168539,24.5,0.0011283043197936,302.5,24.5,indirecta,21714.0,atha_pseudohuerfanas,3
2391701,atha,no informativa,Q8GXC6,4,0.0,10880.5,0.5010822510822511,185863.0,10880.5,indirecta,21714.0,atha_pseudohuerfanas,3
2392214,atha,informativa,Q39128,4,0.000413029661908,73.0,0.0033618863406097,1387.5,73.0,indirecta,21714.0,atha_pseudohuerfanas,3
2395295,atha,informativa,Q94JS0,99,0.0144338200708407,36.5,0.0016809431703048,742.0,36.5,indirecta,21714.0,atha_pseudohuerfanas,3
2397626,atha,no informativa,Q9SWH5,132,0.0,11577.0,0.5331583310306715,193864.0,11577.0,indirecta,21714.0,atha_pseudohuerfanas,3
2398426,atha,informativa,Q9LFG2,2,0.1666666666666666,1.0,4.6053237542599246e-05,6.5,1.0,directa,21714.0,atha_pseudohuerfanas,2
2398427,atha,informativa,Q9LFG2,2,0.1666666666666666,1.0,4.6053237542599246e-05,6.5,1.0,directa,21714.0,atha_pseudohuerfanas,2
19546,calb,no informativa,P29717,10,0.0,3025.0,0.5008278145695364,184693.0,3025.0,indirecta,6040.0,calb_pseudohuerfanas,2
83211,calb,no informativa,Q8NJN3,4,0.0,3025.0,0.5008278145695364,184441.0,3025.0,indirecta,6040.0,calb_pseudohuerfanas,2
91680,calb,no informativa,A0A1D8PJF9,358,0.0,3174.5,0.5255794701986755,196112.5,3174.5,indirecta,6040.0,calb_pseudohuerfanas,2
92182,calb,no informativa,P29717,3,0.0,3021.0,0.5001655629139072,187465.0,3021.0,indirecta,6040.0,calb_pseudohuerfanas,2
92592,calb,no informativa,A0A1D8PJF9,9,0.0,3074.0,0.5089403973509934,188930.0,3074.0,indirecta,6040.0,calb_pseudohuerfanas,3
92652,calb,no informativa,Q92410,3,0.0,3029.5,0.5015728476821192,184744.0,3029.5,indirecta,6040.0,calb_pseudohuerfanas,2
161110,calb,no informativa,Q9URB4,12,0.0,3072.5,0.5086920529801324,186678.0,3072.5,indirecta,6040.0,calb_pseudohuerfanas,2
195427,calb,no informativa,P82610,12,0.0,3057.0,0.5061258278145695,189731.0,3057.0,indirecta,6040.0,calb_pseudohuerfanas,3
