drug_id,especie,semilla,target_id,n_semilla,score,rank,frank,rG,rSS,clase,n_targets,archivo,grupo
2377362,sp21,informativa,144533,3,0.2142857142857142,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,sp21_pseudohuerfanas,2
2377516,sp21,informativa,144533,2,0.1428571428571428,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,sp21_pseudohuerfanas,2
2377545,sp21,informativa,102099,22,0.0588235294117647,2.0,9.210647508519848e-05,53.0,2.0,directa,21714.0,sp21_pseudohuerfanas,3
2377616,sp21,no informativa,142360,5,0.0,10864.5,0.5003453992815695,184372.5,10864.5,indirecta,21714.0,sp21_pseudohuerfanas,3
2379073,sp21,no informativa,185379,7,0.0,10871.0,0.5006447453255964,184394.0,10871.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2381076,sp21,informativa,256991,16,0.3793103448275862,7.5,0.0003453992815694,15.0,7.5,directa,21714.0,sp21_pseudohuerfanas,0
2381400,sp21,no informativa,114137,8,0.0,11376.0,0.523901630284609,189480.5,11376.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2382388,sp21,no informativa,355490,6,0.0,10859.0,0.5000921064750852,184402.0,10859.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2382636,sp21,no informativa,336109,4,0.0,10876.5,0.5008980381320807,184497.0,10876.5,indirecta,21714.0,sp21_pseudohuerfanas,3
2382652,sp21,no informativa,185379,4,0.0,10859.0,0.5000921064750852,184319.5,10859.0,indirecta,21714.0,sp21_pseudohuerfanas,3
2386501,sp21,informativa,144533,2,0.1428571428571428,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,sp21_pseudohuerfanas,2
2386872,sp21,informativa,144533,2,0.0714285714285714,1.5,6.907985631389887e-05,6.0,1.5,directa,21714.0,sp21_pseudohuerfanas,2
2387773,sp21,informativa,102099,24,0.1176470588235294,2.0,9.210647508519848e-05,19.0,2.0,directa,21714.0,sp21_pseudohuerfanas,3
