ann,nombre
IPR037163,"Spermidine synthase, tetramerisation domain superfamily"
IPR030374,Polyamine biosynthesis domain
IPR018793,Cytochrome c oxidase assembly protein PET191
IPR001223,"Glycoside hydrolase family 18, catalytic domain"
IPR011583,"Chitinase II/V-like, catalytic domain"
IPR050314,Glycosyl hydrolase family 18
IPR040008,Large ribosomal subunit protein mL46
IPR021757,"Large ribosomal subunit protein mL46, N-terminal"
IPR043472,Macro domain-like
IPR022800,Spt4/RpoE2 zinc finger
IPR009287,Transcription initiation Spt4
IPR038510,Spt4 superfamily
IPR038260,"Vps53, C-terminal domain superfamily"
IPR039766,Vacuolar protein sorting-associated protein 53
IPR007234,"Vps53, N-terminal"
IPR031745,"Vps53, C-terminal"
IPR004649,"Ribonuclease H2, subunit A"
IPR023160,"Ribonuclease HII, helix-loop-helix cap domain superfamily"
IPR054322,"Flagellar calcium-binding protein, EF-hand domain"
IPR000592,Small ribosomal subunit protein eS27
IPR023407,"Small ribosomal subunit protein eS27, zinc-binding domain superfamily"
IPR031686,"ATPsynthase alpha/beta subunit, barrel-sandwich domain"
IPR022878,V-type ATP synthase catalytic alpha chain
IPR023366,"ATP synthase subunit alpha, N-terminal domain-like superfamily"
IPR005725,"ATPase, V1 complex, subunit A"
IPR039127,Multifunctional methyltransferase subunit Trm112
IPR005651,Trm112-like
IPR039785,Deubiquitinating enzyme MINDY-3/4
IPR015419,CTAG/Pcc1 family
IPR007482,"Protein-tyrosine phosphatase-like, PTPLA"
IPR027517,Deoxyhypusine hydroxylase
IPR004155,PBS lyase HEAT-like repeat
IPR033489,E3 ubiquitin-protein ligase RBBP6 family
IPR055410,"CAF1B/HIR1, beta-propeller domain"
IPR045145,Chromatin assembly factor 1 subunit Cac2/CHAF1B/FAS2
IPR005031,"Coenzyme Q-binding protein COQ10, START domain"
IPR044996,Coenzyme Q-binding protein COQ10-like
IPR002629,"Cobalamin-independent methionine synthase MetE, C-terminal/archaeal"
IPR006276,Cobalamin-independent methionine synthase
IPR038071,UROD/MetE-like superfamily
IPR013215,"Cobalamin-independent methionine synthase MetE, N-terminal"
IPR002133,S-adenosylmethionine synthetase
IPR022629,"S-adenosylmethionine synthetase, central domain"
IPR022631,"S-adenosylmethionine synthetase, conserved site"
IPR022636,S-adenosylmethionine synthetase superfamily
IPR022630,"S-adenosylmethionine synthetase, C-terminal"
IPR022628,"S-adenosylmethionine synthetase, N-terminal"
IPR036167,"tRNA intron endonuclease, catalytic domain-like superfamily"
IPR006677,"tRNA intron endonuclease, catalytic domain-like"
IPR008506,SRP-independent targeting protein 2/TMEM208
IPR004456,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
IPR042253,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase superfamily"
IPR009288,"Gamma-glutamylcyclotransferase, AIG2-like domain"
IPR040343,RNA 5'-triphosphatase Cet1/Ctl1
IPR050725,CysQ/Inositol Monophosphatase
IPR034100,Small nuclear ribonucleoprotein F
IPR016487,Sm-like protein Lsm6/SmF
IPR014347,Tautomerase/MIF superfamily
IPR001398,Macrophage migration inhibitory factor
IPR007110,Immunoglobulin-like domain
IPR043016,"IFT81, N-terminal domain superfamily"
IPR029600,Intraflagellar transport protein 81
IPR041146,"IFT81, calponin homology domain"
IPR008854,TPMT family
IPR050171,Major Facilitator Superfamily (MFS) Transporters
IPR002319,Phenylalanyl-tRNA synthetase
IPR004529,"Phenylalanyl-tRNA synthetase, class IIc, alpha subunit"
IPR040724,"PheRS, DNA binding domain 1"
IPR027887,Protein of unknown function DUF4464
IPR025304,ALIX V-shaped domain
IPR015904,Sulphide quinone-reductase
IPR018611,E3 UFM1-protein ligase 1
IPR056579,"E3 UFM1-protein ligase 1-like, N-terminal"
IPR001985,"S-adenosylmethionine decarboxylase, eukaryotes"
IPR018166,"S-adenosylmethionine decarboxylase, conserved site"
IPR017932,Glutamine amidotransferase type 2 domain
IPR001347,SIS domain
IPR035490,"GlmS/FrlB, SIS domain 2"
IPR035466,"GlmS/AgaS, SIS domain 1"
IPR005855,"Glucosamine-fructose-6-phosphate aminotransferase, isomerising"
IPR047084,"Glucosamine-fructose-6-phosphate aminotransferase, isomerising, N-terminal domain"
IPR051824,LRR Receptor-Like Ser/Thr Protein Kinase
IPR002699,"ATPase, V1 complex, subunit D"
IPR024926,Nucleolar GTP-binding protein 1
IPR012973,"NOG, C-terminal"
IPR041623,"NOG1, N-terminal helical domain"
IPR010674,"Nucleolar GTP-binding protein 1, Rossman-fold domain"
IPR000198,Rho GTPase-activating protein domain
IPR047078,"Inositol polyphosphate 5-phosphatase OCRL, RhoGAP"
IPR008936,Rho GTPase activation protein
IPR001917,"Aminotransferase, class-II, pyridoxal-phosphate binding site"
IPR052242,Mitochondrial 3-hydroxyacyl-CoA dehydrogenase
IPR022694,3-hydroxyacyl-CoA dehydrogenase
IPR036714,Flavinator of succinate dehydrogenase superfamily
IPR005631,Flavinator of succinate dehydrogenase
IPR028882,"Succinate dehydrogenase assembly factor 2, mitochondrial"
IPR001948,Peptidase M18
IPR023358,"Peptidase M18, domain 2"
IPR040091,Leucine-rich repeat-containing protein 56
IPR051370,Peptidyl-prolyl cis-trans isomerase Pin1
IPR023058,"Peptidyl-prolyl cis-trans isomerase, PpiC-type, conserved site"
IPR000297,"Peptidyl-prolyl cis-trans isomerase, PpiC-type"
IPR017911,"MacB-like, ATP-binding domain"
IPR015854,"ABC transporter, lipoprotein release, LolD-like"
IPR022284,Glycerol-3-phosphate O-acyltransferase/Dihydroxyacetone phosphate acyltransferase
IPR045520,"GPAT/DHAPAT, C-terminal domain"
IPR041728,"GPAT/DHAPAT, acyltransferase domain"
IPR040441,Cilia- and flagella-associated protein 20/CFAP20DC
IPR007714,CFA20 domain
IPR016190,"Translation initiation factor IF2/IF5, zinc-binding"
IPR011547,SLC26A/SulP transporter domain
IPR036513,STAS domain superfamily
IPR002645,STAS domain
IPR001902,SLC26A/SulP transporter
IPR019345,"ARMET, C-terminal"
IPR042277,Vacuolar protein sorting-associated protein IST1-like
IPR005061,Vacuolar protein sorting-associated protein Ist1
IPR050136,Fatty acid oxidation complex subunit alpha
IPR045223,Small ribosomal subunit protein RACK1-like
IPR050156,"Threonylcarbamoyl-AMP synthase, SUA5"
IPR005145,"Threonylcarbamoyl-AMP synthase, C-terminal domain"
IPR010923,tRNA threonylcarbamoyladenosine biosynthesis protein SUA5
IPR006070,Threonylcarbamoyl-AMP synthase-like domain
IPR017945,DHBP synthase RibB-like alpha/beta domain superfamily
IPR038385,"Threonylcarbamoyl-AMP synthase, C-terminal domain superfamily"
IPR054716,Soluble Rieske-type ferredoxin domain
IPR039540,"UBL3-like, ubiquitin domain"
IPR011767,Glutaredoxin active site
IPR011899,"Glutaredoxin, eukaryotic/virial"
IPR000652,Triosephosphate isomerase
IPR035990,Triosephosphate isomerase superfamily
IPR022896,"Triosephosphate isomerase, bacterial/eukaryotic"
IPR020861,"Triosephosphate isomerase, active site"
IPR036898,"RNA polymerase Rpb7-like, N-terminal domain superfamily"
IPR045113,RNA polymerase subunit Rpb7-like
IPR051945,RRM MRD1 RNA Processing and Ribosome Biogenesis
IPR050105,Molybdenum cofactor biosynthesis MoaA/MoaC
IPR036522,Molybdopterin cofactor biosynthesis C (MoaC) domain superfamily
IPR002820,Molybdopterin cofactor biosynthesis C (MoaC) domain
IPR001901,"Protein translocase complex, SecE/Sec61-gamma subunit"
IPR008158,"Protein translocase SEC61 complex, gamma subunit"
IPR023391,Protein translocase SecE domain superfamily
IPR016657,Phosphoacetylglucosamine mutase
IPR005843,"Alpha-D-phosphohexomutase, C-terminal"
IPR049022,"Phosphoacetylglucosamine mutase AMG1, domain III"
IPR036494,"Ku, C-terminal domain superfamily"
IPR024193,Ku80
IPR014893,"Ku, C-terminal"
IPR050839,Rho-associated Serine/Threonine Kinase
IPR055439,"EML-like, first beta-propeller domain"
IPR003694,NAD(+) synthetase
IPR050251,HpcH/HpaI aldolase
IPR019927,"Large ribosomal subunit protein uL3, bacteria/organella"
IPR002167,Solute carrier family 25 member 16-like
IPR027365,GNAT acetyltransferase YdfB-like
IPR001733,Peptidase S26B
IPR015927,Peptidase S24/S26A/S26B/S26C
IPR016342,AP-1/2/4 complex subunit beta
IPR003961,Fibronectin type III
IPR036116,Fibronectin type III superfamily
IPR050379,Type I Cytokine Receptor
IPR042063,"Ubiquitin-activating enzyme E1, SCCH domain"
IPR028077,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
IPR040323,EARP and GARP complex-interacting protein 1
IPR059104,"EIPR1-like, beta-propeller"
IPR008496,TMEM222/RTE1
IPR056292,"Dynein regulatory complex subunit 7, C-terminal"
IPR033551,Dynein regulatory complex subunit 7
IPR056291,"Dynein regulatory complex subunit 7, MORN domain"
IPR006168,"Glycerol-3-phosphate dehydrogenase, NAD-dependent"
IPR011128,"Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal"
IPR006109,"Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal"
IPR010400,PITH domain
IPR037047,PITH domain superfamily
IPR045099,PITH domain-containing protein 1-like
IPR052087,Ribosomal RNA-processing protein RRP12
IPR012978,"RRP12, HEAT domain"
IPR050743,"2-oxoacid dehydrogenase family, E2 component"
IPR021777,"SANT and BTB domain regulator of CSR, BTB domain"
IPR045902,SANBR-like
IPR044536,Peroxisomal targeting signal 2 receptor
IPR008389,"ATPase, V0 complex, subunit e1/e2"
IPR045190,Methylcrotonoyl-CoA carboxylase beta chain MCCB/AccD1-like
IPR050599,Voltage-dependent calcium channel alpha-1 subunit
IPR019974,XPG conserved site
IPR008918,"Helix-hairpin-helix motif, class 2"
IPR023426,Flap endonuclease 1
IPR007085,"DNA/pantothenate metabolism flavoprotein, C-terminal"
IPR035929,CoaB-like superfamily
IPR005366,ER membrane protein complex subunit 8/9
IPR051191,DDB1-CUL4-associated factor 12
IPR008858,TROVE domain
IPR037214,TROVE domain superfamily
IPR025139,Domain of unknown function DUF4062
IPR019341,Alpha/gamma-adaptin-binding protein p34
IPR027577,5-histidylcysteine sulfoxide synthase
IPR024775,"Hercynine oxygenase, DinB-like domain"
IPR042095,Sulfatase-modifying factor enzyme superfamily
IPR005532,Sulfatase-modifying factor enzyme-like domain
IPR051043,Sulfatase Modifying Factor and Kinase
IPR027625,"Putative 4-mercaptohistidine N1-methyltranferase, OvoA C-terminal domain"
IPR013906,Eukaryotic translation initiation factor 3 subunit J
IPR012459,Ribosomal RNA-processing protein 15
IPR013924,"Ribonuclease H2, subunit C"
IPR052812,Plant DnaJ domain-containing protein
IPR011343,Deoxyribose-phosphate aldolase
IPR028581,Deoxyribose-phosphate aldolase type I
IPR002915,DeoC/FbaB/LacD aldolase
IPR015048,Domain of unknown function DUF1899
IPR015505,Coronin
IPR056150,"CDC20/Fizzy, WD40 domain"
IPR028608,"Probable cytosolic iron-sulfur protein assembly protein, CIAO1/Cia1"
IPR057537,"C2CD3, N-terminal C2 domain"
IPR025687,C4-type zinc-finger of DNA polymerase delta
IPR050240,DNA polymerase type-B
IPR016651,Leucine carboxyl methyltransferase 1
IPR050851,mRNA Cap 2'-O-Ribose Methyltransferase
IPR025816,RrmJ-type ribose 2-O-methyltransferase domain
IPR005825,"Large ribosomal subunit protein uL24, conserved site"
IPR003256,Large ribosomal subunit protein uL24
IPR041988,"Large ribosomal subunit protein uL24, KOW domain"
IPR026939,ZNF706/At2g23090 superfamily
IPR039713,At2g23090-like
IPR039438,"At2g23090-like, zinc-binding domain"
IPR007513,"Small EDRK-rich factor-like, N-terminal"
IPR007941,Protein of unknown function DUF726
IPR041090,Protein of unknown function DUF5578
IPR032707,MYCBP-associated protein
IPR004405,Pelota
IPR042226,"eRF1, domain 2 superfamily"
IPR038069,"Pelota/DOM34, N-terminal domain"
IPR005141,eRF1 domain 2
IPR005140,"eRF1/Pelota-like, N-terminal domain"
IPR058547,"Pelota, N-terminal domain"
IPR005142,eRF1 domain 3
IPR003651,"Endonuclease III-like, iron-sulphur cluster loop motif"
IPR030841,Endonuclease III-like protein 1
IPR000445,Helix-hairpin-helix motif
IPR004035,"Endonuclease III, iron-sulphur binding site"
IPR001380,Large ribosomal subunit protein eL13
IPR039298,Acyl-coenzyme A thioesterase 13
IPR002327,"Cytochrome c, class IA/ IB"
IPR036909,Cytochrome c-like domain superfamily
IPR005929,Ribulokinase
IPR010613,Pescadillo
IPR041442,"PIH1D1/2/3, CS-like domain"
IPR051326,Kynurenine--oxoglutarate transaminase
IPR001210,Small ribosomal subunit protein eS17
IPR036401,Small ribosomal subunit protein eS17 superfamily
IPR024420,"TRAPP III complex, Trs85"
IPR004598,Transcription factor TFIIH subunit p52/Tfb2
IPR050522,Eukaryotic ribosomal protein eL43
IPR002674,Large ribosomal subunit protein eL43
IPR004932,Retrieval of early ER protein Rer1
IPR048738,"Centrosomal protein CEP104, Zn finger domain"
IPR001943,UVR domain
IPR002809,Integral membrane protein EMC3/TMCO1-like
IPR008568,ER membrane protein complex subunit 3
IPR051132,3'-5' Exonuclease domain-containing protein
IPR000241,"Ribosomal RNA large subunit methyltransferase K/L-like, methyltransferase domain"
IPR050776,Ankyrin Repeat and Cyclin-Dependent Kinase Inhibitor
IPR056744,"TRM5/TYW2-like, N-terminal domain"
IPR025792,"tRNA (guanine(37)-N(1))-methyltransferase, eukaryotic"
IPR056743,"TRM5/TYW2-like, methyltransferase domain"
IPR030382,SAM-dependent methyltransferase TRM5/TYW2-type
IPR042123,Zip3/RNF212-like
IPR020940,"Thymidylate synthase, active site"
IPR045097,Thymidylate synthase/dCMP hydroxymethylase
IPR012262,Bifunctional dihydrofolate reductase/thymidylate synthase
IPR000398,Thymidylate synthase
IPR036926,Thymidylate synthase/dCMP hydroxymethylase superfamily
IPR023451,Thymidylate synthase/dCMP hydroxymethylase domain
IPR017925,Dihydrofolate reductase conserved site
IPR024072,Dihydrofolate reductase-like domain superfamily
IPR001796,Dihydrofolate reductase domain
IPR048939,"Autophagy protein ATG5, UblA domain"
IPR007239,Autophagy-related protein 5
IPR042527,"Autophagy protein Atg5, UblA domain superfamily"
IPR010109,"Citrate synthase, eukaryotic-type"
IPR005680,"Small ribosomal subunit protein uS12, eukaryota/archaea"
IPR018333,Squalene cyclase
IPR032697,"Squalene cyclase, N-terminal"
IPR032696,"Squalene cyclase, C-terminal"
IPR019134,"Splicing factor Cactin, C-terminal"
IPR008504,ER membrane protein complex subunit 6
IPR029008,ER membrane protein complex subunit 6-like
IPR032714,"Cilium assembly protein DZIP1, N-terminal"
IPR051241,DZIP and RILPL
IPR056149,"ATP-dependent RNA helicase PRP5/DDX46/KHDC4, KH domain"
IPR052341,LOG family pyrimidine/purine nucleotide 5'-monophosphatases
IPR045161,U3 small nucleolar RNA-associated protein 18
IPR007949,"SDA1, middle domain"
IPR012977,"SDA1, N-terminal"
IPR027312,Sda1
IPR007262,Vps55/LEPROT
IPR040045,Cytoplasmic dynein 2 light intermediate chain 1
IPR051733,WD repeat-containing DCAF13/WDSOF1
IPR007287,Sof1-like protein
IPR001260,"Coproporphyrinogen III oxidase, aerobic"
IPR018375,"Coproporphyrinogen III oxidase, conserved site"
IPR036406,Oxygen-dependent coproporphyrinogen III oxidase superfamily
IPR050072,"Peptidase M20A family, bacterial cell wall biosynthesis"
IPR010169,Acetylornithine deacetylase ArgE
IPR050493,FAD-dependent Monooxygenases in Biosynthesis and Metabolism
IPR024931,Importin subunit alpha
IPR032413,Atypical Arm repeat
IPR038495,"V-type ATPase subunit E, C-terminal domain superfamily"
IPR002842,V-type ATPase subunit E
IPR020608,"RNA polymerase, subunit H/Rpb5, conserved site"
IPR005571,"RNA polymerase, Rpb5, N-terminal"
IPR024166,Ribosomal RNA assembly KRR1
IPR048548,"KRR1 small subunit processome component, second KH domain"
IPR048549,"KRR1 small subunit processome component, second KH domain, eukaryotes"
IPR048550,"KRR1 small subunit processome component, first KH domain, eukaryotes"
IPR041174,"KRR1 small subunit processome component, first KH domain"
IPR035463,Peroxin 13
IPR008384,Actin-related protein 2/3 complex subunit 4
IPR042452,"ZPR1, zinc finger domain"
IPR042451,"ZPR1, A/B domain"
IPR056180,"ZPR1, jelly-roll domain"
IPR040141,ZPR1
IPR004457,"Zinc finger, ZPR1-type"
IPR060173,Uncharacterised protein FLJ43738-like domain
IPR018908,Putative transmembrane family 234
IPR051473,Pyranose 2-oxidase-like
IPR050550,"SEC23/SEC24 family, SEC24 subfamily"
IPR018163,"Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily"
IPR047246,"Threonine-tRNA ligase, class IIa, anticodon-binding domain"
IPR002320,"Threonine-tRNA ligase, class IIa"
IPR012947,"Threonyl/alanyl tRNA synthetase, SAD"
IPR033728,Threonine-tRNA ligase catalytic core domain
IPR005792,Protein disulphide isomerase
IPR018788,Proteasome assembly chaperone 3
IPR053720,Proteasome Assembly Chaperone
IPR007710,Nucleoside 2-deoxyribosyltransferase
IPR051239,2'-Deoxynucleoside 5'-phosphate N-hydrolase
IPR012001,"Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain"
IPR011766,"Thiamine pyrophosphate enzyme, TPP-binding"
IPR051818,Thiamine pyrophosphate-dependent decarboxylase
IPR016689,"ESCRT-2 complex, Snf8"
IPR019954,Ubiquitin conserved site
IPR023409,"14-3-3 protein, conserved site"
IPR023374,AttH-like domain superfamily
IPR010791,AttH domain
IPR017328,"Sirtuin, class I"
IPR007023,Ribosomal biogenesis regulatory protein
IPR036870,Small ribosomal subunit protein bS18 superfamily
IPR032727,Flagellar C1a complex subunit C1a-32
IPR004821,Cytidyltransferase-like domain
IPR041723,CTP:phosphocholine cytidylyltransferase domain
IPR044608,Ethanolamine-phosphate cytidylyltransferase
IPR016464,"NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 2"
IPR042101,"Signal recognition particle SRP54, N-terminal domain superfamily"
IPR036225,"SRP/SRP receptor, N-terminal"
IPR007222,"Signal recognition particle receptor, alpha subunit, N-terminal"
IPR013822,"Signal recognition particle SRP54, helical bundle"
IPR058797,"RESC9, N-terminal region"
IPR058798,RESC9 middle region
IPR051568,LZTR1/Attractin
IPR007290,Arv1 protein
IPR018282,"Small ribosomal subunit protein eS6, conserved site"
IPR001377,Small ribosomal subunit protein eS6
IPR014401,Small ribosomal subunit protein eS6-like
IPR006846,Small ribosomal subunit protein eS30
IPR025257,"Deubiquitinating enzyme MINDY-3/4, conserved domain"
IPR052628,Cilia- and flagella-associated protein 70
IPR006593,"Cytochrome b561/ferric reductase, transmembrane domain"
IPR040453,"Mnd1, HTH domain"
IPR023318,"Ubiquitin activating enzyme, alpha domain superfamily"
IPR044998,Timeless
IPR002905,"tRNA methyltransferase, Trm1"
IPR042296,"tRNA methyltransferase, Trm1, C-terminal"
IPR039776,Sister chromatid cohesion protein Pds5
IPR005999,Glycerol kinase
IPR042018,"Glycerol kinase, metazoan-type"
IPR045231,Protein Yip1/4-like
IPR005478,"Transketolase, bacterial-like"
IPR033247,Transketolase family
IPR005474,"Transketolase, N-terminal"
IPR055152,"Transketolase-like, C-terminal domain"
IPR020826,Transketolase binding site
IPR049557,Transketolase conserved site
IPR007955,Bystin
IPR006994,TCF25/Rqc1
IPR040211,Small EDRK-rich factor 1/2-like
IPR006214,Bax inhibitor 1-related
IPR026581,TCP10L/CENPJ
IPR009852,"Centromere protein J, C-terminal domain"
IPR016439,Sphingosine N-acyltransferase Lag1/Lac1-like
IPR006634,TRAM/LAG1/CLN8 homology domain
IPR032691,"Mon2/Sec7/BIG1-like, HUS domain"
IPR015403,"Mon2/Sec7/BIG1-like, HDS"
IPR000541,Cytoplasmic tRNA 2-thiolation protein 1
IPR056369,"Cytoplasmic tRNA 2-thiolation protein 1-like, ATP-binding domain"
IPR011063,"tRNA(Ile)-lysidine/2-thiocytidine synthase, N-terminal"
IPR054306,"2-thiouridine synthetase TtuA-like, N-terminal LIM domain"
IPR032442,"Cytoplasmic tRNA 2-thiolation protein 1, C-terminal"
IPR035107,"tRNA thiolation protein, TtcA/Ctu1 type"
IPR001192,Phosphoinositide phospholipase C family
IPR001711,"Phospholipase C, phosphatidylinositol-specific, Y domain"
IPR000909,"Phosphatidylinositol-specific phospholipase C, X domain"
IPR031631,"Glycosyl hydrolase family 63, N-terminal"
IPR038518,"Glycosyl hydrolase family 63, N-terminal domain superfamily"
IPR004888,Glycoside hydrolase family 63
IPR031335,"Glycosyl hydrolase family 63, C-terminal"
IPR016563,Nuclear protein localization protein 4
IPR007717,"Nuclear pore localisation protein NPL4, C-terminal"
IPR011005,Dihydropteroate synthase-like superfamily
IPR004223,"Vitamin B12-dependent methionine synthase, activation domain"
IPR050554,Methionine Synthase/Corrinoid
IPR000489,Pterin-binding domain
IPR036594,Methionine synthase domain
IPR011822,Cobalamin-dependent methionine synthase
IPR037010,"Vitamin B12-dependent methionine synthase, activation domain superfamily"
IPR003759,"Cobalamin (vitamin B12)-binding module, cap domain"
IPR033706,"Methionine synthase, B12-binding domain"
IPR007484,Peptidase M28
IPR016574,Nicalin
IPR000109,Proton-dependent oligopeptide transporter family
IPR007581,Endonuclease V
IPR024975,"Protein NO VEIN, C-terminal"
IPR052957,Auxin-regulated embryogenesis mediator
IPR041695,"Glutathione S-transferase, C-terminal domain"
IPR050983,Glutathione S-transferase Omega/HSP26
IPR009286,Inositol-pentakisphosphate 2-kinase
IPR017930,Myb domain
IPR047242,Pre-mRNA splicing factor component CDC5L/Cef1
IPR030482,p53 and DNA damage-regulated protein 1
IPR039918,Serine/threonine-protein phosphatase 4 regulatory subunit 4
IPR040066,WD repeat-containing protein 31
IPR016650,Eukaryotic translation initiation factor 3 subunit E
IPR019010,"Eukaryotic translation initiation factor 3 subunit E, N-terminal"
IPR042467,"Peptidase C65, otubain, subdomain 2"
IPR042468,"Peptidase C65, otubain, subdomain 1"
IPR016615,Ubiquitin thioesterase Otubain
IPR019400,"Peptidase C65, otubain"
IPR056284,"AIR9-like, A9 domain"
IPR045275,"Mechanosensitive ion channel MscS, archaea/bacteria type"
IPR006685,Mechanosensitive ion channel MscS
IPR011014,"Mechanosensitive ion channel MscS, transmembrane-2"
IPR049142,"Mechanosensitive ion channel, transmembrane helices 2/3"
IPR059739,"PIF6, PH domain"
IPR039740,CCR4-NOT transcription complex subunit 10
IPR012302,"Malic enzyme, NAD-binding"
IPR001891,Malic oxidoreductase
IPR012301,"Malic enzyme, N-terminal domain"
IPR037062,"Malic enzyme, N-terminal domain superfamily"
IPR057207,"F-box/LRR-repeat protein 15-like, leucin rich repeat domain"
IPR024083,"Fumarase/histidase, N-terminal"
IPR000362,Fumarate lyase family
IPR022761,"Fumarate lyase, N-terminal"
IPR004769,Adenylosuccinate lyase
IPR008948,L-Aspartase-like
IPR013539,"Adenylosuccinate lyase PurB, C-terminal"
IPR047136,"Adenylosuccinate lyase PurB, bacteria"
IPR013932,TATA-binding protein interacting (TIP20)
IPR039852,Cullin-associated NEDD8-dissociated protein 1/2
IPR011179,"Isopentenyl-diphosphate delta-isomerase, FMN-dependent"
IPR000262,FMN-dependent dehydrogenase
IPR026224,Protein DPCD
IPR008584,"CXXC motif containing zinc binding protein, eukaryotic"
IPR045203,RAN GTPase-activating protein 1/2
IPR027525,Eukaryotic translation initiation factor 3 subunit I
IPR053995,"Quiescin sulphydryl oxidase, pseudo-Erv domain"
IPR039798,Sulfhydryl oxidase
IPR045088,Aminotransferase ALAT1/2-like
IPR042081,"RNA 2'-phosphotransferase, C-terminal domain"
IPR042080,"RNA 2'-phosphotransferase, N-terminal domain"
IPR002745,Phosphotransferase KptA/Tpt1
IPR008698,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7, NDUB7"
IPR008610,Eukaryotic rRNA processing
IPR007590,Saf4/Yju2 protein
IPR024403,"Dihydroorotase, catalytic domain"
IPR002195,"Dihydroorotase, conserved site"
IPR050138,Dihydroorotase/Allantoinase hydrolase-like
IPR019406,"Aprataxin and PNK-like factor, PBZ domain"
IPR026183,Taxilin family
IPR050693,SIL1/FES1/HPBP1
IPR038457,"3-mercaptopyruvate sulfurtransferase, C-terminal domain superfamily"
IPR045078,Sulfurtransferase TST/MPST-like
IPR015206,"3-mercaptopyruvate sulfurtransferase, C-terminal domain"
IPR028885,Adenylyltransferase and sulfurtransferase MOCS3/Uba4
IPR002364,"Quinone oxidoreductase/zeta-crystallin, conserved site"
IPR042128,NuoE domain
IPR041921,"NADH-quinone oxidoreductase subunit E, N-terminal"
IPR002023,NADH-quinone oxidoreductase subunit E-like
IPR012864,Cysteine oxygenase/2-aminoethanethiol dioxygenase
IPR036569,"Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily"
IPR003500,"Sugar-phosphate isomerase, RpiB/LacA/LacB family"
IPR051812,Sugar Phosphate Isomerase LacAB/RpiB
IPR004785,Ribose 5-phosphate isomerase B
IPR015016,Splicing factor 3B subunit 1
IPR038737,Splicing factor 3B subunit 1-like
IPR039667,"Dolichyldiphosphatase, PAP2 domain"
IPR045232,Protein FAM234
IPR056376,"DEX1, C-terminal domain"
IPR050731,HRD1 family E3 ubiquitin-protein ligases
IPR057992,"E3 ubiquitin-protein ligase synoviolin-like, TPR repeats"
IPR007231,Nucleoporin interacting component Nup93/Nic96
IPR033362,SSNA1 family
IPR039356,5'-deoxynucleotidase YfbR/HDDC2
IPR006730,Sestrin
IPR029032,AhpD-like
IPR057754,"Phosphatidylinositol 4-kinase beta/PIK1, catalytic domain"
IPR004802,tRNA pseudouridine synthase B family
IPR002501,"Pseudouridine synthase II, N-terminal"
IPR032819,"tRNA pseudouridylate synthase B, C-terminal"
IPR012960,Dyskerin-like
IPR033942,Inositol monophosphatase
IPR023573,Large ribosomal subunit protein eL20 domain
IPR028877,Large ribosomal subunit protein eL20
IPR021138,"Large ribosomal subunit protein eL20, eukaryota"
IPR036891,"Signal recognition particle, SRP54 subunit, M-domain superfamily"
IPR004125,"Signal recognition particle, SRP54 subunit, M-domain"
IPR022941,"Signal recognition particle, SRP54 subunit"
IPR015342,"Peroxisomal ATPase PEX1, N-terminal C-lobe"
IPR002671,Large ribosomal subunit protein eL22
IPR038526,Large ribosomal subunit protein eL22 superfamily
IPR051105,WWC/KIBRA Hippo Pathway Regulators
IPR050320,Protein N5-glutamine methyltransferase
IPR007848,Methyltransferase small domain
IPR046833,"ATPase of the ABC class, N-terminal"
IPR049069,"MRB1590-like, C-terminal domain"
IPR019195,"ABC transporter, ATPase, putative"
IPR046834,"ATPase of the ABC class, C-terminal"
IPR002516,"Glycosyl transferase, family 11"
IPR043645,Peripherally associated ATOM36
IPR021897,Cilia- and flagella-associated protein 206
IPR026697,Dynein axonemal assembly factor 6
IPR037386,Coiled-coil domain-containing protein 40
IPR019382,Translation initiation factor 3 complex subunit L
IPR038969,Flap endonuclease
IPR020045,"DNA polymerase I-like, H3TH domain"
IPR002421,5'-3' exonuclease
IPR020046,"5'-3' exonuclease, alpha-helical arch, N-terminal"
IPR030662,Diphthine--ammonia ligase/Uncharacterised protein MJ0570
IPR002761,Diphthamide synthase domain
IPR060003,"Diphthamide synthase, N-terminal domain"
IPR060338,"Diphthamide synthase, C-terminal domain"
IPR023601,"Golgi SNAP receptor complex, subunit 1"
IPR052107,HEAT Repeat-containing Protein 6
IPR013730,Fyv7/TAP26
IPR002036,Endoribonuclease YbeY
IPR020549,"Endoribonuclease YbeY, conserved site"
IPR023091,"Metalloprotease catalytic domain superfamily, predicted"
IPR051700,STE20 Ser/Thr Protein Kinase
IPR039461,Peptidase family M49
IPR005317,Dipeptidyl-peptidase 3
IPR051485,SR-related and CTD-associated factor
IPR000620,EamA domain
IPR041698,Methyltransferase domain 25
IPR000876,Small ribosomal subunit protein eS4
