AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.5942165658871689,0.7693646443237837,0.48087451888322086,16301,1 2 3 1,0.0,0.5,1.0,0.8
0.5919674577314892,0.760730657752819,0.46820183744401067,16301,1 2 2 1,0.0,0.5,0.5,0.8
0.5903368652081723,0.7553607912042606,0.4638875965536604,16301,1 2 4 1,0.0,0.5,,0.8
0.5890944467736071,0.7538522924300453,0.4625340064260075,16301,1 2 4 2,0.0,0.5,,1.0
0.5879872562387125,0.7527840834123206,0.4607570573799338,16301,1 2 4 3,0.0,0.5,,1.2
0.5860404208754227,0.763382179149365,0.47873037352421033,16301,1 3 3 1,0.0,1.0,1.0,0.8
0.5848055415776797,0.7504500117933773,0.4566717649088121,16301,1 2 1 1,0.0,0.5,0.0,0.8
0.5843809823955397,0.7480206660684885,0.45845017640103847,16301,2 3 3 1,0.3,1.0,1.0,0.8
0.5840245089002062,0.7467832661880642,0.4577786717086787,16301,3 3 3 1,0.6,1.0,1.0,0.8
0.5834054670332489,0.7477375164259747,0.4561315518695803,16301,5 4 3 1,1.2,1.5,1.0,0.8
0.5831782533795158,0.7483518627024766,0.45664065356608585,16301,4 4 3 1,0.9,1.5,1.0,0.8
0.5831767439188273,0.7570202607413662,0.4627865766493491,16301,1 3 2 1,0.0,1.0,0.5,0.8
0.5829625894151728,0.7491139799536706,0.457728929296783,16301,3 4 3 1,0.6,1.5,1.0,0.8
0.5829333632928868,0.7461385267343577,0.45789808648473596,16301,4 3 3 1,0.9,1.0,1.0,0.8
0.5820803420545342,0.7498546189014802,0.45930577749867285,16301,2 4 3 1,0.3,1.5,1.0,0.8
0.5820734152042586,0.7493922412599617,0.4622450990890081,16301,2 2 3 1,0.3,0.5,1.0,0.8
0.5819753836039676,0.7457601504054395,0.4584464831747117,16301,5 3 3 1,1.2,1.0,1.0,0.8
0.5818376664609478,0.7676456776940077,0.43692918443315953,16301,1 1 3 1,0.0,0.0,1.0,0.8
0.5816537295699126,0.7442048162434003,0.4526202090361977,16301,2 3 2 1,0.3,1.0,0.5,0.8
0.5815122766870773,0.7457905044099795,0.4542409773549627,16301,5 4 2 1,1.2,1.5,0.5,0.8
0.5813062943177195,0.7461504139200243,0.45398973625326544,16301,4 4 2 1,0.9,1.5,0.5,0.8
0.5810906173886834,0.7465671767114853,0.4532680232004713,16301,3 4 2 1,0.6,1.5,0.5,0.8
0.5810059949851827,0.7437440707962488,0.45373224126999534,16301,3 3 2 1,0.6,1.0,0.5,0.8
0.5809127603213124,0.7453277529100463,0.4560246476056282,16301,2 2 2 1,0.3,0.5,0.5,0.8
0.5807133818635132,0.752623678909611,0.45549817798658276,16301,1 3 4 1,0.0,1.0,,0.8
0.5804350484251658,0.7446399750680421,0.451952863518704,16301,5 4 4 1,1.2,1.5,,0.8
0.5802921960289738,0.7587010945000608,0.46135596069238893,16301,1 4 3 1,0.0,1.5,1.0,0.8
0.5802147438944749,0.7468283546124862,0.45397782501420814,16301,2 4 2 1,0.3,1.5,0.5,0.8
0.5800814456832888,0.7429815137116251,0.45205537494628123,16301,2 2 4 1,0.3,0.5,,0.8
0.5800758153023161,0.7443540908986293,0.45111992071507623,16301,5 4 4 2,1.2,1.5,,1.0
0.5800710739288654,0.7435786583776025,0.45420600784837406,16301,4 3 2 1,0.9,1.0,0.5,0.8
0.5800622505292095,0.7515393080750785,0.4530134572329443,16301,1 3 4 2,0.0,1.0,,1.0
0.5800532937784253,0.7448158740777785,0.45241917629493544,16301,4 4 4 1,0.9,1.5,,0.8
0.5798630646897066,0.7450377940962548,0.45249267520993164,16301,3 4 4 1,0.6,1.5,,0.8
0.579853489337855,0.7441723695938725,0.4506888427199709,16301,5 4 4 3,1.2,1.5,,1.2
0.579695097831018,0.7423941333477783,0.45140539735132723,16301,2 2 4 2,0.3,0.5,,1.0
0.5796623675374162,0.7445165474991826,0.45175618925183025,16301,4 4 4 2,0.9,1.5,,1.0
0.5796009556386358,0.7507558458450081,0.4521073151508439,16301,1 3 4 3,0.0,1.0,,1.2
0.5795779525690039,0.7418508016146368,0.45075459094525505,16301,2 3 4 1,0.3,1.0,,0.8
0.5794759945188241,0.741990999894708,0.45038869076645516,16301,2 2 4 3,0.3,0.5,,1.2
0.5794669562756838,0.7446673010943174,0.4517205544971796,16301,3 4 4 2,0.6,1.5,,1.0
0.5793718472876214,0.7419362681223486,0.4512977618642988,16301,3 3 4 1,0.6,1.0,,0.8
0.5793659613169861,0.7442964424808418,0.45136876472458365,16301,4 4 4 3,0.9,1.5,,1.2
0.5793330174146325,0.7435086760683216,0.4557736731529476,16301,5 3 2 1,1.2,1.0,0.5,0.8
0.5792668184572927,0.7598034902583184,0.42700976542233127,16301,1 1 2 1,0.0,0.0,0.5,0.8
0.5792104961265757,0.7437999873699083,0.4504446252083478,16301,5 4 1 1,1.2,1.5,0.0,0.8
0.5791463208960811,0.7444230492207077,0.451160445867669,16301,3 4 4 3,0.6,1.5,,1.2
0.5790234711691342,0.7478378602994328,0.45819926792337196,16301,3 2 3 1,0.6,0.5,1.0,0.8
0.5789729644292904,0.7412644397400747,0.45035176125214704,16301,2 3 4 2,0.3,1.0,,1.0
0.5789427032482467,0.7448926978586043,0.4517978799630109,16301,2 4 4 1,0.3,1.5,,0.8
0.5788540744900144,0.7415026933852922,0.4504847160254293,16301,3 3 4 2,0.6,1.0,,1.0
0.5787883620173462,0.7411500521226668,0.45016510281714606,16301,2 2 1 1,0.3,0.5,0.0,0.8
0.5787667702471556,0.7438703882081867,0.45025813308536256,16301,4 4 1 1,0.9,1.5,0.0,0.8
0.5785928581506636,0.7408683766093805,0.4505353587213756,16301,2 3 4 3,0.3,1.0,,1.2
0.5785720553746487,0.7420832728247384,0.45355200440306254,16301,4 3 4 1,0.9,1.0,,0.8
0.5784665635195689,0.7444280908113912,0.45046292227900686,16301,2 4 4 2,0.3,1.5,,1.0
0.5784436123087092,0.7411933571599807,0.4499333600811619,16301,3 3 4 3,0.6,1.0,,1.2
0.5784019808272933,0.7439120445573806,0.45072743810339255,16301,3 4 1 1,0.6,1.5,0.0,0.8
0.5783605308515799,0.7490461232768846,0.449274497850936,16301,1 3 1 1,0.0,1.0,0.0,0.8
0.5783239667130395,0.7529793508994603,0.4589057421223204,16301,3 1 3 1,0.6,0.0,1.0,0.8
0.5781733947681982,0.7417277705831032,0.4527307735389694,16301,4 3 4 2,0.9,1.0,,1.0
0.5781492767349657,0.744129581360838,0.4495198809211467,16301,2 4 4 3,0.3,1.5,,1.2
0.5779742756042594,0.7422548937671349,0.45423232638120004,16301,5 3 4 1,1.2,1.0,,0.8
0.5778442945553068,0.7547983597044515,0.45983324636429046,16301,2 1 3 1,0.3,0.0,1.0,0.8
0.577825459449274,0.7414797945573788,0.4524524826813696,16301,4 3 4 3,0.9,1.0,,1.2
0.5776970904672947,0.7446485105855296,0.4545150087006955,16301,3 2 2 1,0.6,0.5,0.5,0.8
0.5776879040562339,0.7541505881490416,0.4498387326678053,16301,1 4 2 1,0.0,1.5,0.5,0.8
0.577566850865321,0.740045835179116,0.4499575825328015,16301,2 3 1 1,0.3,1.0,0.0,0.8
0.577535787460823,0.7419446964304376,0.45379033501913013,16301,5 3 4 2,1.2,1.0,,1.0
0.5773930313737792,0.7555980545370222,0.42060345270204147,16301,1 1 4 1,0.0,0.0,,0.8
0.5773443026489794,0.7405583146589108,0.45004066431863876,16301,3 3 1 1,0.6,1.0,0.0,0.8
0.5773319676696116,0.750171460471919,0.45335553081019087,16301,3 1 2 1,0.6,0.0,0.5,0.8
0.5773238739969634,0.7435127500254605,0.44926365183346517,16301,2 4 1 1,0.3,1.5,0.0,0.8
0.577269996436932,0.7472081088570695,0.45670267282857724,16301,4 2 3 1,0.9,0.5,1.0,0.8
0.5771577925750611,0.741735194833942,0.4533746621898862,16301,5 3 4 3,1.2,1.0,,1.2
0.5768489620629335,0.7409629236156885,0.4507464705205666,16301,4 3 1 1,0.9,1.0,0.0,0.8
0.5768473104021993,0.7544802666704584,0.41855529961449767,16301,1 1 4 2,0.0,0.0,,1.0
0.5767883951328765,0.7428410535932155,0.4521386890191481,16301,3 2 4 1,0.6,0.5,,0.8
0.5766677679247345,0.7486321871024468,0.45223687908328225,16301,3 1 4 1,0.6,0.0,,0.8
0.5766563589948688,0.7511154619036867,0.45410469359241246,16301,2 1 2 1,0.3,0.0,0.5,0.8
0.5765449367187777,0.7469065198852715,0.4569759729512337,16301,5 2 3 1,1.2,0.5,1.0,0.8
0.5765306940774356,0.742394494835878,0.45157744919303644,16301,3 2 4 2,0.6,0.5,,1.0
0.5764635703053262,0.748229307928078,0.451996785010059,16301,3 1 4 2,0.6,0.0,,1.0
0.5763667462735861,0.747939911963628,0.45170308898659783,16301,3 1 4 3,0.6,0.0,,1.2
0.5763577080304457,0.7511333212026355,0.4436959708873154,16301,1 4 4 1,0.0,1.5,,0.8
0.576259233408073,0.7420910455061218,0.4511858352523759,16301,3 2 4 3,0.6,0.5,,1.2
0.5762487860880102,0.749059465349067,0.45156131417857837,16301,2 1 4 1,0.3,0.0,,0.8
0.5762448040751512,0.7537873352176943,0.42024164984653156,16301,1 1 4 3,0.0,0.0,,1.2
0.5762364881506225,0.7412890016881425,0.4521616813116651,16301,5 3 1 1,1.2,1.0,0.0,0.8
0.5761574257483323,0.7473872317083947,0.45132095483081813,16301,3 1 1 1,0.6,0.0,0.0,0.8
0.5760733836691863,0.7516557251114191,0.45837790764516484,16301,4 1 3 1,0.9,0.0,1.0,0.8
0.5760213298093075,0.7485121496871916,0.4514868503789966,16301,2 1 4 2,0.3,0.0,,1.0
0.5758739768125354,0.7481197041864536,0.4513430468392845,16301,2 1 4 3,0.3,0.0,,1.2
0.5758693058188469,0.7503742119997541,0.4418221993841769,16301,1 4 4 2,0.0,1.5,,1.0
0.5757246865202049,0.7414756724934586,0.4511203550505878,16301,3 2 1 1,0.6,0.5,0.0,0.8
0.5755244116464875,0.7498679547885047,0.4408817200560422,16301,1 4 4 3,0.0,1.5,,1.2
0.5754634961102402,0.7444750822026345,0.45404097684778,16301,4 2 2 1,0.9,0.5,0.5,0.8
0.575065887496024,0.7472414516672096,0.45088295495711894,16301,2 1 1 1,0.3,0.0,0.0,0.8
0.5750527931560645,0.74933854584512,0.45440737183918767,16301,4 1 2 1,0.9,0.0,0.5,0.8
0.5747926111159553,0.7513735059915035,0.41107671560241954,16301,1 1 1 1,0.0,0.0,0.0,0.8
0.5747311206010195,0.7508129327879336,0.4570769875706715,16301,5 1 3 1,1.2,0.0,1.0,0.8
0.5746592406386675,0.748815634066174,0.439402792520311,16301,1 4 1 1,0.0,1.5,0.0,0.8
0.5746335001667074,0.7480900937753049,0.4528593038628488,16301,4 1 4 1,0.9,0.0,,0.8
0.5746184388976054,0.7445512922783785,0.45362713345070604,16301,5 2 2 1,1.2,0.5,0.5,0.8
0.5743641881791361,0.7429914670046823,0.4521453442487253,16301,4 2 4 1,0.9,0.5,,0.8
0.5743454123402715,0.7477385940178765,0.45219837991342304,16301,4 1 4 2,0.9,0.0,,1.0
0.5742949611633977,0.7475095720639962,0.4519637425236822,16301,4 1 4 3,0.9,0.0,,1.2
0.5741311516496072,0.7426205066797262,0.451460530471691,16301,4 2 4 2,0.9,0.5,,1.0
0.5739125230921247,0.7423756933312544,0.4511222160957855,16301,4 2 4 3,0.9,0.5,,1.2
0.5738807713241635,0.7470582211839986,0.4524090944880479,16301,4 1 1 1,0.9,0.0,0.0,0.8
