AUC01,AUC,YoudenCutOff,N_targets,params,alpha,beta,lambda_,gamma
0.788785087267463,0.8443647341414038,0.641619674685638,8633,2 4 4 1,0.3,1.5,,0.8
0.7884145823505917,0.8445618689610248,0.6400020435923799,8633,2 4 4 3,0.3,1.5,,1.2
0.788269995065959,0.8444829192397836,0.6407430054857683,8633,2 4 4 2,0.3,1.5,,1.0
0.7878768983858637,0.8445558419600605,0.6384802058919323,8633,2 4 1 1,0.3,1.5,0.0,0.8
0.7868647873934347,0.8436318747724907,0.639457937121217,8633,3 4 4 1,0.6,1.5,,0.8
0.7864581356554051,0.8436990099752855,0.6395882161354391,8633,3 4 4 2,0.6,1.5,,1.0
0.7863948787183783,0.8437431148498917,0.6401256170691054,8633,3 4 4 3,0.6,1.5,,1.2
0.7863090300181277,0.8437340943054019,0.647455248519992,8633,2 4 2 1,0.3,1.5,0.5,0.8
0.785784901111334,0.8436858383837738,0.640565308742105,8633,3 4 1 1,0.6,1.5,0.0,0.8
0.7850212995143675,0.8430227884498713,0.6323767298690184,8633,3 4 2 1,0.6,1.5,0.5,0.8
0.7816777185572359,0.8421956923307808,0.6318928135796713,8633,4 4 4 1,0.9,1.5,,0.8
0.7812620301139167,0.8422376019401354,0.6331196076302632,8633,4 4 4 2,0.9,1.5,,1.0
0.7811716630610213,0.8423047770568437,0.6348132348151507,8633,4 4 4 3,0.9,1.5,,1.2
0.7808553783758871,0.8418559850115273,0.6283149303582034,8633,4 4 2 1,0.9,1.5,0.5,0.8
0.7801188868947893,0.8417347664557083,0.6347551201568455,8633,3 4 3 1,0.6,1.5,1.0,0.8
0.7801053318368549,0.8422096222866522,0.6369356970885196,8633,4 4 1 1,0.9,1.5,0.0,0.8
0.7800285198418938,0.8413941610733969,0.6540701016048587,8633,1 4 4 2,0.0,1.5,,1.0
0.7799562261995774,0.8412182205419352,0.651516090096879,8633,1 4 4 1,0.0,1.5,,0.8
0.7799291160837087,0.8415051816242726,0.6552426127328577,8633,1 4 4 3,0.0,1.5,,1.2
0.7797574186832075,0.8420725179931922,0.6519444462183963,8633,2 4 3 1,0.3,1.5,1.0,0.8
0.7791112942550049,0.8417475588650399,0.6591428407211328,8633,1 4 1 1,0.0,1.5,0.0,0.8
0.7775389075346242,0.8408765374839544,0.6284072113266108,8633,4 4 3 1,0.9,1.5,1.0,0.8
0.7765764984212876,0.8404729080319567,0.6538477012778838,8633,1 4 2 1,0.0,1.5,0.5,0.8
0.7759213372877956,0.8407647785256758,0.6378150804345188,8633,5 4 4 1,1.2,1.5,,0.8
0.7754333552021602,0.8408076061550448,0.6400243953840357,8633,5 4 4 2,1.2,1.5,,1.0
0.7752255109805006,0.8406194918799134,0.6350466513822988,8633,5 4 2 1,1.2,1.5,0.5,0.8
0.7751712907487633,0.8408230927535492,0.6405807953406093,8633,5 4 4 3,1.2,1.5,,1.2
0.7741094778772417,0.8407751561432302,0.6434035073154221,8633,5 4 1 1,1.2,1.5,0.0,0.8
0.7721846596505686,0.83978100033847,0.6302066902105539,8633,5 4 3 1,1.2,1.5,1.0,0.8
0.7712482310649396,0.8403110970259344,0.6426286984232408,8633,1 3 4 2,0.0,1.0,,1.0
0.7712448423004561,0.8403609295471527,0.6428105462139257,8633,1 3 4 3,0.0,1.0,,1.2
0.7711680303054949,0.8403040921340852,0.637509818822763,8633,1 3 1 1,0.0,1.0,0.0,0.8
0.7709918145523488,0.8400402012938495,0.642590700377426,8633,1 3 4 1,0.0,1.0,,0.8
0.7684344269554074,0.8377541718022569,0.6473540268349223,8633,1 4 3 1,0.0,1.5,1.0,0.8
0.764512496859745,0.8386107044326796,0.6466809185947748,8633,1 3 2 1,0.0,1.0,0.5,0.8
0.7636494915045934,0.8422079858161915,0.6410877020442309,8633,2 3 4 2,0.3,1.0,,1.0
0.7635094225726053,0.8422153299763071,0.641234265935231,8633,2 3 4 3,0.3,1.0,,1.2
0.7634687573988024,0.8421064847337263,0.6409519947377498,8633,2 3 4 1,0.3,1.0,,0.8
0.7626599722753882,0.8422222949542426,0.6424821345322409,8633,2 3 1 1,0.3,1.0,0.0,0.8
0.7607848559278076,0.8413603739454744,0.6402632402434429,8633,2 3 2 1,0.3,1.0,0.5,0.8
0.7556565256759907,0.8393448011329163,0.6396037027339434,8633,2 3 3 1,0.3,1.0,1.0,0.8
0.7551414334744867,0.8341889013775089,0.6331047596543775,8633,1 3 3 1,0.0,1.0,1.0,0.8
0.754459162225126,0.8398861535440361,0.637996928225204,8633,3 3 4 1,0.6,1.0,,0.8
0.7539169599077533,0.8399392789631323,0.6366642824755568,8633,3 3 4 3,0.6,1.0,,1.2
0.7539079232024638,0.8398921007171731,0.6374350999763709,8633,3 3 4 2,0.6,1.0,,1.0
0.7534154227641836,0.8393662748184715,0.6414194664946642,8633,3 3 2 1,0.6,1.0,0.5,0.8
0.7524981971772948,0.839910560902246,0.6351145050355393,8633,3 3 1 1,0.6,1.0,0.0,0.8
0.7512963153737853,0.838107310153461,0.6451052769386987,8633,3 3 3 1,0.6,1.0,1.0,0.8
0.7453772734091333,0.837667897877857,0.6407029319164428,8633,4 3 4 1,0.9,1.0,,0.8
0.7452417228297901,0.8376959573591676,0.6403663777963686,8633,4 3 4 2,0.9,1.0,,1.0
0.7450519520187097,0.8377230189926367,0.6401302470830912,8633,4 3 4 3,0.9,1.0,,1.2
0.74455041487514,0.8372369473519512,0.6422879932561449,8633,4 3 2 1,0.9,1.0,0.5,0.8
0.7440850245527283,0.837763511658056,0.638914309617018,8633,4 3 1 1,0.9,1.0,0.0,0.8
0.7426527067643355,0.8361478163896109,0.6468830426536045,8633,4 3 3 1,0.9,1.0,1.0,0.8
0.7395531168500215,0.8360322256956196,0.6420355776660898,8633,5 3 4 1,1.2,1.0,,0.8
0.7393452726283619,0.8361026737532491,0.6416420264772937,8633,5 3 4 2,1.2,1.0,,1.0
0.7392729789860455,0.8361487344096253,0.641471035271127,8633,5 3 4 3,1.2,1.0,,1.2
0.7389024740691742,0.8355687852439858,0.6434279346305889,8633,5 3 2 1,1.2,1.0,0.5,0.8
0.7381479091774972,0.8360891229795575,0.6408522099535721,8633,5 3 1 1,1.2,1.0,0.0,0.8
0.7363767149407463,0.834545811593555,0.647048605567512,8633,5 3 3 1,1.2,1.0,1.0,0.8
0.6719088594051318,0.8282667542644025,0.6398018354014061,8633,4 2 4 2,0.9,0.5,,1.0
0.6718597223201199,0.8283143516064551,0.6394354256739065,8633,4 2 4 3,0.9,0.5,,1.2
0.6718591575260393,0.8281929334810678,0.6359450337512054,8633,3 2 4 3,0.6,0.5,,1.2
0.6717010151834722,0.8280301046702471,0.6423449903248675,8633,5 2 4 2,1.2,0.5,,1.0
0.6716874601255379,0.828372346523019,0.6377689399503153,8633,4 2 1 1,0.9,0.5,0.0,0.8
0.6716784234202484,0.8281000737609123,0.6363928678625941,8633,3 2 4 2,0.6,0.5,,1.0
0.6716422765990903,0.8281887824340461,0.6343898280189286,8633,3 2 1 1,0.6,0.5,0.0,0.8
0.6716287215411558,0.8281143828989633,0.6421007171732009,8633,5 2 4 3,1.2,0.5,,1.2
0.6714750975512337,0.8281099724115027,0.640241527074406,8633,4 2 4 1,0.9,0.5,,0.8
0.6714299140247859,0.8278596323449583,0.6427168283446263,8633,5 2 4 1,1.2,0.5,,0.8
0.6714299140247859,0.8277611048490614,0.6418211601218493,8633,4 2 2 1,0.9,0.5,0.5,0.8
0.6714208773194963,0.8275823903005995,0.6438106292348662,8633,5 2 2 1,1.2,0.5,0.5,0.8
0.6711588128660996,0.8282235274958969,0.6415226040475903,8633,5 2 1 1,1.2,0.5,0.0,0.8
0.6710097072288221,0.8279559047047328,0.6372288248705194,8633,3 2 4 1,0.6,0.5,,0.8
0.670833491475676,0.8276472304533582,0.6397584090633321,8633,3 2 2 1,0.6,0.5,0.5,0.8
0.6698846374202737,0.8262727549221838,0.6250721643559172,8633,2 2 2 1,0.3,0.5,0.5,0.8
0.6698756007149842,0.8269179633366754,0.6421061454654602,8633,5 2 3 1,1.2,0.5,1.0,0.8
0.6697039033144828,0.8269696917687929,0.6364091527393718,8633,4 2 3 1,0.9,0.5,1.0,0.8
0.6694644306243098,0.8267083354620753,0.6326602783117372,8633,2 2 4 3,0.3,0.5,,1.2
0.669383100276704,0.8266013262595233,0.6317876005032348,8633,2 2 1 1,0.3,0.5,0.0,0.8
0.6693469534555457,0.8266496021381085,0.6344678996340694,8633,2 2 4 1,0.3,0.5,,0.8
0.6690216320651221,0.8266735105723972,0.6332248207066997,8633,2 2 4 2,0.3,0.5,,1.0
0.6689267466595819,0.826862443082759,0.6289011859222029,8633,3 2 3 1,0.6,0.5,1.0,0.8
0.6653211012490534,0.8250504711438368,0.6306870940754981,8633,2 2 3 1,0.3,0.5,1.0,0.8
0.6268879936526183,0.8206137602419101,0.6426245473762191,8633,5 1 1 1,1.2,0.0,0.0,0.8
0.6266440026098005,0.8204500732819455,0.6434143638999408,8633,5 1 4 3,1.2,0.0,,1.2
0.6264361583881409,0.820390681378403,0.6436314955903106,8633,5 1 4 2,1.2,0.0,,1.0
0.6261063186450726,0.8203425451985158,0.6438323424039032,8633,5 1 4 1,1.2,0.0,,0.8
0.6255505612697656,0.8195327717179585,0.6361133108112424,8633,4 1 1 1,0.9,0.0,0.0,0.8
0.6250535424788406,0.8194294745093782,0.6368189888049454,8633,4 1 4 3,0.9,0.0,,1.2
0.6250173956576823,0.8194168217987445,0.6370496912259638,8633,4 1 4 2,0.9,0.0,,1.0
0.6242537940607159,0.819948115903619,0.6353967762330206,8633,5 1 2 1,1.2,0.0,0.5,0.8
0.6242131288869128,0.8192865427845223,0.6373943877844264,8633,4 1 4 1,0.9,0.0,,0.8
0.6233727152949852,0.8193184140445886,0.6337486509097179,8633,5 1 3 1,1.2,0.0,1.0,0.8
0.6233094583579584,0.8190538845817341,0.6257724140573611,8633,4 1 2 1,0.9,0.0,0.5,0.8
0.6230654673151407,0.817097783500546,0.6282999227266632,8633,3 1 4 3,0.6,0.0,,1.2
0.622821476272323,0.8169955240537208,0.6271328398909233,8633,3 1 4 2,0.6,0.0,,1.0
0.6225548934662813,0.8183449735610234,0.6283122162120738,8633,4 1 3 1,0.9,0.0,1.0,0.8
0.6225323017030575,0.8170562331164145,0.6352454226723803,8633,3 1 1 1,0.6,0.0,0.0,0.8
0.6221889069020548,0.8168935839182052,0.6254602872524537,8633,3 1 4 1,0.6,0.0,,0.8
0.6211993876728497,0.8166058844284646,0.6196445107192807,8633,3 1 2 1,0.6,0.0,0.5,0.8
0.6210096168617691,0.8160689225478487,0.616933877014056,8633,3 1 3 1,0.6,0.0,1.0,0.8
0.612768141637704,0.809104583234879,0.6004385740834168,8633,2 1 2 1,0.3,0.0,0.5,0.8
0.6125331873001759,0.8090588818037256,0.610641688007306,8633,2 1 4 2,0.3,0.0,,1.0
0.6124383018946357,0.8089378229035615,0.6087580705933444,8633,2 1 1 1,0.3,0.0,0.0,0.8
0.6122575677888448,0.8089894315939381,0.6099034402600472,8633,2 1 4 3,0.3,0.0,,1.2
0.6122349760256209,0.8090473466826746,0.6089779164298441,8633,2 1 4 1,0.3,0.0,,0.8
0.6108975436427682,0.8086791408290597,0.6047513522833952,8633,2 1 3 1,0.3,0.0,1.0,0.8
0.6078205454916781,0.786112013609048,0.5832492480218665,8633,1 2 3 1,0.0,0.5,1.0,0.8
0.5986437712701451,0.7858854821920083,0.5746568999980841,8633,1 2 4 2,0.0,0.5,,1.0
0.598128679068641,0.7861118140394797,0.5766925095953048,8633,1 2 4 1,0.0,0.5,,0.8
0.5981151240107067,0.7863877987955579,0.5855813381698352,8633,1 2 2 1,0.0,0.5,0.5,0.8
0.5979840917840082,0.785802042155479,0.5705503969039576,8633,1 2 4 3,0.0,0.5,,1.2
0.594532070363402,0.7846475322025456,0.5656187933864243,8633,1 2 1 1,0.0,0.5,0.0,0.8
0.5342256176136231,0.7294167140311775,0.45914363899940613,8633,1 1 3 1,0.0,0.0,1.0,0.8
0.5313293535683238,0.7274555438829533,0.4462704439065823,8633,1 1 2 1,0.0,0.0,0.5,0.8
0.5304482748025932,0.7258433410819543,0.4406494472721234,8633,1 1 4 1,0.0,0.0,,0.8
0.530154581880683,0.7255165259568164,0.4410131428534936,8633,1 1 4 2,0.0,0.0,,1.0
0.5298473339008384,0.7252747474247543,0.439661498080939,8633,1 1 4 3,0.0,0.0,,1.2
0.5296078612106655,0.7237337909596581,0.42606905426376396,8633,1 1 1 1,0.0,0.0,0.0,0.8
