params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
2 4 4 1,0.788785087267463,0.8443647341414038,0.641619674685638,8633,0.3,1.5,,0.8
2 4 4 3,0.7884145823505917,0.8445618689610249,0.6400020435923799,8633,0.3,1.5,,1.2
2 4 4 2,0.788269995065959,0.8444829192397837,0.6407430054857683,8633,0.3,1.5,,1.0
2 4 1 1,0.7878768983858637,0.8445558419600606,0.6384802058919323,8633,0.3,1.5,0.0,0.8
3 4 4 1,0.7868647873934347,0.8436318747724907,0.639457937121217,8633,0.6,1.5,,0.8
3 4 4 2,0.7864581356554051,0.8436990099752852,0.6395882161354391,8633,0.6,1.5,,1.0
3 4 4 3,0.7863948787183783,0.8437431148498917,0.6401256170691054,8633,0.6,1.5,,1.2
2 4 2 1,0.7863090300181277,0.8437340943054022,0.647455248519992,8633,0.3,1.5,0.5,0.8
3 4 1 1,0.785784901111334,0.8436858383837739,0.640565308742105,8633,0.6,1.5,0.0,0.8
3 4 2 1,0.7850212995143675,0.8430227884498712,0.6323767298690184,8633,0.6,1.5,0.5,0.8
4 4 4 1,0.7816777185572359,0.842195692330781,0.6318928135796713,8633,0.9,1.5,,0.8
4 4 4 2,0.7812620301139167,0.8422376019401354,0.6331196076302632,8633,0.9,1.5,,1.0
4 4 4 3,0.7811716630610213,0.8423047770568437,0.6348132348151507,8633,0.9,1.5,,1.2
4 4 2 1,0.7808553783758871,0.8418559850115271,0.6283149303582034,8633,0.9,1.5,0.5,0.8
3 4 3 1,0.7801188868947893,0.8417347664557082,0.6347551201568455,8633,0.6,1.5,1.0,0.8
4 4 1 1,0.7801053318368549,0.842209622286652,0.6369356970885196,8633,0.9,1.5,0.0,0.8
1 4 4 2,0.7800285198418938,0.8413941610733968,0.6540701016048587,8633,0.0,1.5,,1.0
1 4 4 1,0.7799562261995774,0.8412182205419351,0.651516090096879,8633,0.0,1.5,,0.8
1 4 4 3,0.7799291160837087,0.8415051816242727,0.6552426127328577,8633,0.0,1.5,,1.2
2 4 3 1,0.7797574186832075,0.8420725179931923,0.6519444462183963,8633,0.3,1.5,1.0,0.8
1 4 1 1,0.7791112942550049,0.8417475588650398,0.6591428407211328,8633,0.0,1.5,0.0,0.8
4 4 3 1,0.7775389075346242,0.8408765374839544,0.6284072113266108,8633,0.9,1.5,1.0,0.8
1 4 2 1,0.7765764984212876,0.8404729080319566,0.6538477012778838,8633,0.0,1.5,0.5,0.8
5 4 4 1,0.7759213372877956,0.8407647785256757,0.6378150804345188,8633,1.2,1.5,,0.8
5 4 4 2,0.7754333552021602,0.8408076061550447,0.6400243953840357,8633,1.2,1.5,,1.0
5 4 2 1,0.7752255109805006,0.8406194918799135,0.6350466513822988,8633,1.2,1.5,0.5,0.8
5 4 4 3,0.7751712907487633,0.840823092753549,0.6405807953406093,8633,1.2,1.5,,1.2
5 4 1 1,0.7741094778772417,0.8407751561432302,0.6434035073154221,8633,1.2,1.5,0.0,0.8
5 4 3 1,0.7721846596505686,0.8397810003384698,0.6302066902105539,8633,1.2,1.5,1.0,0.8
1 3 4 2,0.7712482310649396,0.8403110970259344,0.6426286984232408,8633,0.0,1.0,,1.0
1 3 4 3,0.7712448423004561,0.8403609295471527,0.6428105462139257,8633,0.0,1.0,,1.2
1 3 1 1,0.7711680303054949,0.8403040921340853,0.637509818822763,8633,0.0,1.0,0.0,0.8
1 3 4 1,0.7709918145523488,0.8400402012938495,0.642590700377426,8633,0.0,1.0,,0.8
1 4 3 1,0.7684344269554074,0.8377541718022569,0.6473540268349223,8633,0.0,1.5,1.0,0.8
1 3 2 1,0.764512496859745,0.8386107044326796,0.6466809185947748,8633,0.0,1.0,0.5,0.8
2 3 4 2,0.7636494915045934,0.8422079858161916,0.6410877020442309,8633,0.3,1.0,,1.0
2 3 4 3,0.7635094225726053,0.842215329976307,0.641234265935231,8633,0.3,1.0,,1.2
2 3 4 1,0.7634687573988024,0.8421064847337262,0.6409519947377498,8633,0.3,1.0,,0.8
2 3 1 1,0.7626599722753882,0.8422222949542427,0.6424821345322409,8633,0.3,1.0,0.0,0.8
2 3 2 1,0.7607848559278076,0.8413603739454745,0.6402632402434429,8633,0.3,1.0,0.5,0.8
2 3 3 1,0.7556565256759907,0.8393448011329164,0.6396037027339434,8633,0.3,1.0,1.0,0.8
1 3 3 1,0.7551414334744867,0.834188901377509,0.6331047596543775,8633,0.0,1.0,1.0,0.8
3 3 4 1,0.754459162225126,0.8398861535440363,0.637996928225204,8633,0.6,1.0,,0.8
3 3 4 3,0.7539169599077533,0.8399392789631323,0.6366642824755568,8633,0.6,1.0,,1.2
3 3 4 2,0.7539079232024638,0.839892100717173,0.6374350999763709,8633,0.6,1.0,,1.0
3 3 2 1,0.7534154227641836,0.8393662748184715,0.6414194664946642,8633,0.6,1.0,0.5,0.8
3 3 1 1,0.7524981971772948,0.839910560902246,0.6351145050355393,8633,0.6,1.0,0.0,0.8
3 3 3 1,0.7512963153737853,0.8381073101534608,0.6451052769386987,8633,0.6,1.0,1.0,0.8
4 3 4 1,0.7453772734091333,0.8376678978778571,0.6407029319164428,8633,0.9,1.0,,0.8
4 3 4 2,0.7452417228297901,0.8376959573591676,0.6403663777963686,8633,0.9,1.0,,1.0
4 3 4 3,0.7450519520187097,0.8377230189926366,0.6401302470830912,8633,0.9,1.0,,1.2
4 3 2 1,0.74455041487514,0.8372369473519512,0.6422879932561449,8633,0.9,1.0,0.5,0.8
4 3 1 1,0.7440850245527283,0.837763511658056,0.638914309617018,8633,0.9,1.0,0.0,0.8
4 3 3 1,0.7426527067643355,0.8361478163896107,0.6468830426536045,8633,0.9,1.0,1.0,0.8
5 3 4 1,0.7395531168500215,0.8360322256956196,0.6420355776660898,8633,1.2,1.0,,0.8
5 3 4 2,0.7393452726283619,0.8361026737532492,0.6416420264772937,8633,1.2,1.0,,1.0
5 3 4 3,0.7392729789860455,0.8361487344096253,0.641471035271127,8633,1.2,1.0,,1.2
5 3 2 1,0.7389024740691742,0.8355687852439859,0.6434279346305889,8633,1.2,1.0,0.5,0.8
5 3 1 1,0.7381479091774972,0.8360891229795576,0.6408522099535721,8633,1.2,1.0,0.0,0.8
