params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
1 4 2 1,0.742939764470865,0.8587693611739823,0.6786532710229647,6564,0.0,1.5,0.5,0.8
1 4 3 1,0.7426981135115106,0.8597097158220212,0.6890908005362599,6564,0.0,1.5,1.0,0.8
2 4 2 1,0.7414522685655062,0.8604189395296328,0.6656212853956003,6564,0.3,1.5,0.5,0.8
2 4 4 1,0.7413180180325316,0.8593021835767671,0.6622370942091522,6564,0.3,1.5,,0.8
2 4 4 3,0.7412643178193418,0.8589178096566598,0.6613388044876491,6564,0.3,1.5,,1.2
2 4 4 2,0.7411032171797722,0.859093939574864,0.6617730230841461,6564,0.3,1.5,,1.0
2 4 1 1,0.740982391700095,0.8582927610332232,0.6601745558757917,6564,0.3,1.5,0.0,0.8
1 4 4 2,0.7408561961990989,0.8572184770868275,0.6726691959899913,6564,0.0,1.5,,1.0
1 4 4 3,0.7407756458793141,0.8569997394688422,0.6718306113255066,6564,0.0,1.5,,1.2
1 4 4 1,0.7406950955595293,0.8574504221871228,0.6731766889746471,6564,0.0,1.5,,0.8
2 4 3 1,0.7400292129159752,0.8616744192778584,0.6722078387312131,6564,0.3,1.5,1.0,0.8
1 4 1 1,0.7395056358373743,0.8563024115415304,0.6704465395491725,6564,0.0,1.5,0.0,0.8
3 4 2 1,0.7379080544949763,0.8598081387038935,0.6875618083033452,6564,0.6,1.5,0.5,0.8
3 4 4 1,0.7369146005509641,0.858851591320694,0.6852495942769989,6564,0.6,1.5,,0.8
3 4 4 2,0.7367266498047997,0.85866903858575,0.6841531923208442,6564,0.6,1.5,,1.0
3 4 4 3,0.7365923992718252,0.8584684838714932,0.6835127198910111,6564,0.6,1.5,,1.2
3 4 3 1,0.7358674463937622,0.8606837676423922,0.6915837580533979,6564,0.6,1.5,1.0,0.8
3 4 1 1,0.7354512697415408,0.857919694889066,0.6821720699743268,6564,0.6,1.5,0.0,0.8
4 4 3 1,0.7318936306177135,0.8598636372682584,0.686736792970001,6564,0.9,1.5,1.0,0.8
4 4 2 1,0.731410328699005,0.8588501439253725,0.6831463479502169,6564,0.9,1.5,0.5,0.8
4 4 4 1,0.7304705749681826,0.8581087156718538,0.681976671605903,6564,0.9,1.5,,0.8
4 4 4 2,0.730336324435208,0.8578989338124212,0.6812764941190519,6564,0.9,1.5,,1.0
4 4 4 3,0.7299604229428791,0.857727869777843,0.6810159629611539,6564,0.9,1.5,,1.2
5 4 3 1,0.7292086199582213,0.8586712549098363,0.6861451701322738,6564,1.2,1.5,1.0,0.8
4 4 1 1,0.7290072441587593,0.8572084810128873,0.6800281156541232,6564,0.9,1.5,0.0,0.8
5 4 2 1,0.7268726606844629,0.8576338795441428,0.6837135459918908,6564,1.2,1.5,0.5,0.8
