params,AUC01,AUC,YoudenCutOff,N_targets,alpha,beta,lambda_,gamma
5 3 2 1,0.645299134918323,0.8679286880848325,0.660908539239148,6040,1.2,1.0,0.5,0.8
5 3 3 1,0.6452430784777089,0.8698226498985111,0.6640187734294694,6040,1.2,1.0,1.0,0.8
5 3 4 1,0.6446395374670972,0.8667670420039836,0.6595081196560715,6040,1.2,1.0,,0.8
5 3 4 2,0.6444153117046408,0.866483112303753,0.6590521690941396,6040,1.2,1.0,,1.0
5 3 4 3,0.6443779407442315,0.8662912850789889,0.6586586403353292,6040,1.2,1.0,,1.2
5 3 1 1,0.6439294892193188,0.8657119922677805,0.6574753400674582,6040,1.2,1.0,0.0,0.8
4 3 2 1,0.6438790384227662,0.8678164616515607,0.6665102175714546,6040,0.9,1.0,0.5,0.8
4 3 3 1,0.6436174416999003,0.8699176684711629,0.6690016617134398,6040,0.9,1.0,1.0,0.8
4 3 4 2,0.643449272378058,0.8660452646421712,0.664273888624836,6040,0.9,1.0,,1.0
4 3 4 3,0.643449272378058,0.8657483135574784,0.6638939298232263,6040,0.9,1.0,,1.2
4 3 4 1,0.6433371594968299,0.8663778729548268,0.6644530120598808,6040,0.9,1.0,,0.8
4 3 1 1,0.6428139660510984,0.865052232497599,0.663199148014568,6040,0.9,1.0,0.0,0.8
3 3 2 1,0.642290772605367,0.8673603378561324,0.6636306726535393,6040,0.6,1.0,0.5,0.8
3 3 3 1,0.641487296956565,0.8700353517595643,0.6631014443227254,6040,0.6,1.0,1.0,0.8
3 3 4 3,0.641487296956565,0.8650811913637095,0.6606914199239424,6040,0.6,1.0,,1.2
3 3 4 2,0.6414125550357462,0.8653520996794773,0.6611093746057133,6040,0.6,1.0,,1.0
3 3 4 1,0.6413191276347229,0.8657268037317033,0.6619642819093357,6040,0.6,1.0,,0.8
3 3 1 1,0.6412630711941087,0.8643166253283422,0.6596953850654363,6040,0.6,1.0,0.0,0.8
2 3 2 1,0.637619402554193,0.8669537588406105,0.6472517343127109,6040,0.3,1.0,0.5,0.8
2 3 4 1,0.6365543301825254,0.8649937950648894,0.6478585712498108,6040,0.3,1.0,,0.8
2 3 4 2,0.6363487899002738,0.8644637005665946,0.648889887997038,6040,0.3,1.0,,1.0
2 3 3 1,0.6362235971829022,0.8699844211116888,0.6479746954367469,6040,0.3,1.0,1.0,0.8
2 3 4 3,0.6360685076972032,0.8640387299282286,0.6497556512664207,6040,0.3,1.0,,1.2
2 3 1 1,0.6356387416524953,0.8630428394309694,0.6504450050921986,6040,0.3,1.0,0.0,0.8
5 2 2 1,0.6341700629084062,0.8731843613807795,0.6471518363299167,6040,1.2,0.5,0.5,0.8
5 2 4 2,0.6339458371459499,0.8713089355511915,0.6473553856879222,6040,1.2,0.5,,1.0
5 2 4 1,0.6339271516657452,0.8717446755385697,0.6473146758163211,6040,1.2,0.5,,0.8
5 2 4 3,0.6332731598585808,0.8709322104415105,0.647390667576643,6040,1.2,0.5,,1.2
4 2 2 1,0.6332731598585808,0.8732530195897634,0.6471029844839955,6040,0.9,0.5,0.5,0.8
4 2 4 1,0.6331797324575573,0.8716203516328151,0.646668745853584,6040,0.9,0.5,,0.8
4 2 4 2,0.6329181357346917,0.8710550907347969,0.6464570545212585,6040,0.9,0.5,,1.0
4 2 4 3,0.6323015148879366,0.8706204478928945,0.6467501655967862,6040,0.9,0.5,,1.2
