target_id,druggable,score_b1,rank_b1,pct_b1,score_b0,rank_b0,pct_b0,quinasa,especie
234197,0,0.6190476190476191,43.0,1.031434184675835,4.0,1158.5,28.425834970530452,True,0
198187,0,0.6,51.0,1.2278978388998036,3.0,1254.5,30.783398821218075,True,0
102095,1,0.3947664748970895,175.0,4.273084479371317,21.219030702605917,517.0,12.671905697445972,True,0
26767,0,0.3209775609026911,275.0,6.728880157170924,17.647639182037377,608.0,14.906679764243615,True,0
366197,1,0.30723003615085576,296.0,7.244597249508841,18.973532510646606,566.0,13.87524557956778,True,0
8418,0,0.302496921490283,304.0,7.44106090373281,1.7022506407129265,1389.0,34.086444007858546,True,0
399696,1,0.27154292980515654,356.0,8.718074656188605,37.88342328899311,288.0,7.048133595284872,True,0
179244,1,0.26981246218995764,364.0,8.914538310412574,12.0,814.0,19.965618860510805,True,0
145942,0,0.2692307692307692,369.0,9.037328094302554,18.999999999999996,564.0,13.826129666011788,True,0
212770,0,0.25333145259999246,423.0,10.363457760314342,31.787842267044116,345.0,8.447937131630649,True,0
347222,0,0.23131797557747674,473.0,11.591355599214145,40.489154153718054,264.0,6.458742632612966,True,0
27899,0,0.22853080634219322,482.0,11.81237721021611,50.70336946754513,162.0,3.9538310412573674,True,0
248403,0,0.2249718264938341,497.0,12.180746561886052,36.0033744058964,305.0,7.465618860510806,True,0
339097,0,0.22215771067524817,508.0,12.450884086444008,35.05137516758964,314.0,7.68664047151277,True,0
383271,0,0.19930830522066856,586.0,14.366404715127702,43.245497472218936,232.0,5.672888015717092,True,0
267925,0,0.19712992763865242,593.0,14.538310412573674,4.531648018337224,1122.0,27.529469548133594,True,0
266777,0,0.1950145593137056,605.5,14.845284872298624,42.84362899191639,245.5,6.004420432220039,True,0
120663,0,0.1950145593137056,605.5,14.845284872298624,42.84362899191639,245.5,6.004420432220039,True,0
279328,1,0.1874235976336156,649.0,15.913555992141454,20.496869335237776,532.0,13.040275049115914,True,0
44176,0,0.17769790285502082,692.0,16.969548133595286,42.791679022540336,249.0,6.090373280943026,True,0
217805,0,0.17769790285502082,692.0,16.969548133595286,42.791679022540336,249.0,6.090373280943026,True,0
160041,0,0.17769790285502082,692.0,16.969548133595286,42.791679022540336,249.0,6.090373280943026,True,0
121381,0,0.170185971663681,708.0,17.362475442043223,44.558842897731594,217.0,5.304518664047151,True,0
1958,1,0.1695039365475103,712.0,17.460707269155208,18.042508239015202,601.0,14.734774066797643,True,0
106512,1,0.1674966432446873,721.5,17.69400785854617,0.3349932864893746,1713.5,42.05550098231827,True,0
265412,0,0.15929207849583488,748.0,18.344793713163064,18.402401103476315,595.0,14.587426326129666,True,0
313833,0,0.15603034786568148,769.0,18.860510805500983,43.38231749113449,229.0,5.599214145383104,True,0
341101,0,0.13852597661890004,839.0,20.57956777996071,11.28819633130003,834.0,20.456777996070727,True,0
361982,0,0.13819402746055126,843.0,20.677799607072693,38.615696891097016,285.0,6.974459724950884,True,0
356897,0,0.12923590444442712,899.0,22.05304518664047,46.04712882213375,202.0,4.93614931237721,True,0
329308,0,0.12444861160794587,924.0,22.666994106090375,10.722498010298821,859.0,21.070726915520627,True,0
84330,0,0.12222689219471358,933.0,22.888015717092337,4.566731559966974,1119.0,27.455795677799607,True,0
192692,0,0.11931738476773994,943.0,23.1335952848723,33.21458624317275,330.0,8.079567779960707,True,0
8284,0,0.11899246154702108,946.0,23.207269155206287,14.558756754368082,701.0,17.190569744597248,True,0
44321,0,0.11467307225716993,1017.0,24.95088408644401,10.26310659197819,879.0,21.56188605108055,True,0
363870,0,0.11387388577872502,1024.0,25.12278978388998,1.2679909997540764,1454.0,35.682711198428294,True,0
229366,1,0.1108846519916394,1035.0,25.392927308447938,11.479561507984556,828.0,20.309430255402752,True,0
167774,0,0.10425282558028645,1068.0,26.203339882121806,0.6814278548219181,1589.0,38.99803536345776,True,0
283475,0,0.0837609776678933,1214.0,29.788801571709232,10.224787762923116,882.0,21.63555992141454,True,0
286575,1,0.07878359424791444,1246.0,30.574656188605108,0.9454031309749732,1512.0,37.10707269155206,True,0
138401,0,0.07443500990563547,1269.0,31.139489194499017,10.077739672432461,884.0,21.68467583497053,True,0
278967,0,0.06918685132952228,1313.0,32.220039292730846,19.38790955058107,556.0,13.629666011787819,True,0
269917,1,0.057656919320501765,1408.0,34.553045186640475,14.800959369624588,686.0,16.822200392927307,True,0
61222,0,0.04008435609136452,1502.0,36.8614931237721,1.3140603915705327,1438.0,35.289783889980356,True,0
207290,0,0.03622503724538522,1517.0,37.22986247544204,26.29937704014967,403.0,9.87229862475442,True,0
109288,0,0.03465418680451678,1521.0,37.32809430255403,0.7633175610830701,1564.0,38.384086444007856,True,0
73247,0,0.03143007236789474,1550.0,38.04027504911591,2.858153813749561,1279.0,31.38506876227898,True,0
70953,0,0.02911435811840227,1566.5,38.44548133595285,0.14557179059201136,1838.5,45.12524557956778,True,0
29657,0,0.02911435811840227,1566.5,38.44548133595285,0.14557179059201136,1838.5,45.12524557956778,True,0
8998,0,0.025499859341526647,1605.0,39.3909626719057,18.512897881948344,589.0,14.44007858546169,True,0
137065,0,0.02531854430101362,1607.0,39.44007858546169,2.738365132262805,1285.0,31.532416502946955,True,0
33969,0,0.019943451229642136,1659.0,40.717092337917485,0.7431764796712027,1567.0,38.45776031434185,True,0
172978,0,0.010549733209721416,1756.0,43.0992141453831,0.9283765224554845,1519.0,37.278978388998034,True,0
223541,0,0.00423184922952415,1888.0,46.34086444007858,0.1015643815085796,1898.0,46.586444007858546,True,0
220977,0,0.0027403817006703157,1941.0,47.642436149312374,0.11260089586018361,1879.0,46.11984282907662,True,0
257008,0,0.0014478677542275732,1999.0,49.06679764243615,0.08717031338807905,1926.0,47.27406679764243,True,0
53843,1,0.001098099526027441,2028.0,49.778978388998034,0.031107044780216708,2025.0,49.70530451866405,True,0
118502,0,9.098622543303293e-05,2139.0,52.5049115913556,0.0024933847742251124,2170.0,53.26620825147348,True,0
338149,0,4.543805142100326e-05,2162.0,53.06974459724951,0.0037378464404493284,2159.0,52.99607072691552,True,0
194758,0,2.6902249960111183e-07,2299.0,56.43418467583497,4.2505554936975665e-05,2286.0,56.114931237721024,True,0
18260,1,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
252241,0,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
115473,1,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
86838,0,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
290596,0,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
262647,0,0.0,3245.0,79.66601178781926,0.0,3245.0,79.66601178781926,True,0
241915,1,0.49527665317139,76.0,1.6548984995586937,13.0,731.5,16.118711385701676,True,1
157984,0,0.4479382714385744,107.0,2.3389232127096204,27.396405271712496,398.0,8.759929390997351,True,1
185124,1,0.4388065526102556,118.0,2.581641659311562,2.8471250299472484,1235.0,27.228596646072376,True,1
84852,1,0.3988788971531989,173.0,3.795233892321271,41.42247474747475,289.0,6.354810238305384,True,1
303074,0,0.3814136866553979,193.0,4.236540158870256,20.143957861638974,521.0,11.47396293027361,True,1
395200,0,0.3699341438703141,207.0,4.545454545454546,17.833333333333336,575.5,12.676522506619595,True,1
155236,1,0.350767414403778,236.0,5.185348631950574,16.966666666666665,598.0,13.172992056487201,True,1
229395,0,0.3251361299123352,277.0,6.090026478375993,70.59701663512286,153.0,3.353927625772286,True,1
312968,1,0.32242709561891514,285.0,6.266548984995587,14.472353010574833,680.0,14.982347749338041,True,1
355601,0,0.30531723086147033,314.0,6.906443071491615,68.00068542568542,155.0,3.3980582524271843,True,1
38987,0,0.29960301716176563,325.5,7.160194174757281,6.297168121255899,963.5,21.237864077669904,True,1
223634,1,0.29960301716176563,325.5,7.160194174757281,6.297168121255899,963.5,21.237864077669904,True,1
132816,0,0.27606939410178116,370.0,8.142100617828774,50.52957045776885,246.0,5.406001765225066,True,1
33894,0,0.26791095236707174,393.0,8.649602824360105,64.02700913020753,164.0,3.5966460723742277,True,1
369203,0,0.26603803997421016,397.5,8.748896734333627,19.833333333333336,532.0,11.716681376875552,True,1
188416,0,0.26603803997421016,397.5,8.748896734333627,19.833333333333336,532.0,11.716681376875552,True,1
70408,0,0.24189682495988468,467.0,10.28243601059135,53.1683039914585,216.0,4.744042365401588,True,1
288532,0,0.24143293102263252,470.0,10.348631950573699,10.726395424343933,804.0,17.718446601941746,True,1
127360,0,0.24103604504226792,472.0,10.392762577228597,33.96734572377929,336.0,7.391879964695499,True,1
228744,1,0.21715620807756866,526.0,11.584289496910856,38.49390331890332,308.0,6.77405119152692,True,1
104930,0,0.21038510101010102,555.0,12.224183583406884,6.833333333333334,939.0,20.697263901147398,True,1
164727,1,0.20778655441282085,558.0,12.290379523389232,41.05422077922078,294.0,6.46513680494263,True,1
313155,0,0.19406903962569433,600.0,13.217122683142101,57.0494936696639,180.0,3.9496910856134155,True,1
377774,1,0.19359485815602837,601.0,13.23918799646955,19.333333333333336,548.0,12.06972639011474,True,1
388308,0,0.19262616616579734,605.0,13.327449249779347,57.03506493506493,181.0,3.971756398940865,True,1
243351,1,0.1883058230746361,625.5,13.779788172992056,8.152133258994962,895.5,19.737422771403352,True,1
134954,1,0.1883058230746361,625.5,13.779788172992056,8.152133258994962,895.5,19.737422771403352,True,1
49166,1,0.18069125245542386,654.0,14.40864960282436,20.90520913113505,503.0,11.076787290379523,True,1
42270,0,0.1769066510481666,670.0,14.761694616063549,48.31731601731602,254.0,5.58252427184466,True,1
194386,1,0.1764983637878852,672.5,14.816857899382171,8.832410008333685,872.5,19.22992056487202,True,1
