target_id,score,druggable,de_la_especie
278976,1.8375,0,False
205091,1.7726244343891402,0,False
193887,1.7726244343891402,0,False
341762,1.625,0,False
392755,1.618485031143259,0,False
52014,1.6114814814814813,0,False
214242,1.5381944444444442,0,False
171780,1.5104166666666665,0,False
237108,1.5,0,False
254386,1.4754213498276754,0,False
75865,1.4444444444444444,0,False
140591,1.4440975950909816,0,False
13759,1.4061576783752905,0,False
97094,1.3901079475057219,0,False
291945,1.3857142857142857,0,False
73065,1.3857142857142857,0,False
141043,1.3857142857142857,0,False
245830,1.3857142857142857,0,False
231357,1.38539218361956,0,False
73171,1.38539218361956,0,False
141085,1.3826517489711931,0,False
83755,1.375,0,False
367320,1.368226601126285,0,False
33926,1.3560810362170086,0,False
294208,1.3371428571428572,0,False
12540,1.311164021164021,0,False
350348,1.2857142857142856,0,False
329637,1.2857142857142856,0,False
229634,1.2857142857142856,0,False
104537,1.2857142857142856,0,False
278331,1.2857142857142856,0,False
188495,1.2857142857142856,0,False
214391,1.2857142857142856,0,False
177501,1.2857142857142856,0,False
63462,1.2857142857142856,0,False
250332,1.2777777777777777,0,False
110491,1.2777777777777777,0,False
67104,1.2777777777777777,0,False
393770,1.2777777777777777,0,False
38267,1.2711693548387095,0,False
96995,1.2666666666666666,0,False
359857,1.2666666666666666,0,False
125924,1.2499652077248962,0,False
137623,1.2438186813186813,0,False
280804,1.2361111111111112,0,False
2531,1.2147062226995233,0,False
250501,1.2046405407136935,0,False
263325,1.2046405407136935,0,False
48694,1.2000000000000002,0,False
340360,1.1973393873065126,0,False
373143,1.1973393873065126,0,False
148731,1.1870588592051647,0,False
258530,1.1870588592051647,0,False
106949,1.173627477737207,0,False
75134,1.173627477737207,0,False
350554,1.171479249019233,0,False
313489,1.1666765643949166,0,False
181749,1.1624977193942712,0,False
50793,1.1559523809523808,0,False
280550,1.1559523809523808,0,False
132751,1.1559523809523808,0,False
138838,1.1402941444038737,0,False
316179,1.1402941444038737,0,False
183780,1.1359605443378655,0,False
641,1.1359605443378655,0,False
23930,1.122963128721844,0,False
106581,1.11996938059426,0,False
353448,1.1061656767340735,0,False
49054,1.1058827373915925,0,False
220489,1.104938271604938,0,False
283839,1.1006540327931982,0,False
383053,1.0956699569378685,0,False
289802,1.0952380952380951,0,False
233878,1.0952380952380951,0,False
372607,1.0952380952380951,0,False
285905,1.0952380952380951,0,False
354253,1.0952380952380951,0,False
204300,1.0952380952380951,0,False
314697,1.0952380952380951,0,False
188748,1.0952380952380951,0,False
299026,1.0952380952380951,0,False
24982,1.0952380952380951,0,False
342447,1.0952380952380951,0,False
259496,1.0952380952380951,0,False
74749,1.09375,0,False
255250,1.09375,0,False
342749,1.09375,0,False
254275,1.09375,0,False
